Source_Year,Stratum,PSU
2016,M,63
2016,S,73
2016,V,2
2016,S,7
2016,V,25
2016,L,89
2016,S,72
2016,S,28
2016,M,78
2016,V,38
2016,S,11
2016,S,45
2016,S,81
2016,C,31
2016,S,29
2016,S,65
2016,V,61
2016,V,67
2016,S,70
2016,V,17
2016,S,9
2016,S,62
2016,V,58
2016,C,8
2016,S,86
2016,M,16
2016,V,64
2016,M,24
2016,L,3
2016,C,20
2016,S,19
2016,V,95
2016,S,75
2016,S,98
2016,S,84
2016,S,74
2016,S,94
2016,M,14
2016,L,42
2016,S,39
2016,M,52
2016,S,92
2016,S,85
2016,L,50
2016,S,4
2016,V,22
2016,C,32
2016,L,51
2016,V,34
2016,V,21
2016,L,5
2016,C,37
2016,V,33
2016,S,48
2016,C,10
2016,V,91
2016,S,79
2016,C,18
2016,S,46
2016,V,35
2016,S,82
2016,V,93
2016,S,27
2016,M,68
2016,S,96
2016,M,101
2016,M,54
2016,C,90
2016,S,12
2016,V,26
2016,S,56
2016,L,44
2016,V,57
2016,S,43
2016,V,77
2016,S,6
2016,L,69
2016,V,23
2016,V,41
2016,S,66
2016,V,40
2016,S,71
2016,S,1
2016,M,76
2017,S,46
2017,S,72
2017,M,14
2017,S,39
2017,V,17
2017,V,38
2017,S,19
2017,S,84
2017,V,25
2017,C,31
2017,S,29
2017,V,61
2017,C,90
2017,C,8
2017,M,78
2017,V,95
2017,L,69
2017,S,7
2017,S,81
2017,M,16
2017,S,94
2017,S,28
2017,V,22
2017,V,21
2017,S,70
2017,S,9
2017,V,35
2017,S,71
2017,S,74
2017,M,76
2017,S,86
2017,L,3
2017,V,67
2017,M,52
2017,V,64
2017,M,24
2017,M,63
2017,L,51
2017,V,34
2017,S,27
2017,L,50
2017,L,42
2017,C,20
2017,V,58
2017,V,33
2017,S,75
2017,V,91
2017,C,10
2017,S,11
2017,S,6
2017,C,32
2017,C,18
2017,V,23
2017,S,79
2017,S,66
2017,L,5
2017,V,41
2017,S,85
2017,V,77
2017,S,12
2017,S,62
2017,L,89
2017,S,48
2017,S,73
2017,V,2
2017,V,57
2017,S,96
2017,M,101
2017,V,93
2017,S,1
2017,S,98
2017,S,82
2017,C,37
2017,M,54
2017,S,45
2017,S,4
2017,S,56
2017,L,44
2017,S,92
2017,V,26
2017,S,65
2017,M,100
2017,S,99
2017,S,43
2017,M,68
2017,V,40
2017,V,53
2017,S,97
2017,S,87
2018,S,71
2018,S,11
2018,S,46
2018,C,31
2018,S,97
2018,S,72
2018,V,21
2018,L,3
2018,S,70
2018,V,17
2018,V,38
2018,S,73
