year,source_url,source_file,encoding,source_sha256,cohort_file,cohort_sha256,original_parsed_rows,extended_rows,core_rows,prepared_at_utc
2016,https://www.cpsc.gov/cgibin/NEISSQuery/Data/Archived%20Data/2016/neiss2016.tsv,neiss2016.tsv,utf-8,297d72d196d05c754d036bd57cb48917e275c51b411d5947ee07643135d1c83f,cohort_2016.csv.gz,02e548ed8f07b1afd16351fbe8324f1809992d690b0e9982e25decfe8cad768f,375196,107696,76072,2026-09-13T16:27:51.135738+00:00
2017,https://www.cpsc.gov/cgibin/NEISSQuery/Data/Archived%20Data/2017/neiss2017.tsv,neiss2017.tsv,cp1252,66b5eb5874df26804c99c42788740e1f55415b69fa196901647db7211e484c7b,cohort_2017.csv.gz,9c86af37e4b9db6ce39d3b0ac7b9176505c7e30d8ec359af78d93c5722f792a0,386905,110091,77760,2026-09-13T16:27:57.138772+00:00
2018,https://www.cpsc.gov/cgibin/NEISSQuery/Data/Archived%20Data/2018/neiss2018.tsv,neiss2018.tsv,utf-8,15510d53e30aa807de29d48e2d0db97d153c72f2f61dc8180effa1ca4a40c9ed,cohort_2018.csv.gz,403b49fdf6b8516b413c21cd21bbe589a73e26179a58df5ff2d478651f70503c,361666,98728,69959,2026-09-13T16:28:01.812452+00:00
2019,https://www.cpsc.gov/cgibin/NEISSQuery/Data/Archived%20Data/2019/neiss2019.tsv,neiss2019.tsv,utf-8,c0db17093ad653cab8b0a17030f69b975675d96bd91c07e11b9cbeb1eeb33349,cohort_2019.csv.gz,4db4838e0ead668fd90787d44e5d8ee42fd0c6a1637bb3d7a0642939b392a030,358714,98163,67988,2026-09-13T16:28:06.864895+00:00
2020,https://www.cpsc.gov/cgibin/NEISSQuery/Data/Archived%20Data/2020/neiss2020.tsv,neiss2020.tsv,utf-8,3ac249c2be3fef79e02e164c390218246f7e5eba3664716908d06e70337ab26b,cohort_2020.csv.gz,717a986dc2855c2b702e11464500ec1f2c862228013bbf1536033b657d87b78d,309370,71300,41715,2026-09-13T16:28:10.772585+00:00
2021,https://www.cpsc.gov/cgibin/NEISSQuery/Data/Archived%20Data/2021/neiss2021.tsv,neiss2021.tsv,utf-8,f11e98263980e9e60759edd55150d971932762b2be81735269f2a8e425703977,cohort_2021.csv.gz,16ae23a768bccc744b856724e9cbacf590655f561e102bf9ad175e87a4377390,340440,89828,57171,2026-09-13T16:28:15.434235+00:00
2022,https://www.cpsc.gov/cgibin/NEISSQuery/Data/Archived%20Data/2022/neiss2022.tsv,neiss2022.tsv,utf-8,0787170deac5a9f03baf00652a1ecb038160276f1c62e2a58088936db6f2c571,cohort_2022.csv.gz,864009f6d63c596eacfc109cd053fe4973637acb3d08ac1e90fcb6dc9104eac2,323343,90919,60503,2026-09-13T16:28:19.883496+00:00
2023,https://www.cpsc.gov/cgibin/NEISSQuery/Data/Archived%20Data/2023/neiss2023.tsv,neiss2023.tsv,utf-8,d913b5c107e68ed1c9698cf6ccf3e3b1d87e775857ac18f8ef8dbaf9316b1b5e,cohort_2023.csv.gz,f746606f41dfe069834c018184e83e97851520e92314dabd9275027a875221a3,338259,95231,64571,2026-09-13T16:28:24.606971+00:00
2024,https://www.cpsc.gov/cgibin/NEISSQuery/Data/Archived%20Data/2024/neiss2024.tsv,neiss2024.tsv,utf-8,2583a8d6b1f65525109c0dff9bff1c9dba930697b7e5e10094eee390f1b50dde,cohort_2024.csv.gz,f51ff8bb0fd3c65f2b5ff2bc6b47d60590d7fdb0e823aa53d1f2bf1843307ec9,361672,104486,69847,2026-09-13T16:28:29.762617+00:00
2025,https://www.cpsc.gov/cgibin/NEISSQuery/Data/Archived%20Data/2025/neiss2025.tsv,neiss2025.tsv,utf-8,eb649902a672228f8b3f7eddff9fd31fc6de6a549308757e39c1a936ced702a8,cohort_2025.csv.gz,afc2431096eaa6ac8b3b8c9358757e036912f8fbd17d9de4b7a5a96bb613b435,410201,112405,74051,2026-09-13T16:28:35.627588+00:00
