year,parsed_rows,parser_rejected_records,invalid_design_unique,zero_weight,invalid_weight,invalid_psu,invalid_stratum,same_weight_psu_stratum_masks,invalid_age,invalid_date_or_year,unknown_age,eligible_unknown_age,eligible_invalid_age,eligible_before_quality,eligible_excluded_unique,sex_reclassified_unknown,extended_rows,core_rows,two_extended_products
2016,375196,0,0,0,0,0,0,True,49,0,49,10,10,107706,10,0,107696,76072,2025
2017,386905,2,0,0,0,0,0,True,20,0,20,6,6,110097,6,0,110091,77760,2425
2018,361666,2,0,0,0,0,0,True,18,0,18,4,4,98732,4,0,98728,69959,2245
2019,358714,2,0,0,0,0,0,True,37,0,37,8,8,98171,8,0,98163,67988,2367
2020,309370,0,0,0,0,0,0,True,28,0,28,11,11,71311,11,0,71300,41715,1729
2021,340440,4,0,0,0,0,0,True,29,0,29,4,4,89832,4,0,89828,57171,1964
2022,323343,0,0,0,0,0,0,True,33,0,33,6,6,90925,6,0,90919,60503,1988
2023,338259,6,0,0,0,0,0,True,23,0,23,10,10,95241,10,0,95231,64571,1884
2024,361672,0,0,0,0,0,0,True,29,0,29,7,7,104493,7,0,104486,69847,2270
2025,410201,0,0,0,0,0,0,True,45,0,45,12,12,112417,12,0,112405,74051,2624
