year,raw_age_code,n
2016,2,12728
2016,3,10641
2016,14,9623
2016,13,9469
2016,12,9294
2016,15,9093
2016,4,8847
2016,11,8553
2016,16,8368
2016,10,8349
2016,5,8046
2016,9,7871
2016,8,7615
2016,6,7579
2016,7,7429
2016,17,7270
2016,18,5617
2016,19,4738
2016,20,4503
2016,21,4461
2016,22,4316
2016,23,4262
2016,25,4210
2016,24,4015
2016,26,3919
2016,27,3843
2016,28,3763
2016,29,3702
2016,30,3615
2016,31,3615
2016,32,3435
2016,33,3409
2016,34,3375
2016,35,3315
2016,36,3261
2016,54,3185
2016,55,3163
2016,37,3114
2016,53,3098
2016,51,3080
2016,57,3073
2016,52,3049
2016,38,3023
2016,56,3002
2016,58,3000
2016,45,2985
2016,39,2972
2016,50,2931
2016,46,2926
2016,49,2925
2016,59,2825
2016,48,2816
2016,47,2801
2016,60,2755
2016,61,2732
2016,40,2709
2016,44,2696
2016,42,2667
2016,41,2646
2016,43,2614
2016,62,2593
2016,69,2501
2016,63,2465
2016,64,2441
2016,65,2393
2016,68,2373
2016,67,2357
2016,66,2336
2016,73,2118
2016,70,2022
2016,74,1988
2016,71,1963
2016,72,1948
2016,75,1902
2016,78,1901
2016,79,1871
2016,82,1853
2016,81,1828
2016,84,1803
2016,76,1791
2016,77,1781
2016,85,1768
2016,80,1758
2016,86,1758
2016,87,1746
2016,83,1735
2016,88,1640
2016,89,1539
2016,90,1406
2016,91,1319
2016,219,1264
2016,218,1253
2016,217,1251
2016,220,1247
2016,215,1221
2016,221,1194
2016,223,1169
2016,222,1157
2016,92,1155
2016,214,1153
2016,212,1152
2016,216,1151
2016,213,1149
2016,209,1016
2016,208,994
2016,211,971
2016,210,969
2016,93,957
2016,207,857
2016,206,737
2016,94,712
2016,201,654
2016,205,636
2016,95,598
2016,202,482
2016,204,476
2016,96,424
2016,203,419
2016,97,308
2016,98,216
2016,99,119
2016,100,98
2016,101,74
2016,0,49
2016,102,30
2016,103,24
2016,104,10
2016,105,10
2016,106,5
2016,108,1
2016,110,1
2017,2,13208
2017,3,10968
2017,13,9980
2017,14,9877
2017,12,9521
2017,15,9280
2017,4,9254
2017,11,9152
2017,10,8870
2017,16,8481
2017,5,8358
2017,9,8272
2017,6,8018
2017,8,7806
2017,7,7619
2017,17,7439
2017,18,5533
2017,19,4805
2017,20,4571
2017,21,4401
2017,27,4020
2017,24,3997
2017,22,3990
2017,25,3929
2017,23,3919
2017,26,3915
2017,28,3816
2017,29,3731
2017,31,3617
2017,30,3616
2017,32,3573
2017,33,3322
2017,35,3302
2017,36,3299
2017,55,3260
2017,53,3233
2017,34,3207
2017,57,3204
2017,54,3181
2017,56,3177
2017,52,3170
2017,37,3052
2017,58,3023
2017,38,3011
2017,59,3010
2017,46,2981
2017,51,2979
2017,60,2935
2017,48,2900
2017,50,2894
2017,61,2893
2017,47,2887
2017,62,2848
2017,45,2820
2017,40,2797
2017,39,2793
2017,49,2714
2017,63,2661
2017,70,2649
2017,64,2648
2017,42,2634
2017,41,2608
2017,65,2607
2017,43,2606
2017,69,2596
2017,44,2574
2017,67,2559
2017,66,2540
2017,68,2512
2017,74,2282
2017,75,2225
2017,71,2148
2017,73,2139
2017,72,2119
2017,77,2073
2017,80,2072
2017,82,2062
2017,79,2057
2017,76,2009
2017,78,2005
2017,81,1993
2017,85,1947
2017,86,1926
2017,84,1919
2017,87,1908
2017,83,1871
2017,88,1764
2017,89,1707
2017,90,1585
2017,91,1413
2017,222,1320
2017,220,1316
2017,219,1275
2017,221,1240
2017,218,1224
2017,92,1198
2017,215,1190
2017,214,1187
2017,223,1171
2017,216,1170
2017,217,1163
2017,212,1131
2017,213,1085
2017,211,1021
2017,210,1010
2017,93,1010
2017,209,993
2017,208,991
2017,207,883
2017,94,802
2017,206,759
2017,201,688
2017,95,659
2017,205,628
2017,204,487
2017,96,472
2017,202,466
2017,203,420
2017,97,340
2017,98,270
2017,99,161
2017,100,120
2017,101,68
2017,102,55
2017,103,27
2017,0,20
2017,104,18
2017,105,11
2017,106,5
2017,109,2
2017,108,1
2017,113,1
2017,111,1
2018,2,12430
2018,3,10219
2018,13,8804
2018,14,8719
2018,12,8639
2018,4,8482
2018,15,8251
2018,11,8247
2018,10,7928
2018,5,7782
2018,16,7694
2018,9,7339
2018,6,7040
2018,7,6947
2018,8,6834
2018,17,6818
2018,18,5202
2018,20,4182
2018,19,4168
2018,21,3888
2018,28,3663
2018,22,3610
2018,26,3515
2018,25,3510
2018,29,3494
2018,27,3482
2018,23,3462
2018,24,3452
2018,30,3308
2018,31,3211
2018,54,3194
2018,32,3179
2018,33,3138
2018,34,3089
2018,57,3082
2018,56,3079
2018,53,3047
2018,36,3012
2018,55,2970
2018,35,2964
2018,59,2958
2018,38,2951
2018,58,2944
2018,52,2932
2018,60,2924
2018,37,2908
2018,61,2882
2018,62,2836
2018,48,2829
2018,71,2759
2018,47,2705
2018,39,2705
2018,63,2688
2018,40,2674
2018,50,2663
2018,64,2651
2018,70,2635
2018,65,2631
2018,49,2629
2018,51,2608
2018,67,2595
2018,69,2585
2018,41,2584
2018,66,2579
2018,68,2564
2018,46,2554
2018,44,2539
2018,43,2441
2018,42,2425
2018,45,2412
2018,75,2353
2018,74,2307
2018,73,2199
2018,78,2154
2018,72,2141
2018,81,2080
2018,83,2061
2018,76,2050
2018,80,2016
2018,82,2008
2018,77,1998
2018,79,1971
2018,84,1924
2018,87,1848
2018,85,1827
2018,86,1818
2018,88,1765
2018,89,1654
2018,90,1587
2018,91,1375
2018,218,1202
2018,217,1165
2018,92,1164
2018,219,1163
2018,220,1162
2018,221,1140
2018,222,1135
2018,216,1110
2018,212,1099
2018,215,1076
2018,214,1040
2018,223,1021
2018,211,1008
2018,209,987
2018,93,986
2018,213,984
2018,210,941
2018,208,916
2018,94,880
2018,207,863
2018,206,717
2018,95,705
2018,205,632
2018,201,602
2018,96,502
2018,202,463
2018,204,445
2018,97,396
2018,203,393
2018,98,271
2018,99,170
2018,100,137
2018,101,72
2018,102,39
2018,103,32
2018,0,18
2018,104,15
2018,105,5
2018,107,5
2018,106,3
2018,110,2
2019,2,12173
2019,3,10227
2019,14,8784
2019,13,8751
2019,12,8677
2019,4,8526
2019,11,8230
2019,15,8195
2019,5,7862
2019,10,7711
2019,16,7376
2019,6,7174
2019,9,7014
2019,7,6908
2019,8,6745
2019,17,6580
2019,18,4842
2019,19,4214
2019,20,3950
2019,21,3720
2019,28,3493
2019,24,3372
2019,27,3358
2019,22,3348
2019,25,3339
2019,29,3338
2019,23,3303
2019,30,3275
2019,26,3238
2019,31,3119
2019,32,3086
2019,56,3031
2019,57,2991
2019,58,2982
2019,55,2981
2019,59,2971
2019,60,2967
2019,54,2961
2019,34,2956
2019,33,2940
2019,72,2911
2019,36,2900
2019,61,2882
2019,64,2867
2019,35,2854
2019,62,2814
2019,38,2792
2019,37,2762
2019,39,2755
2019,63,2754
2019,53,2727
2019,65,2699
2019,52,2699
2019,71,2695
2019,67,2671
2019,50,2668
2019,48,2656
2019,70,2652
2019,49,2639
2019,68,2624
2019,66,2612
2019,51,2576
2019,76,2554
2019,41,2517
2019,40,2513
2019,69,2499
2019,47,2485
2019,75,2435
2019,42,2395
2019,46,2381
2019,43,2302
2019,44,2290
2019,74,2279
2019,45,2259
2019,77,2245
2019,73,2228
2019,80,2176
2019,78,2161
2019,79,2147
2019,82,2147
2019,83,2129
2019,81,2107
2019,84,2026
2019,85,2021
2019,86,1896
2019,87,1885
2019,88,1803
2019,89,1688
2019,90,1545
2019,91,1461
2019,92,1261
2019,221,1186
2019,218,1166
2019,220,1154
2019,219,1153
2019,217,1144
