year,rows,columns,encoding,rejected_fragments,blank_case_ids,duplicate_id_rows,exact_duplicate_rows,invalid_date_or_year,unknown_age_code_0,other_invalid_age,infant_month_codes,zero_weight,negative_weight,nonfinite_weight,invalid_design_rows,observed_psus,raw_weight_sum
2016,375196,25,utf-8,0,0,0,0,0,49,0,22572,0,0,0,0,84,14319403.177199999
2017,386905,25,cp1252,2,0,0,0,0,20,0,22818,0,0,0,0,89,14727699.7344
2018,361666,25,utf-8,2,0,0,0,0,18,0,21264,0,0,0,0,88,13959156.6458
2019,358714,25,utf-8,2,0,0,0,0,37,0,21505,0,0,0,0,84,13464291.240400001
2020,309370,25,utf-8,0,0,0,0,0,28,0,20753,0,0,0,0,82,10994077.067
2021,340440,25,utf-8,4,0,0,0,0,29,0,21365,0,0,0,0,80,11738070.98
2022,323343,25,utf-8,0,0,0,0,0,33,0,20176,0,0,0,0,78,12663028.3735
2023,338259,25,utf-8,6,0,0,0,0,23,0,19321,0,0,0,0,78,12740073.411999999
2024,361672,25,utf-8,0,0,0,0,0,29,0,21952,0,0,0,0,77,15068978.7641
2025,410201,25,utf-8,0,0,0,0,0,45,0,24339,0,0,0,0,77,16485412.9327
