year,field,raw_code,label,n
2016,Sex,1,Male,203480
2016,Sex,2,Female,171713
2016,Sex,0,Unknown,3
2016,Body_Part,75,HEAD,61873
2016,Body_Part,76,FACE,32090
2016,Body_Part,92,FINGER,31771
2016,Body_Part,79,LOWER TRUNK,31133
2016,Body_Part,37,ANKLE,21009
2016,Body_Part,31,UPPER TRUNK,20091
2016,Body_Part,35,KNEE,19738
2016,Body_Part,82,HAND,17652
2016,Body_Part,83,FOOT,16505
2016,Body_Part,30,SHOULDER,14904
2016,Body_Part,33,LOWER ARM,13687
2016,Body_Part,36,LOWER LEG,13574
2016,Body_Part,34,WRIST,12632
2016,Body_Part,85,ALL PARTS BODY,9803
2016,Body_Part,32,ELBOW,9254
2016,Body_Part,88,MOUTH,7908
2016,Body_Part,93,TOE,7606
2016,Body_Part,89,NECK,6390
2016,Body_Part,77,EYEBALL,5077
2016,Body_Part,94,EAR,5026
2016,Body_Part,81,UPPER LEG,4629
2016,Body_Part,80,UPPER ARM,4505
2016,Body_Part,0,INTERNAL,3704
2016,Body_Part,87,NOT STATED/UNK,2791
2016,Body_Part,38,PUBIC REGION,1822
2016,Body_Part,84,25-50% OF BODY,22
2016,Diagnosis,59,LACERATION,65413
2016,Diagnosis,57,FRACTURE,57854
2016,Diagnosis,71,OTHER,56258
2016,Diagnosis,64,"STRAIN, SPRAIN",52340
2016,Diagnosis,53,"CONTUSIONS, ABR.",50971
2016,Diagnosis,62,INTERNAL INJURY,37297
2016,Diagnosis,52,CONCUSSION,8692
2016,Diagnosis,56,FOREIGN BODY,6935
2016,Diagnosis,55,DISLOCATION,5625
2016,Diagnosis,68,POISONING,4533
2016,Diagnosis,58,HEMATOMA,3832
2016,Diagnosis,63,PUNCTURE,3253
2016,Diagnosis,51,"BURNS, THERMAL",3203
2016,Diagnosis,41,INGESTION,3140
2016,Diagnosis,74,DERMA/CONJUNCT,2571
2016,Diagnosis,48,"BURN, SCALD",2482
2016,Diagnosis,72,AVULSION,2348
2016,Diagnosis,60,DENTAL INJURY,1981
2016,Diagnosis,61,NERVE DAMAGE,1438
