year,mean,min,p01,p25,median,p75,p99,max
2016,38.16512749922707,4.5056,4.5056,14.6504,16.1154,63.7429,103.2251,103.2251
2017,38.06541588865484,4.757,4.757,15.4472,16.9919,75.5651,87.0904,87.0904
2018,38.596817632290566,4.9383,4.9383,16.5919,18.5439,72.8379,86.2161,86.2161
2019,37.5348919763377,4.8283,4.8283,15.64,18.4,74.4362,86.8422,86.8422
2020,35.53698505672819,4.851,4.851,15.9992,16.8413,73.8005,78.4131,78.4131
2021,34.479118141229,4.8516,4.8516,15.4438,17.0695,68.7233,76.078,76.078
2022,39.16283443123866,5.8342,5.8342,17.2223,19.2485,77.9827,80.97,80.97
2023,37.66366426909557,7.6092,7.6092,15.7688,17.5209,72.0202,89.7349,89.7349
2024,41.66476465996815,6.5801,6.5801,27.587,27.587,53.1295,108.0656,108.0656
2025,40.18862199921502,7.12,7.12,25.5462,28.1008,51.8171,113.1208,113.1208
