Source_Year,issue,case_number,field_count,line_number
2017,parser_field_count,170628255,22,154239
2017,parser_field_count,,4,154240
2018,parser_field_count,180200213,22,19796
2018,parser_field_count,,4,19797
2019,parser_field_count,190746091,22,179765
2019,parser_field_count,,4,179766
2021,parser_field_count,210332827,22,50148
2021,parser_field_count,,4,50149
2021,parser_field_count,210760065,22,180489
2021,parser_field_count,,4,180490
2023,parser_field_count,230975940,22,232530
2023,parser_field_count,,4,232531
2023,parser_field_count,240131872,22,327254
2023,parser_field_count,,4,327255
2023,parser_field_count,240152467,22,330053
2023,parser_field_count,,4,330054
