All,Source_Year,n,estimate,cv_approx,annual_pass
All,2016,76072,2733000.0,0.1061715472029497,True
All,2017,77760,2698900.0,0.08948005721549228,True
All,2018,69959,2476300.0,0.10833186211085354,True
All,2019,67988,2365100.0,0.11228460452668085,True
All,2020,41715,1403900.0,0.12411590905848566,True
All,2021,57171,1849300.0,0.11808135845515147,True
All,2022,60503,2176500.0,0.12633615653110175,True
All,2023,64571,2280700.0,0.10843008536505612,True
All,2024,69847,2682300.0,0.08320858488060255,True
All,2025,74051,2681000.0,0.08896006185634776,True
