All,Source_Year,n,estimate,cv_approx,annual_pass
All,2016,107696,3789800.0,0.10509499907541003,True
All,2017,110091,3763300.0,0.08834210923169379,True
All,2018,98728,3445800.0,0.10746684342431798,True
All,2019,98163,3355800.0,0.11184150455593538,True
All,2020,71300,2298900.0,0.1147487325699567,True
All,2021,89828,2822800.0,0.11274374747790523,True
All,2022,90919,3238400.0,0.12120233913933882,True
All,2023,95231,3306600.0,0.10458246889145935,True
All,2024,104486,3958400.0,0.07726391382184339,True
All,2025,112405,4027600.0,0.08306817978027933,True
