Age_Display,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
0,576,1300.0,355.87222789060587,0.26798103932543166,1300.0,True,passes conservative screen,0.1,0.01347585375774611,0.23691691525030772,10
1,2419,6300.0,1559.9737327234322,0.24734816503940343,6300.0,True,passes conservative screen,0.3,0.04991500170588671,0.18477887030398815,10
2,4014,11200.0,2685.3099659741274,0.2395426823595935,11200.0,True,passes conservative screen,0.5,0.08385397488433942,0.17463928670872206,10
3,4678,13500.0,3433.036835911772,0.25460609567589565,13500.0,True,passes conservative screen,0.6,0.10750093250482883,0.18613685655987197,10
4,5262,14600.0,3241.848293141868,0.22253997318096688,14600.0,True,passes conservative screen,0.6,0.09487738098747672,0.15205749853363765,10
5,7251,20300.0,4404.622186907509,0.21659112449946907,20300.0,True,passes conservative screen,0.9,0.12712611235488797,0.14594746973116143,10
6,9794,26400.0,5396.829911397223,0.20411959376500124,26400.0,True,passes conservative screen,1.1,0.1494263942339324,0.13194808490884402,10
7,12821,35300.0,6635.048701349673,0.18801778830038396,35300.0,True,passes conservative screen,1.5,0.17581618792342277,0.11631708079180934,10
8,16815,47100.0,7988.746286457402,0.16972210929425935,47100.0,True,passes conservative screen,2.0,0.1952975484652043,0.096869351785577,10
9,21873,61200.0,9681.06622228019,0.15813027433470514,61200.0,True,passes conservative screen,2.6,0.22433482108653105,0.08554966894186629,10
10,27554,77900.0,11734.094129028941,0.15072442764401645,77900.0,True,passes conservative screen,3.3,0.2576452572023388,0.07726557447732138,10
11,33791,96100.0,12759.49226769615,0.13279455540257087,96100.0,True,passes conservative screen,4.1,0.25670229948294343,0.06237440922671122,10
12,40050,114800.0,14147.861447259615,0.12326116433780542,114800.0,True,passes conservative screen,4.9,0.26843440991303125,0.054601360481947726,10
13,46311,135100.0,16053.692092781672,0.11881334989580818,135100.0,True,passes conservative screen,5.8,0.31014008019184197,0.0535892916732086,10
14,48487,146800.0,16868.76508413246,0.11494686835412848,146800.0,True,passes conservative screen,6.3,0.3064575299979801,0.04875441620250137,10
15,46485,146200.0,17098.741158093544,0.11697729474268105,146200.0,True,passes conservative screen,6.3,0.2988283162690961,0.04772973173348501,10
16,41546,134500.0,15005.653499126123,0.11156146950894112,134500.0,True,passes conservative screen,5.8,0.2365293670413776,0.04105576909375285,10
17,35199,119700.0,12478.047214051217,0.10426998548324141,119700.0,True,passes conservative screen,5.1,0.20466228012629936,0.03992825282754863,10
18,18868,74200.0,6953.566193981761,0.09375896909964596,74200.0,True,passes conservative screen,3.2,0.16231170843209233,0.05109576307224832,10
19,12825,53700.0,6200.259056134377,0.11554494707510264,53700.0,True,passes conservative screen,2.3,0.21517536968214712,0.09361889062786867,10
20,11499,48700.0,5977.871163182568,0.12282350801166898,48700.0,True,passes conservative screen,2.1,0.20883683071701958,0.10017788314217634,10
21,10085,43500.0,5204.148038764807,0.11964266279262316,43500.0,True,passes conservative screen,1.9,0.1859999689665889,0.09983414661132982,10
22,8780,37100.0,3925.6479116391683,0.10577040673075574,37100.0,True,passes conservative screen,1.6,0.14016932358357953,0.08817299981266986,10
23,7976,33200.0,3303.775181987063,0.09946018489770597,33200.0,True,passes conservative screen,1.4,0.12560454351352388,0.0882823602053034,10
24,7602,31200.0,2962.260406702782,0.09483154535778392,31200.0,True,passes conservative screen,1.3,0.11104911877197728,0.08299931737812366,10
25,7186,29900.0,2978.7795226761923,0.09951594529737094,29900.0,True,passes conservative screen,1.3,0.10296756858186708,0.08031276551296955,10
26,6722,27800.0,2663.963848855073,0.09577905672316112,27800.0,True,passes conservative screen,1.2,0.09879580147127336,0.08292978270676377,10
27,6653,27300.0,2636.7478815959666,0.09644564932117364,27300.0,True,passes conservative screen,1.2,0.09747044774615633,0.08323707428372573,10
28,6378,26700.0,2669.602609362176,0.1001588088232478,26700.0,True,passes conservative screen,1.1,0.0975040890611733,0.08540733528248119,10
29,5962,24700.0,2540.501675275332,0.10278777012291912,24700.0,True,passes conservative screen,1.1,0.08851867980338753,0.08361548190812618,10
30,5736,24200.0,2528.7136570474067,0.10456032514046532,24200.0,True,passes conservative screen,1.0,0.08789886776800555,0.08485557134239226,10
31,5547,23500.0,2380.515367072655,0.10117569530476446,23500.0,True,passes conservative screen,1.0,0.08763881586152492,0.0869624004696877,10
32,5474,23500.0,2415.713208990705,0.10300620751150497,23500.0,True,passes conservative screen,1.0,0.08775460224575388,0.08736102797767184,10
