Age_Display,Source_Year,n,estimate,cv_approx,annual_pass
0,2016,52,,0.29638181852580175,False
1,2016,241,6100.0,0.20972648156618326,True
2,2016,376,11100.0,0.18479611372154495,True
3,2016,477,14600.0,0.1955784217896092,True
4,2016,536,17000.0,0.17007455844753405,True
5,2016,740,23000.0,0.18756437869698606,True
6,2016,1072,30700.0,0.17044534375872475,True
7,2016,1435,43300.0,0.1450144083620341,True
8,2016,1972,56600.0,0.1436002529140711,True
9,2016,2569,79900.0,0.13935236783308688,True
10,2016,3283,99500.0,0.13040346305432896,True
11,2016,3964,121500.0,0.12232781698123459,True
12,2016,4845,142800.0,0.10956639028849674,True
13,2016,5471,167300.0,0.1177671530500025,True
14,2016,5755,179400.0,0.11000116836586635,True
15,2016,5503,185500.0,0.11287793332913683,True
16,2016,4903,167500.0,0.10994187299065981,True
17,2016,4054,144800.0,0.10221407773936118,True
18,2016,2319,93700.0,0.09104998568120753,True
19,2016,1579,63200.0,0.10157194945354084,True
20,2016,1392,54800.0,0.11035869166182298,True
21,2016,1291,53700.0,0.10661352438333693,True
22,2016,1194,48000.0,0.09404613116033449,True
23,2016,1041,41100.0,0.11593655194828094,True
24,2016,982,39400.0,0.09512752943772179,True
25,2016,969,38300.0,0.1225247755793108,True
26,2016,814,30400.0,0.10804578341438018,True
27,2016,838,33600.0,0.10765667395936823,True
28,2016,757,31200.0,0.10251256262685354,True
29,2016,738,29300.0,0.11344053724822206,True
30,2016,711,29900.0,0.11934700722464896,True
31,2016,640,26300.0,0.1219014109340567,True
32,2016,667,28700.0,0.1284491426454238,True
33,2016,602,24900.0,0.09960800082471981,True
34,2016,584,26000.0,0.11010701315584953,True
35,2016,551,23500.0,0.10881523980447963,True
36,2016,538,22900.0,0.11364575934526919,True
37,2016,459,20500.0,0.12455987623373554,True
38,2016,474,20600.0,0.10230762883254657,True
39,2016,439,19200.0,0.12474533142820791,True
40,2016,374,17300.0,0.11919242098865168,True
41,2016,355,15900.0,0.13186873557476309,True
42,2016,393,16800.0,0.11252261959097411,True
43,2016,353,15500.0,0.12993428465510018,True
44,2016,370,16300.0,0.11972993039005392,True
45,2016,363,17800.0,0.09927168283781203,True
46,2016,373,15700.0,0.13677222083938528,True
47,2016,316,14300.0,0.15365147761488265,True
48,2016,300,13100.0,0.12228528576507498,True
49,2016,287,12100.0,0.11836962545295346,True
50,2016,328,14100.0,0.13082930831501555,True
51,2016,323,14700.0,0.1370526859850902,True
52,2016,276,12600.0,0.12935859691809956,True
53,2016,285,13300.0,0.1249059502120879,True
54,2016,237,11800.0,0.16937250292798808,True
55,2016,258,11100.0,0.1555645031605601,True
56,2016,216,10300.0,0.14398472692831818,True
57,2016,214,9400.0,0.15776722018602632,True
58,2016,226,11100.0,0.16180003149294228,True
59,2016,204,8600.0,0.1662502026095082,True
60,2016,189,9500.0,0.16575563271589228,True
61,2016,191,8700.0,0.21258094842609454,True
62,2016,164,7800.0,0.19214596390031607,True
63,2016,166,8300.0,0.20532995213082791,True
64,2016,165,7500.0,0.20545708112607572,True
65,2016,174,9100.0,0.19741787038052078,True
66,2016,146,7800.0,0.3059147043420675,True
67,2016,178,9300.0,0.21168384068201657,True
68,2016,189,10300.0,0.26370362416027265,True
69,2016,175,9400.0,0.3076539561551005,True
70,2016,116,6800.0,0.2627156424413549,True
71,2016,122,6500.0,0.3020024938212285,True
72,2016,112,6500.0,0.28088037899392015,True
73,2016,129,7400.0,0.29214681435151707,True
74,2016,92,5700.0,0.30028185133123314,True
75,2016,110,6800.0,0.2807521874644411,True
76,2016,87,5100.0,0.29699954771770515,True
77,2016,87,,0.33608695210086886,False
78,2016,79,,0.34422757281643934,False
79,2016,68,3700.0,0.29502313998215407,True
80,2016,44,2600.0,0.24404503169915073,True
81,2016,57,3300.0,0.25594233383440346,True
82,2016,40,2200.0,0.2407717458978244,True
83,2016,42,2200.0,0.26575905604088335,True
84,2016,38,2300.0,0.28454187501301437,True
85,2016,36,1600.0,0.21321142090855155,True
86,2016,31,,0.38252209875824306,False
87,2016,31,1900.0,0.3057572643038133,True
88,2016,25,,0.4196151500255399,False
89,2016,30,,0.3639895045333078,False
90,2016,81,4100.0,0.24486323000480578,True
0,2017,55,,0.2628398999939493,False
1,2017,278,7200.0,0.2025299708102687,True
2,2017,424,12100.0,0.19878126184680775,True
3,2017,518,14100.0,0.23875168604040228,True
4,2017,585,15500.0,0.182432647476083,True
5,2017,825,23400.0,0.18267421706539325,True
6,2017,1120,30200.0,0.20002740485302226,True
7,2017,1484,41100.0,0.16157820896761585,True
8,2017,2028,56600.0,0.14119312005206905,True
9,2017,2673,73600.0,0.12108319196611848,True
10,2017,3440,96800.0,0.11969968821547142,True
11,2017,4169,119200.0,0.1089135631589434,True
12,2017,4805,141100.0,0.10772583083201201,True
13,2017,5724,169100.0,0.10196909095336797,True
14,2017,5861,185400.0,0.10126030281665081,True
15,2017,5610,175900.0,0.09763918916650849,True
16,2017,5025,164300.0,0.09663947288957066,True
17,2017,4214,144900.0,0.08627246037654086,True
18,2017,2223,85100.0,0.07672704508078089,True
19,2017,1540,61900.0,0.09483047503764806,True
20,2017,1434,57500.0,0.10790685578156911,True
21,2017,1298,52500.0,0.09682681544537465,True
22,2017,1045,40600.0,0.09316803582767783,True
23,2017,983,36700.0,0.08734884604469337,True
24,2017,979,37400.0,0.09339320180532344,True
25,2017,892,35500.0,0.08795715641119589,True
26,2017,803,32400.0,0.09240395650243262,True
27,2017,881,35300.0,0.09735564471404982,True
28,2017,815,32300.0,0.08421108479457541,True
29,2017,714,27100.0,0.10506495757737752,True
30,2017,719,28900.0,0.11045075523165859,True
31,2017,682,27700.0,0.09223584559446642,True
32,2017,632,25500.0,0.09061718738142903,True
33,2017,594,24400.0,0.10336453765517081,True
34,2017,535,21900.0,0.08664708180757508,True
35,2017,542,23900.0,0.09521282994708201,True
36,2017,556,24000.0,0.09079279236839276,True
37,2017,467,20100.0,0.1056649891927753,True
38,2017,460,20100.0,0.09875068406075597,True
39,2017,426,18400.0,0.09641394610768247,True
40,2017,404,18400.0,0.10020864978841504,True
41,2017,361,15800.0,0.10033823532745205,True
42,2017,323,14000.0,0.11313449241039868,True
43,2017,316,14300.0,0.1049633929388375,True
44,2017,306,13600.0,0.09900943855401258,True
45,2017,332,15000.0,0.1285812862806856,True
46,2017,345,14200.0,0.09496458882794957,True
47,2017,345,16000.0,0.09760864203287724,True
48,2017,329,14400.0,0.10945479805814176,True
49,2017,277,12500.0,0.11576810027774746,True
50,2017,274,13100.0,0.14866459479615868,True
51,2017,325,15000.0,0.12217273336854408,True
52,2017,305,13800.0,0.11538375815367719,True
53,2017,304,13400.0,0.11165998159822574,True
54,2017,266,12800.0,0.12853706156286682,True
55,2017,259,11800.0,0.12575325745404525,True
56,2017,246,10800.0,0.10413671809772482,True
57,2017,264,12300.0,0.11257457017388746,True
58,2017,212,9400.0,0.14810193416127268,True
59,2017,211,10400.0,0.15761739123558619,True
60,2017,204,9500.0,0.13631438064249532,True
