Age_Display,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
0,259,,203.32398538771776,0.32888935195933017,,False,estimate < 1200,,0.02514375748151109,0.31283702662676,10
1,981,2500.0,661.9635738239635,0.26329905266428877,2500.0,True,passes conservative screen,0.3,0.06680920686154017,0.20439877636359513,10
2,1633,4500.0,1096.2770299929175,0.24573212048543755,4500.0,True,passes conservative screen,0.6,0.10824034388782659,0.18661972630516488,10
3,1888,5500.0,1571.754494080076,0.28700447369079757,5500.0,True,passes conservative screen,0.7,0.1576304289255808,0.22139651679924288,10
4,2079,6100.0,1552.4981222097376,0.254773635330283,6100.0,True,passes conservative screen,0.8,0.14540801591707747,0.18354329333990285,10
5,2842,8300.0,2001.6085217807681,0.23979944506010284,8300.0,True,passes conservative screen,1.1,0.1835223443844695,0.16911602097291664,10
6,3560,9800.0,2142.6530229124855,0.2186979149333039,9800.0,True,passes conservative screen,1.3,0.18966947674475715,0.14890765063181596,10
7,4373,12700.0,2806.526621831411,0.2202202739776782,12700.0,True,passes conservative screen,1.7,0.24625013639125864,0.14862483421448752,10
8,5762,16700.0,3174.1407771796207,0.1899340792750787,16700.0,True,passes conservative screen,2.2,0.25393162189248975,0.11687463539695123,10
9,7396,21900.0,3963.0419581168962,0.1813618576137839,21900.0,True,passes conservative screen,2.8,0.3067363109607228,0.1079715276752248,10
10,9129,26800.0,4476.149431616438,0.16702293435486823,26800.0,True,passes conservative screen,3.5,0.3209995305649865,0.09213034576793049,10
11,10827,32500.0,4510.984139200981,0.138765765592926,32500.0,True,passes conservative screen,4.2,0.3087048687762832,0.07304345141159584,10
12,12607,38100.0,4815.9660771498375,0.12656801402817627,38100.0,True,passes conservative screen,4.9,0.31994307489143936,0.06467553529620096,10
13,14490,44400.0,5498.93692833397,0.12386585927039191,44400.0,True,passes conservative screen,5.8,0.38017716965277,0.0658696999948103,10
14,15171,48100.0,5786.298554808991,0.12026134721252489,48100.0,True,passes conservative screen,6.3,0.37864690603012674,0.06053219327386391,10
15,14490,46300.0,5506.133313948174,0.11885422146347444,46300.0,True,passes conservative screen,6.0,0.3600816565357998,0.059785471439284095,10
16,12346,40600.0,4646.045987584922,0.11453524575388124,40600.0,True,passes conservative screen,5.3,0.27290135064807525,0.051747348757416115,10
