Age_Display,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
0,317,,244.29029361682916,0.3441864778889149,,False,"estimate < 1200; CV bound outside [0, 0.33]",,0.014302762323967138,0.31539962513409175,10
1,1438,3800.0,980.6873388192173,0.2585736951002996,3800.0,True,passes conservative screen,0.2,0.04856892614637094,0.2004314798681181,10
2,2381,6700.0,1709.9422611567122,0.253366684028014,6700.0,True,passes conservative screen,0.4,0.08276453784159277,0.19194023147560904,10
3,2790,8000.0,1955.7667071713508,0.2442477476939399,8000.0,True,passes conservative screen,0.5,0.091121999645243,0.1781108674207126,10
4,3183,8500.0,1811.9097036615426,0.2138236624028842,8500.0,True,passes conservative screen,0.5,0.08093367387856645,0.1494865526142167,10
5,4409,12000.0,2509.822553096273,0.2093419420205596,12000.0,True,passes conservative screen,0.8,0.10870701732354658,0.14191374777172663,10
6,6234,16600.0,3366.3766385410972,0.20227917348278104,16600.0,True,passes conservative screen,1.1,0.14066398081055656,0.13228939440587853,10
7,8448,22500.0,3984.3943335752438,0.17672842602857777,22500.0,True,passes conservative screen,1.4,0.1576262128993169,0.10942742899214963,10
8,11052,30300.0,4973.652966543961,0.16389101712794898,30300.0,True,passes conservative screen,1.9,0.18430409156808522,0.09505354233361331,10
9,14477,39400.0,5898.536587222167,0.14982115529535647,39400.0,True,passes conservative screen,2.5,0.2040343202681065,0.08111211914148664,10
10,18422,51000.0,7453.5225702700745,0.1460399434462962,51000.0,True,passes conservative screen,3.3,0.24843483155557372,0.0761861853869067,10
11,22959,63600.0,8515.203231821342,0.1339476247402802,63600.0,True,passes conservative screen,4.1,0.26174402255344775,0.06444221060944494,10
12,27441,76700.0,9677.295148506179,0.12612859615666225,76700.0,True,passes conservative screen,4.9,0.28566794175060517,0.05827398786385462,10
13,31818,90700.0,10956.333638731132,0.12077547631708792,90700.0,True,passes conservative screen,5.8,0.318898359249391,0.05501985649547764,10
14,33309,98600.0,11440.233870409747,0.11599243995073129,98600.0,True,passes conservative screen,6.3,0.31362672458736,0.04976929652770597,10
15,31990,99800.0,11904.42355370983,0.1192477274194728,99800.0,True,passes conservative screen,6.4,0.31849665350343126,0.049934450210538495,10
16,29196,93900.0,10719.729506063624,0.11413050199762251,93900.0,True,passes conservative screen,6.0,0.27056461639115786,0.04508608851488834,10
17,25530,86200.0,9163.927382610624,0.10632076309771407,86200.0,True,passes conservative screen,5.5,0.24032745852545673,0.0436408798739331,10
18,13963,54400.0,5299.820243625878,0.09736971494121846,54400.0,True,passes conservative screen,3.5,0.1736546976305367,0.04993475845030444,10
19,9465,39300.0,4566.457466321714,0.11625028496023827,39300.0,True,passes conservative screen,2.5,0.23651059511771935,0.09423643941223178,10
20,8661,36400.0,4565.735070571851,0.1253372988332789,36400.0,True,passes conservative screen,2.3,0.23845974712220874,0.10245622745226757,10
21,7626,33000.0,3907.990732137886,0.11850605039784821,33000.0,True,passes conservative screen,2.1,0.2109789015021179,0.10013356631934335,10
22,6750,28200.0,3034.6680272719013,0.10777009717167783,28200.0,True,passes conservative screen,1.8,0.16074444190150328,0.08934632811550464,10
23,6033,24900.0,2522.2836668614104,0.1013072059063348,24900.0,True,passes conservative screen,1.6,0.14734746770843923,0.09262809764565288,10
24,5653,23100.0,2165.5092856107967,0.09381796728892776,23100.0,True,passes conservative screen,1.5,0.12254024084146174,0.0830918362718854,10
25,5253,21500.0,2218.220384173187,0.10328051463571442,21500.0,True,passes conservative screen,1.4,0.11582783571020865,0.08440735691728193,10
26,4897,20000.0,1951.7434117220741,0.09740079470114743,20000.0,True,passes conservative screen,1.3,0.11005233478141017,0.08595926577659736,10
27,4814,19400.0,1984.1904159527912,0.10205076775843999,19400.0,True,passes conservative screen,1.2,0.10673215798611078,0.08591754866745233,10
28,4509,18600.0,1949.574039517804,0.10483954949220854,18600.0,True,passes conservative screen,1.2,0.10790132288810485,0.09081672584447056,10
29,4268,17400.0,1791.9683626625276,0.10304038256331774,17400.0,True,passes conservative screen,1.1,0.10023606324762624,0.09021002110275472,10
30,4102,17100.0,1830.9109074669213,0.10705017165017226,17100.0,True,passes conservative screen,1.1,0.09726497710133059,0.08900825838150149,10
31,3895,16200.0,1710.3341838003896,0.10588541541654418,16200.0,True,passes conservative screen,1.0,0.0961996080101828,0.09321421138482092,10
32,3898,16300.0,1752.6515057012105,0.1077868937668595,16300.0,True,passes conservative screen,1.0,0.09849637243710158,0.09480784619151453,10
