Age_Display,Source_Year,n,estimate,cv_approx,annual_pass
0,2016,37,,0.3434446356110057,False
1,2016,155,3700.0,0.21596994794755137,True
2,2016,224,6500.0,0.185977836525945,True
3,2016,296,9200.0,0.18267375913711326,True
4,2016,335,9600.0,0.16702249313068035,True
5,2016,457,13400.0,0.19362050061978325,True
6,2016,705,19700.0,0.17635807754970328,True
7,2016,970,27300.0,0.14634583710032603,True
8,2016,1305,35900.0,0.14059482246651472,True
9,2016,1720,51000.0,0.13779953033875547,True
10,2016,2182,63300.0,0.1323359859086203,True
11,2016,2667,78000.0,0.1266334915086133,True
12,2016,3331,95700.0,0.10963237118316667,True
13,2016,3693,110200.0,0.12344982351728347,True
14,2016,3933,119200.0,0.109744711129881,True
15,2016,3705,122800.0,0.11607723492632507,True
16,2016,3493,117800.0,0.11097316032397171,True
17,2016,2937,103800.0,0.09990895620608123,True
18,2016,1732,69000.0,0.09370540043484679,True
19,2016,1177,46100.0,0.10395112910780589,True
20,2016,1054,41400.0,0.11611715539594052,True
21,2016,980,41900.0,0.11093345344250863,True
22,2016,940,36700.0,0.0951034592359667,True
23,2016,782,30200.0,0.12108850680022493,True
24,2016,736,28600.0,0.0932114022238924,True
25,2016,728,28700.0,0.11726821470771726,True
26,2016,612,22000.0,0.11227956420220582,True
27,2016,630,24500.0,0.1193905654256675,True
28,2016,534,21400.0,0.11173847725349588,True
29,2016,530,20500.0,0.10786861452197241,True
30,2016,533,22100.0,0.11462178212352231,True
31,2016,454,17900.0,0.13266311537762643,True
32,2016,472,19500.0,0.1501120001985262,True
33,2016,422,16400.0,0.1088409686910398,True
34,2016,413,17900.0,0.11483783725711745,True
35,2016,390,16100.0,0.11868937117657677,True
36,2016,368,15600.0,0.1196499745563359,True
37,2016,301,12800.0,0.1350508016032464,True
38,2016,322,13700.0,0.11335280283702893,True
39,2016,299,12600.0,0.11369831511276698,True
40,2016,251,11000.0,0.14061088558195328,True
41,2016,227,9800.0,0.1312529193648388,True
42,2016,262,10900.0,0.10003048095126459,True
43,2016,242,10300.0,0.13217452619896508,True
44,2016,249,11100.0,0.12713179244647585,True
45,2016,234,11400.0,0.11647251258909908,True
46,2016,249,10000.0,0.12886322840854048,True
47,2016,214,9600.0,0.18590004556817255,True
48,2016,196,8200.0,0.15379381795685984,True
49,2016,168,7000.0,0.13224994771136,True
50,2016,199,8800.0,0.1506743881567288,True
51,2016,203,9000.0,0.18681923141933976,True
52,2016,185,8100.0,0.14439184064801286,True
53,2016,169,7600.0,0.15309157710385793,True
54,2016,158,7800.0,0.17760041695863754,True
55,2016,156,6600.0,0.18235726702272942,True
