Body_Region,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Head/face,0-4,8292,24400.0,5642.747116063374,0.23085162459366088,24400.0,True,passes conservative screen,52.1,1.941966595661039,0.03725813204668254,10
Head/face,5-9,26756,76500.0,14954.023277868338,0.19557768483695984,76500.0,True,passes conservative screen,40.2,1.4235614037354891,0.0354409897896492,10
Head/face,10-14,45307,130200.0,16703.34808986025,0.1282646352021951,130200.0,True,passes conservative screen,22.8,0.7298788493539929,0.03197970698787991,10
Head/face,15-17,28503,91100.0,10504.322696586245,0.11528426455080956,91100.0,True,passes conservative screen,22.8,0.70754316371864,0.031087962946341887,10
Head/face,18-24,15712,66300.0,7486.736035541345,0.11283905285489024,66300.0,True,passes conservative screen,20.6,0.7232026071736523,0.035050298617851014,10
Head/face,25-34,8940,37900.0,3921.5336801258295,0.10345041744670223,37900.0,True,passes conservative screen,15.1,0.6402838411272563,0.042301212876634096,10
Head/face,35-44,5053,22800.0,2499.3487852567605,0.10975466208384212,22800.0,True,passes conservative screen,13.5,0.6720441605890889,0.0496941578092335,10
Head/face,45-54,3577,16000.0,2081.505829410068,0.12999925160924308,16000.0,True,passes conservative screen,13.3,0.9076668586138663,0.06839286141923667,10
Head/face,55-64,2888,13500.0,1841.6109129923238,0.13685907314239584,13500.0,True,passes conservative screen,13.0,0.9311916288934439,0.07143029796289667,10
Head/face,65-74,2941,14700.0,2704.6312248602453,0.18385011133144144,14700.0,True,passes conservative screen,15.6,1.2758872594988937,0.08175280992909434,10
Head/face,75+,2736,13500.0,3170.87534914588,0.23462074472255348,13500.0,True,passes conservative screen,19.9,1.66312758657573,0.08366341749837554,10
Neck,0-4,151,,134.14563761520697,0.4056703080358204,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.27535633913114566,0.3905069085057299,10
Neck,5-9,1234,3100.0,659.2386614775944,0.20936559180718242,3100.0,True,passes conservative screen,1.7,0.20996229575670258,0.12693235626790522,10
Neck,10-14,3217,8500.0,1186.392701039064,0.1393171559441223,8500.0,True,passes conservative screen,1.5,0.14689062631026936,0.09842162232183416,10
Neck,15-17,2088,6700.0,975.4812373430974,0.1455803185614877,6700.0,True,passes conservative screen,1.7,0.19381088783369096,0.11579752150725073,10
Neck,18-24,1239,5000.0,691.4571391476645,0.13731134040053333,5000.0,True,passes conservative screen,1.6,0.16642197213437987,0.10627145683147737,10
Neck,25-34,1229,5200.0,763.7774047516382,0.14761248027883725,5200.0,True,passes conservative screen,2.1,0.22970520025300756,0.11118112867199023,10
Neck,35-44,841,3900.0,597.168048353557,0.15474230573483796,3900.0,True,passes conservative screen,2.3,0.28408856787030873,0.12395888779008295,10
Neck,45-54,603,2800.0,531.6975625680222,0.19093932634236346,2800.0,True,passes conservative screen,2.3,0.3506941736440444,0.1519428759046811,10
Neck,55-64,409,1800.0,373.12975270760654,0.20801396372501577,1800.0,True,passes conservative screen,1.7,0.30216904630728564,0.17388025447666308,10
Neck,65-74,341,1700.0,404.0536834912011,0.24383911791404347,1700.0,True,passes conservative screen,1.8,0.30568517152216934,0.17388944797643158,10
Neck,75+,232,,350.4018359590372,0.29407095382919474,,False,estimate < 1200,,0.39006159465345264,0.22255724840668617,10
Shoulder/upper arm,0-4,333,,305.71884189537093,0.36079704335943275,,False,"estimate < 1200; CV bound outside [0, 0.33]",,0.4776445598926999,0.2643519842206834,10
Shoulder/upper arm,5-9,2625,7100.0,1455.0873860593995,0.20405389397109,7100.0,True,passes conservative screen,3.7,0.34321419908965406,0.0916198226501789,10
Shoulder/upper arm,10-14,10522,31800.0,4013.338610424219,0.12637135768303578,31800.0,True,passes conservative screen,5.6,0.27464644111369446,0.04934431526938312,10
Shoulder/upper arm,15-17,9109,30700.0,3584.9214137353133,0.11658426843501266,30700.0,True,passes conservative screen,7.7,0.36404046495903664,0.04739661439297747,10
Shoulder/upper arm,18-24,7249,31000.0,3309.412683019077,0.10678646290032066,31000.0,True,passes conservative screen,9.6,0.4865858677971238,0.05048816590236417,10
Shoulder/upper arm,25-34,5138,22000.0,2049.4364551804524,0.0932022447984147,22000.0,True,passes conservative screen,8.8,0.44962090502357566,0.05120853964322339,10
Shoulder/upper arm,35-44,3303,15000.0,1612.4817236659565,0.10765031820352414,15000.0,True,passes conservative screen,8.9,0.5695076525999431,0.06402233263245834,10
Shoulder/upper arm,45-54,2249,10400.0,1234.7295082795051,0.11904999574305489,10400.0,True,passes conservative screen,8.6,0.6752507490691035,0.07854955094211635,10
Shoulder/upper arm,55-64,1742,8300.0,1237.3959347228615,0.14905439602456927,8300.0,True,passes conservative screen,8.0,0.7436030340031554,0.09245809504553924,10
Shoulder/upper arm,65-74,1335,6700.0,1313.9254766272215,0.1950855050252469,6700.0,True,passes conservative screen,7.1,0.8521331844350749,0.11926040926483068,10
Shoulder/upper arm,75+,776,4000.0,983.5379996764234,0.24463514030691635,4000.0,True,passes conservative screen,5.9,0.7436275764276707,0.12574941629366174,10
Elbow/forearm,0-4,965,2200.0,488.3552875748948,0.22506726450765405,2200.0,True,passes conservative screen,4.6,0.7480052907186122,0.16166577274784033,10
