Body_Region,Age_Band,Source_Year,n,estimate,cv_approx,annual_pass
Head/face,0-4,2016,868,27900.0,0.14772391099942525,True
Head/face,5-9,2016,2951,90600.0,0.15097855470096197,True
Head/face,10-14,2016,5456,161000.0,0.115760685298501,True
Head/face,15-17,2016,3518,115800.0,0.11133047217422697,True
Head/face,18-24,2016,2009,81900.0,0.1022740306797575,True
Head/face,25-34,2016,1058,43800.0,0.11780163386658525,True
Head/face,35-44,2016,519,23400.0,0.12703563966060302,True
Head/face,45-54,2016,396,16800.0,0.14928381253609552,True
Head/face,55-64,2016,278,12900.0,0.15892979252904293,True
Head/face,65-74,2016,194,10100.0,0.2695377728920783,True
Head/face,75+,2016,177,9700.0,0.2617273128314836,True
Neck,0-4,2016,19,,0.3779934025715576,False
Neck,5-9,2016,129,4000.0,0.1835771276555504,True
Neck,10-14,2016,466,12200.0,0.13610539579203787,True
Neck,15-17,2016,247,8800.0,0.1752011078639143,True
Neck,18-24,2016,150,5600.0,0.12321240461735153,True
Neck,25-34,2016,154,6400.0,0.13419256520449863,True
Neck,35-44,2016,102,4400.0,0.14975018184145172,True
Neck,45-54,2016,84,4000.0,0.2663686002706911,True
Neck,55-64,2016,32,1400.0,0.23894268473768615,True
Neck,65-74,2016,34,1700.0,0.31746857215076235,True
Neck,75+,2016,19,,0.3956637691016603,False
Shoulder/upper arm,0-4,2016,28,,0.3475367837695637,False
Shoulder/upper arm,5-9,2016,281,7900.0,0.19029862938277223,True
Shoulder/upper arm,10-14,2016,1186,35700.0,0.13083361327519005,True
Shoulder/upper arm,15-17,2016,1042,36200.0,0.12194862445653454,True
Shoulder/upper arm,18-24,2016,900,38400.0,0.10565917613847904,True
Shoulder/upper arm,25-34,2016,647,27100.0,0.11086756453179666,True
Shoulder/upper arm,35-44,2016,377,17100.0,0.10633599989765694,True
Shoulder/upper arm,45-54,2016,282,11800.0,0.11536607749295984,True
Shoulder/upper arm,55-64,2016,155,7100.0,0.16758985952869188,True
Shoulder/upper arm,65-74,2016,120,6100.0,0.23825636772026765,True
Shoulder/upper arm,75+,2016,63,3400.0,0.22381262211669817,True
Elbow/forearm,0-4,2016,123,2400.0,0.1937244835810537,True
Elbow/forearm,5-9,2016,839,20300.0,0.17047644999689965,True
Elbow/forearm,10-14,2016,1967,51900.0,0.12001046602658925,True
Elbow/forearm,15-17,2016,718,24700.0,0.12476558748572479,True
Elbow/forearm,18-24,2016,319,13300.0,0.12442706251057967,True
Elbow/forearm,25-34,2016,229,8700.0,0.13048530314438234,True
Elbow/forearm,35-44,2016,141,7000.0,0.15495703783011713,True
Elbow/forearm,45-54,2016,122,5300.0,0.11997495552247592,True
Elbow/forearm,55-64,2016,76,3300.0,0.19195441289881837,True
Elbow/forearm,65-74,2016,51,2700.0,0.24154320672120982,True
Elbow/forearm,75+,2016,26,,0.2484600313546234,False
Wrist/hand,0-4,2016,141,4100.0,0.1525655078017919,True
Wrist/hand,5-9,2016,1330,43700.0,0.14141105119942848,True
Wrist/hand,10-14,2016,5255,174200.0,0.1168197734076066,True
Wrist/hand,15-17,2016,2285,79400.0,0.1132324994072866,True
Wrist/hand,18-24,2016,1292,53000.0,0.08927063189480729,True
Wrist/hand,25-34,2016,918,37400.0,0.09253452449002456,True
Wrist/hand,35-44,2016,550,25200.0,0.10787741050566305,True
