Diagnosis_Plot,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Strain/sprain,0-4,439,,325.84471751833945,0.29061135695874396,,False,estimate < 1200,,0.5139796386545664,0.2149734305104147,10
Strain/sprain,5-9,8176,24800.0,4671.374349002709,0.18807269622061024,24800.0,True,passes conservative screen,13.0,0.8709604999525836,0.06674948623566594,10
Strain/sprain,10-14,43992,138400.0,17957.621326908855,0.12976721873979277,138400.0,True,passes conservative screen,24.3,1.1464883730606477,0.047272235980982125,10
Strain/sprain,15-17,33620,114500.0,13381.878128363122,0.11682303387254578,114500.0,True,passes conservative screen,28.6,1.2910016474549255,0.04512067154755174,10
Strain/sprain,18-24,21218,87800.0,8654.082784285458,0.09860943292728698,87800.0,True,passes conservative screen,27.3,1.3307351529405096,0.04875889712497213,10
Strain/sprain,25-34,16555,68900.0,6474.016043467236,0.09401455202753543,68900.0,True,passes conservative screen,27.5,1.4282010431084062,0.05194151773654518,10
Strain/sprain,35-44,9890,43500.0,4458.353978780535,0.10253371782155388,43500.0,True,passes conservative screen,25.8,1.447514789991259,0.056056577679417845,10
Strain/sprain,45-54,5721,25700.0,3088.4205122580665,0.12015252301559383,25700.0,True,passes conservative screen,21.3,1.6629767136526592,0.0780555358420271,10
Strain/sprain,55-64,3549,16800.0,2814.891696657215,0.16752735594915638,16800.0,True,passes conservative screen,16.3,1.5725291394045344,0.09660295913930439,10
Strain/sprain,65-74,2404,12600.0,3143.2383840223456,0.24932940308063162,12600.0,True,passes conservative screen,13.4,1.603964314838642,0.11992933574846211,10
Strain/sprain,75+,1184,6500.0,1936.1246019978255,0.2958741875132033,6500.0,True,passes conservative screen,9.6,1.485535341021538,0.15434037715641655,10
Fracture,0-4,1691,3700.0,792.6172908541641,0.2169489016569622,3700.0,True,passes conservative screen,7.8,1.0990927499386738,0.1410799286343936,10
Fracture,5-9,13851,32600.0,5281.381798572273,0.16198414435224145,32600.0,True,passes conservative screen,17.1,0.8811992486576268,0.05144787590804211,10
Fracture,10-14,46211,117300.0,14466.709609561993,0.12330878898092938,117300.0,True,passes conservative screen,20.6,0.6044281469927977,0.029396068576707596,10
Fracture,15-17,19864,57800.0,6340.454996627674,0.10960509518233098,57800.0,True,passes conservative screen,14.4,0.5110251513412376,0.035366325749356435,10
Fracture,18-24,9666,39400.0,4515.5616365810065,0.11451250575021894,39400.0,True,passes conservative screen,12.3,0.6282325805135878,0.05123024431512489,10
