Diagnosis_Plot,Age_Band,Source_Year,n,estimate,cv_approx,annual_pass
Strain/sprain,0-4,2016,66,1600.0,0.2514706953319137,True
Strain/sprain,5-9,2016,1200,40400.0,0.15024498528717778,True
Strain/sprain,10-14,2016,6138,197600.0,0.10984737904830554,True
Strain/sprain,15-17,2016,4481,163500.0,0.10862383962287638,True
Strain/sprain,18-24,2016,3154,128200.0,0.09611367091174307,True
Strain/sprain,25-34,2016,2483,97700.0,0.10406956289103372,True
Strain/sprain,35-44,2016,1420,60300.0,0.1164102109219838,True
Strain/sprain,45-54,2016,828,36500.0,0.13003842323620984,True
Strain/sprain,55-64,2016,441,20200.0,0.16819939247158147,True
Strain/sprain,65-74,2016,259,14300.0,0.21417176099912577,True
Strain/sprain,75+,2016,110,6000.0,0.2611270799757604,True
Fracture,0-4,2016,169,3700.0,0.17702277706802133,True
Fracture,5-9,2016,1559,38900.0,0.16788006434676278,True
Fracture,10-14,2016,5234,138400.0,0.11541359851804925,True
Fracture,15-17,2016,2198,66600.0,0.10128616072511212,True
Fracture,18-24,2016,1151,44500.0,0.09932245298194904,True
Fracture,25-34,2016,893,34500.0,0.10096226563039101,True
Fracture,35-44,2016,484,20700.0,0.12052275386895461,True
Fracture,45-54,2016,386,15900.0,0.11682463499365064,True
Fracture,55-64,2016,270,12300.0,0.15341078354709906,True
Fracture,65-74,2016,207,11000.0,0.27002885711201663,True
Fracture,75+,2016,139,6900.0,0.29894501882234936,True
Contusion/abrasion,0-4,2016,218,7100.0,0.20331784765607686,True
Contusion/abrasion,5-9,2016,1032,31400.0,0.1443589687759893,True
Contusion/abrasion,10-14,2016,2921,98000.0,0.11472967424427516,True
Contusion/abrasion,15-17,2016,1581,60000.0,0.11765627437617666,True
Contusion/abrasion,18-24,2016,902,38700.0,0.09847874729899457,True
Contusion/abrasion,25-34,2016,652,32200.0,0.12601656523200835,True
Contusion/abrasion,35-44,2016,359,17700.0,0.13316779102812798,True
Contusion/abrasion,45-54,2016,231,11200.0,0.17486414097950104,True
Contusion/abrasion,55-64,2016,145,7400.0,0.16370555068996476,True
Contusion/abrasion,65-74,2016,104,5900.0,0.20827626773659919,True
Contusion/abrasion,75+,2016,68,4000.0,0.19849992381864012,True
Laceration/open wound,0-4,2016,355,11800.0,0.16129864178975628,True
Laceration/open wound,5-9,2016,1030,30400.0,0.16862664180484468,True
Laceration/open wound,10-14,2016,1115,35500.0,0.13437241927128152,True
Laceration/open wound,15-17,2016,876,29800.0,0.11200248962165954,True
Laceration/open wound,18-24,2016,851,35900.0,0.1043092845323876,True
Laceration/open wound,25-34,2016,520,22100.0,0.15484431170614887,True
Laceration/open wound,35-44,2016,246,11600.0,0.16720236591644333,True
Laceration/open wound,45-54,2016,195,9600.0,0.1528231631981573,True
Laceration/open wound,55-64,2016,146,6700.0,0.15868660822358863,True
Laceration/open wound,65-74,2016,87,5000.0,0.25273717577984967,True
Laceration/open wound,75+,2016,60,3200.0,0.26101552933549177,True
Internal injury,0-4,2016,201,5200.0,0.16446869522578933,True
Internal injury,5-9,2016,642,18300.0,0.1853574889894754,True
Internal injury,10-14,2016,1438,44800.0,0.1368589527775682,True
Internal injury,15-17,2016,849,32500.0,0.17073686549642136,True
Internal injury,18-24,2016,401,16100.0,0.13214275399522452,True
Internal injury,25-34,2016,174,6900.0,0.13619404373147478,True
Internal injury,35-44,2016,110,5100.0,0.1588347636361083,True
Internal injury,45-54,2016,104,4000.0,0.1835950209955938,True
Internal injury,55-64,2016,92,4200.0,0.2186825604709812,True
Internal injury,65-74,2016,68,3300.0,0.31519867877550817,True
Internal injury,75+,2016,86,4500.0,0.31719357623259664,True
All other diagnoses,0-4,2016,673,20200.0,0.2192846964812737,True
All other diagnoses,5-9,2016,2325,74200.0,0.15778879588155434,True
All other diagnoses,10-14,2016,6472,196200.0,0.15227757763635347,True
All other diagnoses,15-17,2016,4475,145500.0,0.1295994393253622,True
All other diagnoses,18-24,2016,3339,130600.0,0.11352884298541269,True
All other diagnoses,25-34,2016,2598,105200.0,0.12669155616187594,True
All other diagnoses,35-44,2016,1687,73200.0,0.11193653925266556,True
All other diagnoses,45-54,2016,1344,62300.0,0.13871196719905401,True
All other diagnoses,55-64,2016,899,41500.0,0.1689142802014234,True
All other diagnoses,65-74,2016,708,39200.0,0.30093679439570403,True
All other diagnoses,75+,2016,423,25300.0,0.29457287928854164,True
Strain/sprain,0-4,2017,59,1400.0,0.21424841616617898,True
Strain/sprain,5-9,2017,1116,32400.0,0.12716970366238006,True
Strain/sprain,10-14,2017,6178,192900.0,0.09131653412362138,True
Strain/sprain,15-17,2017,4594,155400.0,0.08345598164972139,True
Strain/sprain,18-24,2017,3058,119900.0,0.08217915150614281,True
Strain/sprain,25-34,2017,2405,97100.0,0.09336387180461216,True
Strain/sprain,35-44,2017,1300,56500.0,0.09623074380781897,True
Strain/sprain,45-54,2017,795,34000.0,0.1310958048467271,True
Strain/sprain,55-64,2017,428,19400.0,0.17308614014333035,True
Strain/sprain,65-74,2017,249,12300.0,0.18233750410521193,True
Strain/sprain,75+,2017,105,5800.0,0.27252233365718076,True
Fracture,0-4,2017,180,3600.0,0.21550404667363077,True
Fracture,5-9,2017,1513,35500.0,0.13563052267211678,True
Fracture,10-14,2017,5155,131400.0,0.10350050558098252,True
Fracture,15-17,2017,2238,64500.0,0.09670946365914314,True
Fracture,18-24,2017,1109,41800.0,0.09570328020328207,True
Fracture,25-34,2017,838,31700.0,0.09956440839236569,True
Fracture,35-44,2017,466,20100.0,0.11150855960872716,True
Fracture,45-54,2017,326,14000.0,0.11724660916207426,True
Fracture,55-64,2017,294,13000.0,0.14874252508701863,True
Fracture,65-74,2017,225,11000.0,0.1675508625333391,True
Fracture,75+,2017,161,7700.0,0.22399805381357613,True
Contusion/abrasion,0-4,2017,202,4900.0,0.21489236818403692,True
Contusion/abrasion,5-9,2017,1060,29600.0,0.13169201678750564,True
Contusion/abrasion,10-14,2017,2935,95200.0,0.09681502407630573,True
Contusion/abrasion,15-17,2017,1622,57500.0,0.08769679490305159,True
Contusion/abrasion,18-24,2017,776,33100.0,0.08076695237802442,True
Contusion/abrasion,25-34,2017,563,24500.0,0.08035451754513609,True
Contusion/abrasion,35-44,2017,309,14100.0,0.08694506375885894,True
Contusion/abrasion,45-54,2017,216,10500.0,0.11036445524721948,True
Contusion/abrasion,55-64,2017,136,6600.0,0.14123487744652094,True
Contusion/abrasion,65-74,2017,114,5400.0,0.229341743427211,True
Contusion/abrasion,75+,2017,91,4300.0,0.21382868362772023,True
Laceration/open wound,0-4,2017,376,11000.0,0.15922925092891407,True
Laceration/open wound,5-9,2017,1033,30000.0,0.1386621072001146,True
Laceration/open wound,10-14,2017,1103,33900.0,0.11075487283520762,True
Laceration/open wound,15-17,2017,866,30600.0,0.10042059393552144,True
Laceration/open wound,18-24,2017,785,32200.0,0.09442579241546668,True
Laceration/open wound,25-34,2017,503,20000.0,0.10338454270502298,True
Laceration/open wound,35-44,2017,254,11800.0,0.13574625195653867,True
Laceration/open wound,45-54,2017,200,9500.0,0.1485458372198387,True
Laceration/open wound,55-64,2017,151,7400.0,0.15723470317379024,True
Laceration/open wound,65-74,2017,109,6100.0,0.21829867493918478,True
Laceration/open wound,75+,2017,90,4500.0,0.23023093647640644,True
Internal injury,0-4,2017,192,5000.0,0.2075610652166036,True
Internal injury,5-9,2017,685,16800.0,0.1978246519882216,True
Internal injury,10-14,2017,1468,42800.0,0.1448130642462433,True
Internal injury,15-17,2017,825,29200.0,0.1497583813102013,True
Internal injury,18-24,2017,364,14200.0,0.11829270885138367,True
Internal injury,25-34,2017,183,7900.0,0.13885271663323548,True
Internal injury,35-44,2017,143,6000.0,0.1523196454375399,True
Internal injury,45-54,2017,94,4200.0,0.23130457384189063,True
Internal injury,55-64,2017,92,3500.0,0.18333380003734062,True
Internal injury,65-74,2017,91,3900.0,0.24610269369771362,True
Internal injury,75+,2017,101,4600.0,0.28748740248464344,True
All other diagnoses,0-4,2017,851,24200.0,0.25127731037603024,True
All other diagnoses,5-9,2017,2723,80700.0,0.18422414868822193,True
All other diagnoses,10-14,2017,7160,215500.0,0.13965852790371866,True
All other diagnoses,15-17,2017,4704,147800.0,0.12194466190802224,True
All other diagnoses,18-24,2017,3410,130600.0,0.10359351713781767,True
All other diagnoses,25-34,2017,2775,109800.0,0.10189952261077846,True
All other diagnoses,35-44,2017,1689,74200.0,0.09703635963478191,True
All other diagnoses,45-54,2017,1471,68000.0,0.11515757649486749,True
All other diagnoses,55-64,2017,1052,51900.0,0.12572855154785736,True
All other diagnoses,65-74,2017,834,43900.0,0.23006966432462905,True
All other diagnoses,75+,2017,567,30100.0,0.27361472586463226,True
Strain/sprain,0-4,2018,44,1300.0,0.2776824000526158,True
Strain/sprain,5-9,2018,993,31100.0,0.21065705130808246,True
