Activity,Cluster_Age,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Basketball,0-17,74829,217600.0,23386.07912538906,0.1074818150489518,217600.0,True,passes conservative screen,59.2,2.1687182537833993,0.0366436660982006,10
Basketball,18-44,35570,137900.0,12456.217462937851,0.09033583323261457,137900.0,True,passes conservative screen,37.5,1.9959813606742012,0.05321677591321375,10
Basketball,45+,2959,12200.0,1342.8026060364532,0.1103686001899483,12200.0,True,passes conservative screen,3.3,0.3174709927303112,0.09593025839188042,10
Exercise/fitness,0-17,17523,56000.0,7958.620520698672,0.1421301478972273,56000.0,True,passes conservative screen,14.8,1.6735238213135348,0.11339396968257738,10
Exercise/fitness,18-44,37305,156100.0,16929.977951239074,0.10843935713736907,156100.0,True,passes conservative screen,41.1,1.8367824215064756,0.04463729886899638,10
Exercise/fitness,45+,36208,167300.0,23851.705700210925,0.14257568350610994,167300.0,True,passes conservative screen,44.1,2.130814621644549,0.04832605441452411,10
Football,0-17,77374,228400.0,26438.538448760064,0.11576456021439044,228400.0,True,passes conservative screen,81.6,1.7064022494674087,0.020899175780847896,10
Football,18-44,11654,47400.0,4691.713259063338,0.09906505067345851,47400.0,True,passes conservative screen,16.9,1.5889872137681984,0.0938466917579416,10
Football,45+,880,4000.0,667.9832248555041,0.1682952733434446,4000.0,True,passes conservative screen,1.4,0.2308652578022234,0.1626951121646104,10
Soccer,0-17,52134,136200.0,22104.03994398938,0.1623147591243376,136200.0,True,passes conservative screen,69.0,2.8478050938136907,0.04124335861734241,10
Soccer,18-44,14662,55200.0,7200.5084552774815,0.13033909920919884,55200.0,True,passes conservative screen,28.0,2.593163169516005,0.09257608320409465,10
Soccer,45+,1456,5800.0,1146.0900019892556,0.19765599706905307,5800.0,True,passes conservative screen,2.9,0.43325481439070657,0.14736422900702412,10
Swimming/diving,0-17,31784,104200.0,28306.42188725242,0.2715565741713168,104200.0,True,passes conservative screen,58.4,5.048468959832328,0.0864849118413452,10
Swimming/diving,18-44,8913,43700.0,5918.837872878574,0.13536940322136115,43700.0,True,passes conservative screen,24.5,3.2811356356288375,0.1340027048224795,10
Swimming/diving,45+,5924,30600.0,6577.604182397136,0.2149022230791349,30600.0,True,passes conservative screen,17.1,2.3267384758630714,0.13574569170059012,10
Baseball/softball,0-17,29333,94000.0,11855.86088837489,0.12607613569970047,94000.0,True,passes conservative screen,63.2,2.8163651357989115,0.044589261071211396,10
Baseball/softball,18-44,8837,41600.0,4315.172973127075,0.10363386030639372,41600.0,True,passes conservative screen,28.0,2.246242765014205,0.08031592761330414,10
