Activity,Cluster_Age,Source_Year,n,estimate,cv_approx,annual_pass
Basketball,0-17,2016,9517,284500.0,0.10280264938826544,True
Basketball,18-44,2016,4843,182900.0,0.0859588278703979,True
Basketball,45+,2016,358,13900.0,0.12170096346289161,True
Exercise/fitness,0-17,2016,1877,69700.0,0.16047663645261293,True
Exercise/fitness,18-44,2016,4448,172200.0,0.13722376857881163,True
Exercise/fitness,45+,2016,3045,142800.0,0.1460400392590414,True
Football,0-17,2016,9950,299900.0,0.10935000238611249,True
Football,18-44,2016,1735,69600.0,0.08933885948651793,True
Football,45+,2016,124,5000.0,0.12348064831980603,True
Soccer,0-17,2016,5773,156900.0,0.17529476024614526,True
Soccer,18-44,2016,1707,62700.0,0.15187801297572723,True
Soccer,45+,2016,165,6100.0,0.3054095816852209,True
Swimming/diving,0-17,2016,3133,122000.0,0.20818664520509603,True
Swimming/diving,18-44,2016,1038,57300.0,0.14531381492346476,True
Swimming/diving,45+,2016,579,31800.0,0.22914753193503112,True
Baseball/softball,0-17,2016,3686,132300.0,0.11746075872444588,True
Baseball/softball,18-44,2016,1265,58800.0,0.09957232327845499,True
Baseball/softball,45+,2016,369,17700.0,0.17227438427694336,True
Weight training,0-17,2016,735,28200.0,0.13331288776555922,True
Weight training,18-44,2016,1536,64500.0,0.10972497275883748,True
Weight training,45+,2016,496,20500.0,0.12129363916916128,True
Other sport/recreation,0-17,2016,2175,66800.0,0.16176929287323658,True
Other sport/recreation,18-44,2016,588,24300.0,0.12642096258475716,True
Other sport/recreation,45+,2016,90,4600.0,0.1586636811524579,True
Combat sports,0-17,2016,1288,45000.0,0.1176828747601164,True
Combat sports,18-44,2016,836,36300.0,0.11814206067342377,True
Combat sports,45+,2016,117,5100.0,0.13285043195674123,True
Other ball sports,0-17,2016,1650,50400.0,0.12325798308375746,True
Other ball sports,18-44,2016,328,12600.0,0.09247012779106606,True
Other ball sports,45+,2016,178,10100.0,0.23836618969886128,True
Gymnastics/cheerleading,0-17,2016,2080,63000.0,0.13091121961107707,True
Gymnastics/cheerleading,18-44,2016,160,7400.0,0.13729096898115123,True
Gymnastics/cheerleading,45+,2016,13,,0.35086715460404516,False
Volleyball,0-17,2016,1146,38100.0,0.11583583245656971,True
Volleyball,18-44,2016,389,18300.0,0.12803096478802287,True
Volleyball,45+,2016,74,4200.0,0.2928878776076409,True
