Activity,Cluster_Region,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Basketball,Head/neck,23599,74400.0,6782.62210804638,0.09121392811919547,74400.0,True,passes conservative screen,20.2,0.7593007500166504,0.03754011268833151,10
Basketball,Upper limb,33285,105300.0,10418.417858756658,0.0989015233910853,105300.0,True,passes conservative screen,28.7,0.7197939972470263,0.02512046272251552,10
Basketball,Trunk/spine,7753,25700.0,2755.058158022256,0.10701388128748286,25700.0,True,passes conservative screen,7.0,0.3721075999294408,0.05313688482882165,10
Basketball,Lower limb,47625,158500.0,14554.48476109404,0.0918338575303621,158500.0,True,passes conservative screen,43.1,0.7691340480152931,0.017841289245915763,10
Basketball,Other/systemic,1096,3700.0,714.6415501626692,0.19297331374275795,3700.0,True,passes conservative screen,1.0,0.1717703973014613,0.17052007579592968,10
Exercise/fitness,Head/neck,12670,50300.0,6398.4123179712915,0.12710937371070008,50300.0,True,passes conservative screen,13.3,0.6796846595430132,0.0512297780292101,10
Exercise/fitness,Upper limb,14006,55500.0,5702.540327128651,0.10273310821072916,55500.0,True,passes conservative screen,14.6,0.699043863662933,0.047781099663660766,10
Exercise/fitness,Trunk/spine,27098,115300.0,16875.29620176023,0.14630240548500048,115300.0,True,passes conservative screen,30.4,1.6057430424325898,0.052818463259903116,10
Exercise/fitness,Lower limb,30800,129000.0,13156.979736984766,0.10199549485868006,129000.0,True,passes conservative screen,34.0,1.656657922918194,0.04872673092095061,10
Exercise/fitness,Other/systemic,6462,29200.0,5647.34164461589,0.1932458422048827,29200.0,True,passes conservative screen,7.7,0.8845013392315021,0.11483499126104114,10
Football,Head/neck,20935,62600.0,6763.849808667403,0.10810576887203972,62600.0,True,passes conservative screen,22.4,0.9033734022642752,0.04038608684479122,10
Football,Upper limb,36197,113300.0,12281.764367183714,0.10841836189074631,113300.0,True,passes conservative screen,40.5,0.8986460498936273,0.022189131845862707,10
Football,Trunk/spine,7206,23400.0,2629.140296969915,0.11245958101572605,23400.0,True,passes conservative screen,8.4,0.4290360292558384,0.05133174460817334,10
Football,Lower limb,24593,76700.0,8185.237100288594,0.1067013448274869,76700.0,True,passes conservative screen,27.4,0.7425252078332162,0.027074434349019474,10
Football,Other/systemic,977,3800.0,815.7484190703484,0.2162280011359894,3800.0,True,passes conservative screen,1.3,0.22012685185519854,0.16320680997801432,10
Soccer,Head/neck,14167,40300.0,5518.276886669736,0.13701439323644304,40300.0,True,passes conservative screen,20.4,0.9393466269464159,0.04599874587588953,10
Soccer,Upper limb,18907,51500.0,8035.364949768171,0.15608557666280287,51500.0,True,passes conservative screen,26.1,0.845457370449923,0.03238965249502429,10
Soccer,Trunk/spine,5364,15800.0,2536.865900720789,0.16076277556968854,15800.0,True,passes conservative screen,8.0,0.5542105401991373,0.06926601026738917,10
Soccer,Lower limb,29158,87500.0,12252.223378152787,0.14003711065676505,87500.0,True,passes conservative screen,44.4,1.07874978561341,0.024316796755858315,10
Soccer,Other/systemic,656,2200.0,498.259463285066,0.2270608053027172,2200.0,True,passes conservative screen,1.1,0.19771283340959786,0.17769650458034117,10
Swimming/diving,Head/neck,25663,96700.0,23864.316735924596,0.2468156604481915,96700.0,True,passes conservative screen,54.1,2.809438075629566,0.05188579583822715,10
Swimming/diving,Upper limb,3951,16600.0,2509.6801406756645,0.15154750981955045,16600.0,True,passes conservative screen,9.3,0.9836476556173473,0.10606578301856441,10
Swimming/diving,Trunk/spine,4155,17500.0,3113.721419057609,0.17797179200496066,17500.0,True,passes conservative screen,9.8,1.149167425364614,0.11728974357714185,10
Swimming/diving,Lower limb,7692,30700.0,5006.040413534234,0.16329394222693636,30700.0,True,passes conservative screen,17.2,1.485284660148763,0.08651486391633427,10
Swimming/diving,Other/systemic,5160,17200.0,4498.957635059739,0.26206553604761523,17200.0,True,passes conservative screen,9.6,0.9372440721125271,0.09748909089114016,10
Baseball/softball,Head/neck,16750,56200.0,5917.627357059935,0.10521797183126703,56200.0,True,passes conservative screen,37.8,1.4146863952288158,0.03744932648164094,10
Baseball/softball,Upper limb,11389,43200.0,4943.198415627007,0.11437126688377783,43200.0,True,passes conservative screen,29.0,1.0533164232210008,0.03628350773740217,10
Baseball/softball,Trunk/spine,2727,10100.0,1548.9710949004955,0.1537242205886964,10100.0,True,passes conservative screen,6.8,0.6203319240336976,0.09165678922838212,10
Baseball/softball,Lower limb,9450,37000.0,4072.4975894069225,0.1099450308727253,37000.0,True,passes conservative screen,24.9,0.9911629884380885,0.03983835229252463,10
Baseball/softball,Other/systemic,558,2300.0,574.0882571235226,0.2493844331823851,2300.0,True,passes conservative screen,1.5,0.3315383150593056,0.2144203126988795,10
Weight training,Head/neck,3203,12300.0,1503.076128604031,0.12269046748942757,12300.0,True,passes conservative screen,12.0,0.8466881882939323,0.0706809009239415,10
Weight training,Upper limb,7790,31300.0,3026.9317843295803,0.09680642659873268,31300.0,True,passes conservative screen,30.6,1.3119186591028673,0.042909869748606735,10
Weight training,Trunk/spine,9012,37500.0,4271.791682719398,0.11382646536206653,37500.0,True,passes conservative screen,36.7,1.3839962017875849,0.03771523464359927,10
Weight training,Lower limb,5035,19000.0,2074.5301350927716,0.10902070778837118,19000.0,True,passes conservative screen,18.6,1.059351842162099,0.056934853450622075,10
Weight training,Other/systemic,545,2200.0,560.5352395720627,0.25554210079650164,2200.0,True,passes conservative screen,2.1,0.4633937820901965,0.2160520908359812,10
Other sport/recreation,Head/neck,5488,16300.0,2139.9717879729687,0.13092236865736692,16300.0,True,passes conservative screen,20.6,1.3930116552785465,0.06764521157990618,10
Other sport/recreation,Upper limb,7224,23700.0,3137.7885316706383,0.1323640501694773,23700.0,True,passes conservative screen,29.9,1.3886198311255784,0.046494998992960467,10
Other sport/recreation,Trunk/spine,2411,8100.0,1231.1553333614959,0.15224601989572467,8100.0,True,passes conservative screen,10.2,0.9000828210208619,0.08834705419908119,10
Other sport/recreation,Lower limb,9070,28700.0,4128.475391715203,0.1439196740985458,28700.0,True,passes conservative screen,36.1,1.466005048665295,0.0405641552139497,10
Other sport/recreation,Other/systemic,665,2500.0,758.6307421607219,0.29750273133213634,2500.0,True,passes conservative screen,3.2,0.7236207751661736,0.22524131272459272,10
Combat sports,Head/neck,5998,20400.0,2413.615957117013,0.11850988606272451,20400.0,True,passes conservative screen,24.0,1.230522696387027,0.05123262858009662,10
Combat sports,Upper limb,9162,33700.0,3531.432463610505,0.10490980565044807,33700.0,True,passes conservative screen,39.7,1.469978418222264,0.03702940503195297,10
Combat sports,Trunk/spine,2690,10500.0,1319.700677681477,0.125185173689708,10500.0,True,passes conservative screen,12.4,0.9827228132383135,0.07904585340640666,10
Combat sports,Lower limb,5389,19300.0,2433.9067357795625,0.1262476543071307,19300.0,True,passes conservative screen,22.7,1.2626348703982782,0.055535126088966505,10
Combat sports,Other/systemic,247,,271.88600167229004,0.28732096432573867,,False,estimate < 1200,,0.301820862860669,0.27045830487590483,10
Other ball sports,Head/neck,6077,18700.0,2441.5033013077755,0.13058681615845283,18700.0,True,passes conservative screen,26.3,1.6519440263026153,0.06278337299081269,10
Other ball sports,Upper limb,6626,23100.0,3082.2345632931983,0.13332235158366965,23100.0,True,passes conservative screen,32.5,1.6306825083374326,0.05012033793656008,10
Other ball sports,Trunk/spine,1716,7400.0,1929.3076483133118,0.26053295967061674,7400.0,True,passes conservative screen,10.4,1.7535667685902847,0.1682638387225035,10
Other ball sports,Lower limb,5364,19400.0,2489.9442433185695,0.1285365300795059,19400.0,True,passes conservative screen,27.3,1.5968972617720505,0.05857620405961797,10
Other ball sports,Other/systemic,740,2500.0,645.3612420166262,0.2617798843219674,2500.0,True,passes conservative screen,3.5,0.6745788115908118,0.19443452631744063,10
Gymnastics/cheerleading,Head/neck,4725,14400.0,2176.7449087194345,0.15161656693688086,14400.0,True,passes conservative screen,24.6,1.5691488534065787,0.06366863429542254,10
Gymnastics/cheerleading,Upper limb,6920,20400.0,3113.20469419727,0.15271463489709136,20400.0,True,passes conservative screen,35.0,1.6009810573201029,0.04574898299997414,10
Gymnastics/cheerleading,Trunk/spine,1801,5500.0,917.049541187212,0.16708797336191153,5500.0,True,passes conservative screen,9.4,0.9368867347522647,0.09944014582749716,10
Gymnastics/cheerleading,Lower limb,5651,17400.0,2661.935288729692,0.1532654025361956,17400.0,True,passes conservative screen,29.8,1.5822563480501322,0.053069592446760225,10
Gymnastics/cheerleading,Other/systemic,225,,256.0279266666982,0.3913032237051835,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.3862570730741043,0.34389416014419355,10
Volleyball,Head/neck,2585,8300.0,1125.1627495855485,0.13560267989143346,8300.0,True,passes conservative screen,16.1,1.4166740138059508,0.08822555543065114,10
Volleyball,Upper limb,4657,16400.0,2156.417350107048,0.13122985995806247,16400.0,True,passes conservative screen,31.8,1.7464446117843109,0.054919454043533114,10
Volleyball,Trunk/spine,1139,4200.0,691.2133941373553,0.16424677756415937,4200.0,True,passes conservative screen,8.1,0.9898605681683083,0.12154309282031067,10
Volleyball,Lower limb,6164,22100.0,2612.3894112927105,0.11830782689572375,22100.0,True,passes conservative screen,42.7,1.7957307530943878,0.042023123485636575,10
Volleyball,Other/systemic,181,,244.94750609382427,0.3743091367946484,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.44985827514944243,0.35522593544932063,10
Snow sports,Head/neck,2952,14000.0,4326.877788824084,0.3088272964773441,14000.0,True,passes conservative screen,22.5,1.3979186078461028,0.062211581754128595,10
Snow sports,Upper limb,4631,22900.0,7194.895387987692,0.31481518956429205,22900.0,True,passes conservative screen,36.7,2.449163595609509,0.0668185885042523,10
Snow sports,Trunk/spine,1745,8800.0,2734.8476874905855,0.31134749615023116,8800.0,True,passes conservative screen,14.1,1.2264202498121433,0.08705622943053709,10
Snow sports,Lower limb,3312,,5463.685794430694,0.33666471594665004,,False,"CV bound outside [0, 0.33]",,1.7567106334085183,0.06749326283482364,10
Snow sports,Other/systemic,77,,307.2892664083123,0.6484101767202326,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.42046884443496774,0.5532030427072953,10
Hockey,Head/neck,4831,14500.0,3246.687355207579,0.22452841942746918,14500.0,True,passes conservative screen,37.5,1.8915429101078498,0.05048657617139684,10
Hockey,Upper limb,4018,12700.0,3197.214672363676,0.25184914413914694,12700.0,True,passes conservative screen,32.9,1.9250735716697345,0.05852546672757097,10
Hockey,Trunk/spine,1178,4100.0,1002.0515133643397,0.24660103684605703,4100.0,True,passes conservative screen,10.5,1.1607636750936388,0.11024972903973479,10
Hockey,Lower limb,2148,7100.0,1621.772991441319,0.2290726063609139,7100.0,True,passes conservative screen,18.3,1.5822499478641079,0.08625555137010964,10
Hockey,Other/systemic,83,,153.90024491962345,0.5188232760257251,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.37958838248481447,0.49388055184441115,10
Fishing,Head/neck,1745,8700.0,1408.9090862676092,0.16151885484968817,8700.0,True,passes conservative screen,13.7,1.3343396712071476,0.0972446996828398,10
Fishing,Upper limb,6333,35800.0,5502.406866195293,0.15352443030424887,35800.0,True,passes conservative screen,56.4,2.02710283776698,0.03595504693793248,10
Fishing,Trunk/spine,819,4400.0,782.7937813537653,0.17750523971801754,4400.0,True,passes conservative screen,6.9,0.9748081305950484,0.14052132548980303,10
Fishing,Lower limb,2390,13000.0,2644.0142185699524,0.20336627074686522,13000.0,True,passes conservative screen,20.5,1.730264023504291,0.08460320208394569,10
Fishing,Other/systemic,296,1600.0,476.17341803510783,0.29828967616367924,1600.0,True,passes conservative screen,2.5,0.6114578123361444,0.24349993943414575,10
