Activity,Cluster_Region,Source_Year,n,estimate,cv_approx,annual_pass
Basketball,Head/neck,2016,3221,101700.0,0.0967206145159431,True
Basketball,Upper limb,2016,4495,144500.0,0.0960028951227837,True
Basketball,Trunk/spine,2016,988,31300.0,0.111677476362593,True
Basketball,Lower limb,2016,5898,199600.0,0.08981705436610896,True
Basketball,Other/systemic,2016,116,4200.0,0.20244633470997273,True
Exercise/fitness,Head/neck,2016,1155,44700.0,0.1475812153490627,True
Exercise/fitness,Upper limb,2016,1482,58000.0,0.11819006599843228,True
Exercise/fitness,Trunk/spine,2016,2647,108500.0,0.16069528392682797,True
Exercise/fitness,Lower limb,2016,3537,146900.0,0.12223819855262465,True
Exercise/fitness,Other/systemic,2016,549,26500.0,0.19447522603931128,True
Football,Head/neck,2016,2888,84000.0,0.10916291790013818,True
Football,Upper limb,2016,4742,154400.0,0.10346907514760342,True
Football,Trunk/spine,2016,913,31700.0,0.10364193560323619,True
Football,Lower limb,2016,3146,99700.0,0.10416355382936708,True
Football,Other/systemic,2016,120,4800.0,0.18126462088186757,True
Soccer,Head/neck,2016,1758,51200.0,0.153916888884028,True
Soccer,Upper limb,2016,2075,57700.0,0.1739688070965474,True
Soccer,Trunk/spine,2016,538,16800.0,0.25267972155790414,True
Soccer,Lower limb,2016,3221,97700.0,0.15784920819343762,True
Soccer,Other/systemic,2016,53,2300.0,0.2212639322802309,True
Swimming/diving,Head/neck,2016,2442,111600.0,0.2034606570105985,True
Swimming/diving,Upper limb,2016,486,21700.0,0.15606838890927643,True
Swimming/diving,Trunk/spine,2016,455,21800.0,0.19069379446355342,True
Swimming/diving,Lower limb,2016,867,38900.0,0.1571783918288178,True
Swimming/diving,Other/systemic,2016,500,17200.0,0.25888663019331765,True
Baseball/softball,Head/neck,2016,2114,74300.0,0.10238900050392866,True
Baseball/softball,Upper limb,2016,1519,64100.0,0.12219147709034409,True
Baseball/softball,Trunk/spine,2016,326,12900.0,0.14841048485573324,True
Baseball/softball,Lower limb,2016,1295,54300.0,0.09992196466097603,True
Baseball/softball,Other/systemic,2016,66,3200.0,0.28855715819397304,True
Weight training,Head/neck,2016,326,11900.0,0.12502999506373402,True
Weight training,Upper limb,2016,916,38800.0,0.10728856447484725,True
Weight training,Trunk/spine,2016,948,41000.0,0.12473294172211251,True
Weight training,Lower limb,2016,521,19500.0,0.10589207666193791,True
Weight training,Other/systemic,2016,56,,0.3460158795867866,False
Other sport/recreation,Head/neck,2016,658,20700.0,0.13865160033138846,True
Other sport/recreation,Upper limb,2016,800,28500.0,0.1419016510017556,True
Other sport/recreation,Trunk/spine,2016,285,9700.0,0.12956134141455664,True
Other sport/recreation,Lower limb,2016,1028,34000.0,0.1341908879839249,True
Other sport/recreation,Other/systemic,2016,82,2800.0,0.3230981379916415,True
Combat sports,Head/neck,2016,529,18300.0,0.13125948648188082,True
Combat sports,Upper limb,2016,905,35700.0,0.10782264534984308,True
Combat sports,Trunk/spine,2016,254,10300.0,0.1380371004504466,True
Combat sports,Lower limb,2016,542,21700.0,0.10847334050051877,True
Combat sports,Other/systemic,2016,11,,0.44158048724254867,False
Other ball sports,Head/neck,2016,654,19300.0,0.11165303627677314,True
Other ball sports,Upper limb,2016,765,27500.0,0.12251281440083124,True
Other ball sports,Trunk/spine,2016,132,5600.0,0.15531211298891606,True
