Activity,Age_Band,Body_Region,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Basketball,0-4,Head/face,408,,242.71403169245482,0.25864392114130463,,False,estimate < 1200,,8.991857049603427,0.1401732300654578,10
Basketball,0-4,Neck,8,,18.951903759595048,0.7293008558166981,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,1.491206900175692,0.8394601434502521,10
Basketball,0-4,Shoulder/upper arm,17,,29.06889374728372,0.7948920906535158,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,2.1251970438301018,0.8501335781153339,10
Basketball,0-4,Elbow/forearm,31,,52.37701820948202,0.7454148005493728,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,3.606048079736463,0.7507529537353993,10
Basketball,0-4,Wrist/hand,57,,100.57170034940785,0.5986752478871136,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,6.244850073484979,0.5438082876311275,10
Basketball,0-4,Trunk/spine,17,,19.80312519947039,0.8110616759898259,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,1.397335998106638,0.8372001370231857,10
Basketball,0-4,Hip/thigh,16,,35.28976875171153,0.8040349364858711,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,2.5736717636198247,0.857803000269271,10
Basketball,0-4,Knee,12,,12.509373858698522,0.8801193433107598,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.935779181579443,0.9631361165526698,10
Basketball,0-4,Lower leg,30,,42.84961417279463,0.6935741463788814,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,3.121154841716982,0.7390428006062081,10
Basketball,0-4,Ankle,17,,21.1801449066296,0.7342061790282477,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,1.5910842747691218,0.806845882957935,10
Basketball,0-4,Foot/toes,24,,31.006972586230813,0.8626589289529429,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,2.1652944719198026,0.8812619505308511,10
Basketball,0-4,Multiple/systemic,0,,0.0,,,False,CV unassessed; proportion CV unassessed or > 0.33,,0.0,,10
Basketball,0-4,Internal/systemic,2,,6.19989,1.0,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.49910198508689346,1.1776428745900254,10
Basketball,0-4,Not stated/other,6,,8.36431,0.9999999999999998,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.6225463383589498,1.0888043778507217,10
Basketball,5-9,Head/face,2130,5500.0,883.6322727026827,0.16114513279727424,5500.0,True,passes conservative screen,33.0,3.106697070573741,0.09411295955103337,10
Basketball,5-9,Neck,86,,109.75495832203652,0.4900837356617868,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.6397526132870284,0.47452938234311093,10
Basketball,5-9,Shoulder/upper arm,126,,143.43578755455528,0.41752416314366997,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.7926597382643853,0.38327967606557134,10
Basketball,5-9,Elbow/forearm,560,1300.0,304.3690407577459,0.22665673174569306,1300.0,True,passes conservative screen,8.1,1.5075147141423706,0.186481007009888,10
Basketball,5-9,Wrist/hand,1859,5100.0,929.6720523737324,0.18104439767271838,5100.0,True,passes conservative screen,30.9,2.705781568054989,0.08752919780271874,10
Basketball,5-9,Trunk/spine,271,,215.32241251240848,0.2940633619584964,,False,estimate < 1200,,1.1454841535840743,0.25986372886440495,10
Basketball,5-9,Hip/thigh,81,,89.93625124291826,0.5123789116406258,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.5341039268429415,0.5054603991973569,10
Basketball,5-9,Knee,296,,252.65972674171104,0.3328520723241608,,False,"estimate < 1200; CV bound outside [0, 0.33]",,1.2699062098817537,0.2779020748898377,10
Basketball,5-9,Lower leg,133,,139.8175504064048,0.41640020866955174,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.812247129444551,0.40182997832815115,10
Basketball,5-9,Ankle,460,,292.40214944806564,0.2487337063058759,,False,estimate < 1200,,1.4831321139778924,0.20957468325273357,10
Basketball,5-9,Foot/toes,264,,208.12012054894348,0.29236182357609813,,False,estimate < 1200,,1.1867819963738224,0.27693793021604113,10
Basketball,5-9,Multiple/systemic,48,,88.9706547841874,0.5922725857376818,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.516381749014993,0.5710190903146689,10
Basketball,5-9,Internal/systemic,2,,1.15184,1.0,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.007746883676758339,1.1172227688736378,10
Basketball,5-9,Not stated/other,23,,33.62990055113123,0.818512020847931,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.20794684978135994,0.8407303466202152,10
Basketball,10-14,Head/face,7462,20200.0,2292.203491578304,0.11335046501098503,20200.0,True,passes conservative screen,18.6,1.2670180493808505,0.06812959679590694,10
Basketball,10-14,Neck,307,,229.17875417589843,0.2771694397539214,,False,estimate < 1200,,0.20267285264894463,0.26653205675628217,10
Basketball,10-14,Shoulder/upper arm,1076,3200.0,542.2896281237042,0.17056340463689032,3200.0,True,passes conservative screen,2.9,0.4003902576579616,0.13693704142038188,10
Basketball,10-14,Elbow/forearm,2428,6300.0,989.6014408208342,0.15795075789835225,6300.0,True,passes conservative screen,5.8,0.6066453791637084,0.10528807118076988,10
Basketball,10-14,Wrist/hand,11104,32200.0,4069.5167813439375,0.12626610436868954,32200.0,True,passes conservative screen,29.6,1.2571176686611043,0.0424133668478999,10
Basketball,10-14,Trunk/spine,2242,6100.0,1000.1599159585079,0.16477683863876755,6100.0,True,passes conservative screen,5.6,0.6058588556901443,0.1085378119271932,10
Basketball,10-14,Hip/thigh,450,,299.87960788595893,0.25280453427288396,,False,estimate < 1200,,0.24364814304404142,0.22334894799305,10
Basketball,10-14,Knee,3611,10200.0,1382.4214970863682,0.13527729363264268,10200.0,True,passes conservative screen,9.4,0.7252978188012371,0.07717625128381599,10
Basketball,10-14,Lower leg,1254,2800.0,476.92576094067147,0.17122060917378096,2800.0,True,passes conservative screen,2.6,0.35041076371694146,0.13679353582483567,10
Basketball,10-14,Ankle,6427,19100.0,2281.494969988456,0.1191755339295058,19100.0,True,passes conservative screen,17.6,1.0291038529622538,0.05845338628815425,10
Basketball,10-14,Foot/toes,1980,5600.0,897.7390494910339,0.1596952450465478,5600.0,True,passes conservative screen,5.2,0.5382772754576767,0.10411919337538376,10
Basketball,10-14,Multiple/systemic,244,,251.56761036427218,0.34313889447538154,,False,"estimate < 1200; CV bound outside [0, 0.33]",,0.21714399963062772,0.32206678415405593,10
Basketball,10-14,Internal/systemic,2,,4.442830000000002,1.0000000000000002,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.0044748114081012876,1.095211313663048,10
Basketball,10-14,Not stated/other,92,,119.02078931505541,0.47386774971148055,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.11144348086039586,0.4824717349079438,10
Basketball,15-17,Head/face,6219,19400.0,2174.6638372438497,0.11202180616794594,19400.0,True,passes conservative screen,21.4,1.2350575616117576,0.05774783959832696,10
Basketball,15-17,Neck,207,,209.67120308513444,0.3114943798594069,,False,estimate < 1200,,0.2184209093812744,0.2945396344637787,10
Basketball,15-17,Shoulder/upper arm,1144,3600.0,561.1553085177122,0.15586636578850777,3600.0,True,passes conservative screen,4.0,0.4940903349330725,0.12457009532001745,10
Basketball,15-17,Elbow/forearm,1026,3100.0,557.3310372915552,0.18022206496790605,3100.0,True,passes conservative screen,3.4,0.48626431742198006,0.1427267045778403,10
Basketball,15-17,Wrist/hand,5003,15400.0,1964.171975136392,0.12742172550258657,15400.0,True,passes conservative screen,17.0,1.0268286716794093,0.06046444388494009,10
Basketball,15-17,Trunk/spine,1826,5500.0,829.6207417173991,0.15164526755822383,5500.0,True,passes conservative screen,6.0,0.5930507912433015,0.09839641019136991,10
Basketball,15-17,Hip/thigh,331,,252.06848182915004,0.26372908118047894,,False,estimate < 1200,,0.25996420001848086,0.246882965462011,10
Basketball,15-17,Knee,3370,9900.0,1246.2661609848526,0.12570571113173054,9900.0,True,passes conservative screen,10.9,0.7549632166675931,0.06912069607780284,10
Basketball,15-17,Lower leg,882,2300.0,431.65925563018726,0.18874421979895095,2300.0,True,passes conservative screen,2.5,0.4080742092253095,0.16196077830700922,10
Basketball,15-17,Ankle,7552,25000.0,2892.586914293105,0.11585486681402299,25000.0,True,passes conservative screen,27.5,1.259283092033624,0.045781428726988205,10
Basketball,15-17,Foot/toes,1343,4100.0,734.1839569280454,0.17693544651089763,4100.0,True,passes conservative screen,4.6,0.5694284547664951,0.12456247415424954,10
Basketball,15-17,Multiple/systemic,206,,224.29105725926684,0.32821589848904303,,False,estimate < 1200,,0.23303443731594353,0.30953222193528807,10
Basketball,15-17,Internal/systemic,5,,10.022189999999998,0.9999999999999999,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.01159529417817252,1.0501642842872445,10
Basketball,15-17,Not stated/other,52,,76.27143289983196,0.5535233921458629,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.08599689570730451,0.5664935279400801,10
Basketball,18-24,Head/face,3892,15300.0,1861.3736214240805,0.12129181203660601,15300.0,True,passes conservative screen,19.5,1.1730590286522309,0.060118633810822227,10
Basketball,18-24,Neck,107,,151.8244342540665,0.3577550394790703,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.18622879781265345,0.34512962166077077,10
Basketball,18-24,Shoulder/upper arm,1318,5100.0,721.5181428808269,0.140993941860709,5100.0,True,passes conservative screen,6.5,0.6600007920785486,0.10143526315265115,10
Basketball,18-24,Elbow/forearm,457,1800.0,375.4056338495112,0.20963973937464472,1800.0,True,passes conservative screen,2.3,0.42492440023709466,0.18662757040058156,10
Basketball,18-24,Wrist/hand,2893,11200.0,1384.6685609126484,0.12414546626360715,11200.0,True,passes conservative screen,14.2,0.9741699315997988,0.06869277483579156,10
Basketball,18-24,Trunk/spine,1332,5100.0,742.7528745244556,0.14639085135131283,5100.0,True,passes conservative screen,6.5,0.68609088223535,0.10635123808005964,10
Basketball,18-24,Hip/thigh,211,,222.48864135287494,0.30150330086115895,,False,estimate < 1200,,0.27764693805338686,0.2959159827630341,10
Basketball,18-24,Knee,2797,10700.0,1233.31848834107,0.11576814006558896,10700.0,True,passes conservative screen,13.5,0.9107440227994519,0.06723593531193253,10
Basketball,18-24,Lower leg,478,1800.0,388.213573114066,0.21415571713716738,1800.0,True,passes conservative screen,2.3,0.42785560255760197,0.18562971058526848,10
Basketball,18-24,Ankle,5590,21800.0,2444.217560072248,0.11236199337746368,21800.0,True,passes conservative screen,27.7,1.2112632625370026,0.043793477017457165,10
Basketball,18-24,Foot/toes,1068,3900.0,636.3935219640075,0.16227455189723997,3900.0,True,passes conservative screen,5.0,0.6217833208439297,0.1246967238425265,10
Basketball,18-24,Multiple/systemic,162,,233.95871343941167,0.35835068670333,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.2759146086898698,0.33238010370662685,10
Basketball,18-24,Internal/systemic,1,,2.7587,1.0,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.0038129693961548076,1.087051580114579,10
Basketball,18-24,Not stated/other,52,,103.4986179272598,0.49727777825842645,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.13118295414794962,0.49571631847061165,10
Basketball,25-34,Head/face,1508,5600.0,735.8062365316915,0.13045480685351613,5600.0,True,passes conservative screen,13.7,1.3133820427871015,0.09577845472021035,10
Basketball,25-34,Neck,63,,105.33459199801703,0.4703564738422427,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.25469605243099847,0.46779809884639917,10
Basketball,25-34,Shoulder/upper arm,558,2200.0,431.2515738377171,0.19385067006154122,2200.0,True,passes conservative screen,5.4,0.9087772821640158,0.1680251166435267,10
Basketball,25-34,Elbow/forearm,238,,211.39570792042704,0.2558790066202799,,False,estimate < 1200,,0.49046171369294783,0.2441876706526967,10
Basketball,25-34,Wrist/hand,1636,6200.0,754.49558409419,0.12072802547169673,6200.0,True,passes conservative screen,15.2,1.2889599043891022,0.08483419313629206,10
Basketball,25-34,Trunk/spine,1012,4100.0,633.2208220537991,0.15402754371287214,4100.0,True,passes conservative screen,10.0,1.1547772847741469,0.11553712730567763,10
Basketball,25-34,Hip/thigh,108,,158.7137316387214,0.378115437109778,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.3772693702757437,0.3696933026257933,10
Basketball,25-34,Knee,1766,6900.0,822.0433424069981,0.11905010406197293,6900.0,True,passes conservative screen,16.8,1.2325070176666353,0.07341834558643642,10
Basketball,25-34,Lower leg,810,3000.0,502.9653927240471,0.16839808868077424,3000.0,True,passes conservative screen,7.3,1.0350418984128789,0.14254011821884136,10
Basketball,25-34,Ankle,2191,8600.0,1011.2508677486352,0.11695586413292411,8600.0,True,passes conservative screen,21.0,1.4954083608047666,0.07113822576960405,10
Basketball,25-34,Foot/toes,663,2500.0,414.84204917811513,0.16446922068458764,2500.0,True,passes conservative screen,6.1,0.8578800504011261,0.13989705188814766,10
Basketball,25-34,Multiple/systemic,60,,128.12949252650083,0.5200761325247591,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.30225975358765717,0.5046360491520142,10
Basketball,25-34,Internal/systemic,0,,0.0,,,False,CV unassessed; proportion CV unassessed or > 0.33,,0.0,,10
Basketball,25-34,Not stated/other,34,,78.67907017006883,0.6067295661475204,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.18697313502133672,0.5930554211616323,10
Basketball,35-44,Head/face,581,2400.0,407.20705610896096,0.17309808621785544,2400.0,True,passes conservative screen,13.0,1.8097098453110305,0.13929558349445917,10
Basketball,35-44,Neck,39,,87.90163765605948,0.5492192681527768,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.4747231926829666,0.5370820958056506,10
Basketball,35-44,Shoulder/upper arm,226,,238.44418534800965,0.27351506985834667,,False,estimate < 1200,,1.219344793682244,0.25326342633016136,10
Basketball,35-44,Elbow/forearm,116,,164.36449138237646,0.35071599261633796,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.8739776912849347,0.3376753382134142,10
Basketball,35-44,Wrist/hand,693,2700.0,422.2965201824125,0.15555802487656417,2700.0,True,passes conservative screen,15.0,1.9899908769693644,0.13273254735588705,10
Basketball,35-44,Trunk/spine,531,2100.0,393.88464223261565,0.19093885227334564,2100.0,True,passes conservative screen,11.4,1.821547420930905,0.15988847790549118,10
Basketball,35-44,Hip/thigh,42,,83.62280229529723,0.5111506341081016,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.45888806676002375,0.5079048702618527,10
Basketball,35-44,Knee,758,2900.0,462.48974509460595,0.15757644771779508,2900.0,True,passes conservative screen,16.2,2.1284113509994453,0.13130951316291883,10
Basketball,35-44,Lower leg,515,2100.0,412.97034833562776,0.1981758566908641,2100.0,True,passes conservative screen,11.5,1.9029608060911596,0.1653534056549349,10
Basketball,35-44,Ankle,712,2900.0,476.9205038079684,0.16274609961751138,2900.0,True,passes conservative screen,16.2,2.010149681394919,0.12420652709738936,10
Basketball,35-44,Foot/toes,308,,279.76274148149287,0.2386301527341632,,False,estimate < 1200,,1.4531218704147726,0.22443413432287626,10
Basketball,35-44,Multiple/systemic,32,,89.06085568450746,0.6559571412394691,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.49237408155863627,0.6566519089231774,10
Basketball,35-44,Internal/systemic,0,,0.0,,,False,CV unassessed; proportion CV unassessed or > 0.33,,0.0,,10
Basketball,35-44,Not stated/other,12,,41.52357265647674,0.7470309362661622,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.23609916320168367,0.7691122855927844,10
Basketball,45-54,Head/face,288,,295.3042297924624,0.2483999146960499,,False,estimate < 1200,,3.456099252482261,0.21563543239386151,10
Basketball,45-54,Neck,15,,41.93000067574094,0.6356891735561941,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.5942014036605241,0.668198908945782,10
Basketball,45-54,Shoulder/upper arm,122,,167.2382943810799,0.32681533785794653,,False,estimate < 1200,,2.1370063875320553,0.30975952106132004,10
Basketball,45-54,Elbow/forearm,50,,109.00402175625418,0.4872416535846552,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,1.4688883954442975,0.4870155517709212,10
Basketball,45-54,Wrist/hand,267,,279.88844637633235,0.24517400629569802,,False,estimate < 1200,,3.30045557436053,0.21444478380064438,10
Basketball,45-54,Trunk/spine,278,1200.0,297.22364143191174,0.24612098303063049,1200.0,True,passes conservative screen,16.3,3.3971921607880824,0.20865920426401147,10
Basketball,45-54,Hip/thigh,27,,64.3017666106967,0.649171880450829,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.8803907410553129,0.6592716559517471,10
Basketball,45-54,Knee,265,,266.1557806479494,0.2509783848586623,,False,estimate < 1200,,3.0175483585911347,0.21106042045708207,10
Basketball,45-54,Lower leg,192,,209.47062534318098,0.2894910853170136,,False,estimate < 1200,,2.604764671523711,0.26701318139800456,10
Basketball,45-54,Ankle,184,,209.5771475734917,0.27917715014821404,,False,estimate < 1200,,2.6102743031672238,0.25791359537546227,10
Basketball,45-54,Foot/toes,88,,137.68063088967205,0.399994697624139,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,1.8298996700161645,0.394330899057129,10
Basketball,45-54,Multiple/systemic,19,,51.16206183435441,0.6827842519990841,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.7063958955297902,0.6992553017634762,10
Basketball,45-54,Internal/systemic,0,,0.0,,,False,CV unassessed; proportion CV unassessed or > 0.33,,0.0,,10
Basketball,45-54,Not stated/other,7,,19.009391046142063,0.7597635763086082,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.28250913370538877,0.8375194491079957,10
Basketball,55-64,Head/face,138,,183.41038672495347,0.33207256719010725,,False,"estimate < 1200; CV bound outside [0, 0.33]",,5.3722126664840095,0.2896579836287101,10
Basketball,55-64,Neck,13,,37.50979703619072,0.7915598505881172,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,1.3069076504378931,0.8213101263988147,10
Basketball,55-64,Shoulder/upper arm,40,,100.969507923376,0.6040230507576616,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,3.388200625001085,0.6036088860416439,10
Basketball,55-64,Elbow/forearm,20,,63.5369632656209,0.8045780229230967,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,2.129217978181552,0.802943653489736,10
Basketball,55-64,Wrist/hand,122,,165.81601716971687,0.3421511498185234,,False,"estimate < 1200; CV bound outside [0, 0.33]",,4.94296710072159,0.30374034224331325,10
Basketball,55-64,Trunk/spine,149,,198.84888833726325,0.3300714889497112,,False,"estimate < 1200; CV bound outside [0, 0.33]",,5.957743289273943,0.2945030959409309,10
Basketball,55-64,Hip/thigh,15,,52.30625628999782,0.7328447112663683,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,1.8242641533295345,0.7611482944387633,10
Basketball,55-64,Knee,89,,141.71094963457705,0.3818624182843939,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,4.50173378420147,0.3612489160943003,10
Basketball,55-64,Lower leg,63,,117.45239840695801,0.4754284543238273,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,3.772762986019403,0.45478490072525113,10
Basketball,55-64,Ankle,51,,84.1141383123244,0.5012630080756191,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,2.7431909231655274,0.48682842105724283,10
Basketball,55-64,Foot/toes,30,,62.818622870754645,0.5911763431558842,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,2.221375492383277,0.6225494375560036,10
Basketball,55-64,Multiple/systemic,14,,46.272700958283544,0.7865554123443669,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,1.557781739914616,0.7885592237354375,10
Basketball,55-64,Internal/systemic,0,,0.0,,,False,CV unassessed; proportion CV unassessed or > 0.33,,0.0,,10
Basketball,55-64,Not stated/other,5,,22.663069999999998,1.0,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.8266995466274453,1.0863060364699355,10
