Profile_Age,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
0-4,16949,46900.0,10813.50610454191,0.2305842051542015,46900.0,True,passes conservative screen,2.0,0.32149838698992456,0.1600558800980062,10
5-9,68554,190400.0,33436.14832436062,0.17564987861964365,190400.0,True,passes conservative screen,8.2,0.8230292994557078,0.10094311840654151,10
10-14,196193,570600.0,70257.02728345997,0.12313158419103115,570600.0,True,passes conservative screen,24.4,1.2573935425918548,0.051449449571282384,10
15-19,154923,528200.0,53453.1315652285,0.101203831793477,528200.0,True,passes conservative screen,22.6,0.6516494202647566,0.028804983174907133,10
20-24,45942,193700.0,19732.57768102687,0.10185250782446502,193700.0,True,passes conservative screen,8.3,0.6805783216920779,0.08201547927325835,10
25-29,32901,136500.0,12270.45523420299,0.08992294380848719,136500.0,True,passes conservative screen,5.8,0.42119320151139167,0.07206443786407622,10
30-34,26661,114000.0,10311.78589228953,0.09046621124418744,114000.0,True,passes conservative screen,4.9,0.34984762177927037,0.07165743383391238,10
35-39,21242,94000.0,8678.785030326795,0.09231966876655409,94000.0,True,passes conservative screen,4.0,0.28215528818480784,0.07007341944711744,10
40-44,16551,74400.0,7100.008466546884,0.09545571211814252,74400.0,True,passes conservative screen,3.2,0.21036646085539987,0.06603122676946953,10
45-49,13904,62900.0,6340.010996298675,0.10072874091502827,62900.0,True,passes conservative screen,2.7,0.17739271803919263,0.06580046950554565,10
50-54,12549,57700.0,6380.06997977363,0.11056004301720064,57700.0,True,passes conservative screen,2.5,0.1678623551291767,0.0679134633908592,10
55-59,11378,53200.0,6717.703468365561,0.12621858053115725,53200.0,True,passes conservative screen,2.3,0.1766394427428723,0.07748541410544718,10
60-64,10385,50000.0,7773.6411485428525,0.15547863078182275,50000.0,True,passes conservative screen,2.1,0.22274355024831466,0.10401145371450254,10
65-69,10109,51000.0,9808.714388407798,0.1921908182513367,51000.0,True,passes conservative screen,2.2,0.2953259668135294,0.13509895551350196,10
70-74,8266,43200.0,10216.516357194774,0.23635549488432026,43200.0,True,passes conservative screen,1.9,0.33112300973431763,0.17884715652315206,10
75-79,6043,31900.0,8228.432504367094,0.257567087917255,31900.0,True,passes conservative screen,1.4,0.26925093095348274,0.19677063193425062,10
80+,7087,36000.0,8596.907406165807,0.23853951104873045,36000.0,True,passes conservative screen,1.5,0.27247030424634683,0.17650908446940275,10
