Profile_Age,Source_Year,n,estimate,cv_approx,annual_pass
0-4,2016,1682,49700.0,0.17120879553186516,True
5-9,2016,7788,233500.0,0.1472470869328015,True
10-14,2016,23318,710500.0,0.11427683188179696,True
15-19,2016,18358,654700.0,0.09963126634393996,True
20-24,2016,5900,237100.0,0.09666342146598102,True
25-29,2016,4116,162800.0,0.10485669065294731,True
30-34,2016,3204,135700.0,0.10754209752035336,True
35-39,2016,2461,106600.0,0.10500365576927122,True
40-44,2016,1845,81900.0,0.10971516615248178,True
45-49,2016,1639,73000.0,0.11065064481438604,True
50-54,2016,1449,66500.0,0.12425876565751075,True
55-59,2016,1118,50500.0,0.13659325190821672,True
60-64,2016,875,41800.0,0.17168946631076154,True
65-69,2016,862,45900.0,0.24832511561714934,True
70-74,2016,571,32900.0,0.27098726904262355,True
75-79,2016,431,24800.0,0.290472826396681,True
80+,2016,455,25100.0,0.23986698860894598,True
0-4,2017,1860,50000.0,0.1951636841872499,True
5-9,2017,8130,224900.0,0.14637580784904738,True
10-14,2017,23999,711700.0,0.10413348253494084,True
15-19,2017,18612,632100.0,0.08372545360307743,True
20-24,2017,5739,224700.0,0.08787575913895304,True
25-29,2017,4105,162600.0,0.08498975593504975,True
30-34,2017,3162,128400.0,0.0840312845195858,True
35-39,2017,2451,106700.0,0.08607280490867993,True
40-44,2017,1710,76000.0,0.08697741369368073,True
45-49,2017,1628,72100.0,0.09055506337090179,True
50-54,2017,1474,68100.0,0.10933314052757691,True
55-59,2017,1192,54600.0,0.10643241942729564,True
60-64,2017,961,47000.0,0.1403142150492416,True
65-69,2017,907,45900.0,0.18825840895274645,True
70-74,2017,715,36900.0,0.21571873665056132,True
75-79,2017,490,26100.0,0.2667009214602132,True
80+,2017,625,31000.0,0.21943144172483667,True
0-4,2018,1793,50200.0,0.21653131171694745,True
5-9,2018,7414,210100.0,0.18188330899640573,True
10-14,2018,21652,635100.0,0.12542295699102093,True
15-19,2018,16662,575500.0,0.10508455350587154,True
20-24,2018,4745,194800.0,0.09503820184849315,True
25-29,2018,3580,148700.0,0.08692056055888138,True
30-34,2018,2716,115600.0,0.07988862750647692,True
35-39,2018,2162,97300.0,0.09188830483450891,True
40-44,2018,1709,77300.0,0.08460857503035492,True
45-49,2018,1403,64000.0,0.09767278954046493,True
50-54,2018,1273,59200.0,0.11574019442355912,True
55-59,2018,1148,53400.0,0.13973203098284906,True
60-64,2018,935,45400.0,0.1602262038251213,True
65-69,2018,954,50300.0,0.19635168859156835,True
70-74,2018,681,37800.0,0.2892677242483261,True
75-79,2018,500,28200.0,0.2670958106942525,True
80+,2018,632,33400.0,0.2568113207890733,True
0-4,2019,1732,46100.0,0.2455880136254294,True
5-9,2019,7056,191300.0,0.18153024954262378,True
10-14,2019,21190,610100.0,0.13756274544134478,True
15-19,2019,16103,541900.0,0.11199071320391443,True
20-24,2019,4485,184500.0,0.08755656803335053,True
25-29,2019,3320,137200.0,0.0834973577381942,True
30-34,2019,2583,109400.0,0.08222181353957636,True
35-39,2019,2119,96100.0,0.08471083320491747,True
40-44,2019,1538,68100.0,0.08907984005047764,True
45-49,2019,1397,62800.0,0.11090289899960461,True
50-54,2019,1300,60100.0,0.09503231438829919,True
55-59,2019,1177,52400.0,0.11779515863312219,True
60-64,2019,1042,48900.0,0.16089402490517385,True
65-69,2019,935,47600.0,0.2689867214357389,True
70-74,2019,834,45100.0,0.29053450761656113,True
75-79,2019,562,31500.0,0.31422708217847783,True
80+,2019,615,32100.0,0.2951092622266461,True
0-4,2020,1517,39300.0,0.29904192150666103,True
5-9,2020,4095,99300.0,0.22341859802844583,True
10-14,2020,10526,263300.0,0.1652332074322305,True
15-19,2020,8911,282500.0,0.11975454564730627,True
20-24,2020,2939,119900.0,0.10303590214783498,True
25-29,2020,2449,98800.0,0.0887401766373708,True
30-34,2020,1914,78300.0,0.08675897831808073,True
35-39,2020,1567,64400.0,0.09244824555084756,True
40-44,2020,1231,54200.0,0.08592887906156513,True
45-49,2020,1112,47600.0,0.09537798698446281,True
50-54,2020,1041,42200.0,0.11113679384039162,True
55-59,2020,1010,45300.0,0.13848604057423838,True
60-64,2020,863,40100.0,0.1958019760929093,True
65-69,2020,770,38300.0,0.22054832930036183,True
70-74,2020,697,35700.0,0.32326682907060394,True
75-79,2020,481,,0.34217647551892993,False
80+,2020,592,29700.0,0.28015958673605956,True
0-4,2021,1689,43300.0,0.2561594067389081,True
5-9,2021,5843,144800.0,0.24182537326871556,True
10-14,2021,15866,406900.0,0.15570893513817247,True
15-19,2021,13415,410300.0,0.11133216948765452,True
20-24,2021,4140,163200.0,0.10340240698582488,True
25-29,2021,2964,113500.0,0.0870579600937155,True
30-34,2021,2450,96500.0,0.08938204201250954,True
35-39,2021,1931,77600.0,0.09117594397085985,True
40-44,2021,1596,65900.0,0.09103027931380837,True
45-49,2021,1206,49800.0,0.09520460738908669,True
50-54,2021,1129,47600.0,0.11090062217155189,True
55-59,2021,1053,46200.0,0.12554118131990252,True
60-64,2021,952,42000.0,0.1752961081320998,True
65-69,2021,938,43900.0,0.20584458527643512,True
70-74,2021,788,39500.0,0.2708366961911696,True
75-79,2021,579,28100.0,0.26660174068361925,True
80+,2021,632,30100.0,0.2500761575727189,True
0-4,2022,1522,44800.0,0.3082994585269503,True
5-9,2022,6380,185100.0,0.2317158293657757,True
10-14,2022,18445,540200.0,0.1573510905457263,True
15-19,2022,14347,487300.0,0.12465338799227677,True
20-24,2022,4213,180900.0,0.10690093410175157,True
25-29,2022,2854,121500.0,0.09351120131504873,True
30-34,2022,2287,99600.0,0.09751817327721725,True
35-39,2022,1737,77000.0,0.10054757582556764,True
40-44,2022,1475,68900.0,0.11221264590640519,True
45-49,2022,1161,53300.0,0.10972744509883857,True
50-54,2022,1127,54400.0,0.11609189095357111,True
55-59,2022,1010,51400.0,0.13639483741839825,True
60-64,2022,1018,52100.0,0.16889272670239952,True
65-69,2022,952,50500.0,0.18713151461450664,True
70-74,2022,768,42300.0,0.2328871728655029,True
75-79,2022,554,32800.0,0.2712223299341428,True
80+,2022,653,34400.0,0.22521311445687084,True
0-4,2023,1472,45800.0,0.3033302348333447,True
5-9,2023,6616,188000.0,0.19747642890463094,True
10-14,2023,18432,545300.0,0.13186800333369844,True
15-19,2023,15286,513700.0,0.10540231640997721,True
20-24,2023,4500,182500.0,0.10051976476149341,True
25-29,2023,3143,125200.0,0.08646913326729527,True
30-34,2023,2787,113800.0,0.09127619799199871,True
35-39,2023,2143,91400.0,0.09210281280652226,True
40-44,2023,1754,74800.0,0.09769792052015973,True
45-49,2023,1402,61000.0,0.09321317860967972,True
50-54,2023,1209,54300.0,0.10564502408527535,True
55-59,2023,1154,53500.0,0.12328574288025969,True
60-64,2023,1135,53300.0,0.14593672086843285,True
65-69,2023,1150,54400.0,0.17206690154154766,True
70-74,2023,933,46800.0,0.21986808357296903,True
75-79,2023,670,34900.0,0.25682469117599166,True
80+,2023,785,42000.0,0.2722620033999376,True
0-4,2024,1784,50700.0,0.14974511413239086,True
5-9,2024,7271,210000.0,0.11929634251985147,True
10-14,2024,20744,644700.0,0.08834394791975844,True
15-19,2024,16273,599300.0,0.08386712348399653,True
20-24,2024,4584,226800.0,0.12102509243187273,True
25-29,2024,3131,146700.0,0.08828698509588309,True
30-34,2024,2719,130700.0,0.08767644699945838,True
35-39,2024,2257,111400.0,0.08666427116376754,True
40-44,2024,1817,88100.0,0.09394318341046319,True
45-49,2024,1452,71000.0,0.09196748594420767,True
50-54,2024,1259,63100.0,0.11059214234653092,True
55-59,2024,1176,60600.0,0.12662391391090216,True
60-64,2024,1262,64500.0,0.127360616469558,True
65-69,2024,1227,65200.0,0.1430987927418273,True
70-74,2024,1090,57700.0,0.16053581980000714,True
75-79,2024,817,41700.0,0.19209194911895272,True
80+,2024,984,50100.0,0.18648973040837666,True
0-4,2025,1898,49100.0,0.1944948996527168,True
5-9,2025,7961,216600.0,0.1470752076150322,True
10-14,2025,22021,638200.0,0.09866909940109511,True
15-19,2025,16956,584300.0,0.08650175827844446,True
20-24,2025,4697,222900.0,0.11496643432703892,True
25-29,2025,3239,147600.0,0.09247552354854043,True
30-34,2025,2839,131700.0,0.09501146165803667,True
35-39,2025,2414,111600.0,0.09396384038125884,True
40-44,2025,1876,88700.0,0.09960169947457763,True
45-49,2025,1504,74700.0,0.1100651318090852,True
50-54,2025,1288,61500.0,0.10604988786593522,True
55-59,2025,1340,64300.0,0.1162743435712471,True
60-64,2025,1342,64800.0,0.13589995910998784,True
65-69,2025,1414,68400.0,0.14251594102803164,True
70-74,2025,1189,57700.0,0.16731710854852258,True
75-79,2025,959,46500.0,0.18960458705351468,True
80+,2025,1114,52400.0,0.20407810378805713,True
