Activity,Profile_Age,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Basketball,0-4,645,1500.0,330.6615013241414,0.22603481556370908,1500.0,True,passes conservative screen,0.4,0.08290272616081905,0.2083429079834754,10
Basketball,5-9,6339,16600.0,2408.226451234234,0.14497476815886257,16600.0,True,passes conservative screen,4.5,0.42358227707207036,0.09374564178211209,10
Basketball,10-14,38679,108700.0,11958.866709506981,0.10997833608820348,108700.0,True,passes conservative screen,29.6,1.2934099834500643,0.04372920012032208,10
Basketball,15-19,38058,124300.0,12540.982245383111,0.10093031173666817,124300.0,True,passes conservative screen,33.8,0.9074371233466119,0.02684879563621519,10
Basketball,20-24,11466,45200.0,4867.41023135225,0.10777214675330252,45200.0,True,passes conservative screen,12.3,0.9559022266393279,0.07781086829316011,10
Basketball,25-29,6436,24700.0,2463.2946258533793,0.09978638617554646,24700.0,True,passes conservative screen,6.7,0.48769525998795266,0.07263094172038548,10
Basketball,30-34,4211,16400.0,1686.1402194219147,0.10252367098851556,16400.0,True,passes conservative screen,4.5,0.39916869989783177,0.08922881909131414,10
Basketball,35-39,2832,11200.0,1178.965053727002,0.1051886195433386,11200.0,True,passes conservative screen,3.0,0.28333386161708485,0.09293611408574913,10
Basketball,40-44,1733,6900.0,866.3453554617115,0.12557366432725234,6900.0,True,passes conservative screen,1.9,0.20847711082646478,0.11109233650944525,10
Basketball,45-49,1114,4500.0,607.884792932622,0.13414551258455235,4500.0,True,passes conservative screen,1.2,0.15950535287898243,0.12940418972525897,10
Basketball,50-54,688,2900.0,530.9468733819978,0.18398126023383296,2900.0,True,passes conservative screen,0.8,0.13802035883132147,0.175826316992081,10
Basketball,55-59,437,1700.0,340.6147358868304,0.1987811425754075,1700.0,True,passes conservative screen,0.5,0.0875668790657085,0.18787536032920818,10
Basketball,60-64,312,1300.0,287.3777357826343,0.22727064006642947,1300.0,True,passes conservative screen,0.3,0.07545369278668031,0.2193759028137122,10
Basketball,65-69,187,,234.6201805110626,0.29778560553449596,,False,estimate < 1200,,0.06358845858901842,0.29671181429328125,10
Basketball,70-74,101,,165.44393171548057,0.36752360093545805,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.04482524758550504,0.36607940161016783,10
Basketball,75-79,63,,128.28158813131478,0.43594428305236865,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.03460178363472838,0.4322981233897458,10
Basketball,80+,57,,119.68216832040802,0.5011250754224293,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.03216664518087151,0.4951544193518703,10
Exercise/fitness,0-4,2045,5100.0,913.6138397281562,0.17826239677618355,5100.0,True,passes conservative screen,1.4,0.20984365091691842,0.15534688718574813,10
Exercise/fitness,5-9,3954,11400.0,2065.8035453491966,0.18169984738568878,11400.0,True,passes conservative screen,3.0,0.45302056874764074,0.1511795732920265,10
Exercise/fitness,10-14,6980,22900.0,3450.7361534739516,0.15078685563714442,22900.0,True,passes conservative screen,6.0,0.7909302987921791,0.13112925499516853,10
Exercise/fitness,15-19,7630,29200.0,3419.933885099848,0.11695465874460252,29200.0,True,passes conservative screen,7.7,0.5257847319494975,0.06822089875438175,10
Exercise/fitness,20-24,7761,31700.0,4033.3623546837357,0.12731351801667218,31700.0,True,passes conservative screen,8.3,0.6393843704589282,0.07657357870451184,10
Exercise/fitness,25-29,7591,31200.0,3686.057447234775,0.1181825729096935,31200.0,True,passes conservative screen,8.2,0.5498211158796235,0.06688402587550285,10
Exercise/fitness,30-34,7057,29600.0,3407.3657712639083,0.11529541608986317,29600.0,True,passes conservative screen,7.8,0.48982015902111775,0.06288391756120565,10
Exercise/fitness,35-39,6412,27400.0,3138.4564045186708,0.11444168552533662,27400.0,True,passes conservative screen,7.2,0.4436408522767946,0.06137751855733834,10
Exercise/fitness,40-44,5398,23700.0,2662.4670750629657,0.11257351791972346,23700.0,True,passes conservative screen,6.2,0.3622653556348539,0.05811502722393249,10
Exercise/fitness,45-49,5144,22400.0,2635.533650111351,0.11752231679104724,22400.0,True,passes conservative screen,5.9,0.36879214558704226,0.06239403783336201,10
Exercise/fitness,50-54,5127,22600.0,2676.0413525524177,0.11829461341121006,22600.0,True,passes conservative screen,6.0,0.36232202465169966,0.060768222569231055,10
Exercise/fitness,55-59,5089,22700.0,3012.055212165505,0.1328776732703081,22700.0,True,passes conservative screen,6.0,0.3652821630325241,0.06114024890812644,10
Exercise/fitness,60-64,4739,21600.0,3207.5403532318987,0.14855509906724987,21600.0,True,passes conservative screen,5.7,0.39620488001061194,0.06962174511838422,10
Exercise/fitness,65-69,4813,22900.0,3839.5027587676946,0.16796507647824788,22900.0,True,passes conservative screen,6.0,0.5344367477818791,0.08870538204221946,10
Exercise/fitness,70-74,4015,19600.0,3713.2429717492623,0.18961137990689395,19600.0,True,passes conservative screen,5.2,0.5541337648560577,0.10735821818531446,10
Exercise/fitness,75-79,3022,14900.0,3081.5084165948238,0.20679550344970188,14900.0,True,passes conservative screen,3.9,0.5020752046456227,0.1278368783480424,10
Exercise/fitness,80+,4259,20600.0,4078.109926438735,0.1975750634576864,20600.0,True,passes conservative screen,5.4,0.6561522145596135,0.12061114796302391,10
Football,0-4,334,,220.12148644384501,0.3060716142448108,,False,estimate < 1200,,0.0718573769590716,0.2794740817538805,10
Football,5-9,9674,23700.0,3600.190425623253,0.1520501694531363,23700.0,True,passes conservative screen,8.5,0.6454978439536386,0.07625455529748594,10
Football,10-14,42958,121300.0,14377.137147540046,0.11854515830121154,121300.0,True,passes conservative screen,43.4,1.3002941927348546,0.029989041767416597,10
Football,15-19,27811,96400.0,10229.002049357163,0.10613947350253201,96400.0,True,passes conservative screen,34.5,0.902242459876099,0.026186441485420126,10
Football,20-24,3389,14000.0,2027.1198909651425,0.1450976965905591,14000.0,True,passes conservative screen,5.0,0.7087046602709297,0.1418913537967103,10
Football,25-29,2102,8400.0,1029.7690660118258,0.12266806033409378,8400.0,True,passes conservative screen,3.0,0.40607703680179097,0.13530369243978907,10
Football,30-34,1398,5500.0,703.0160025269563,0.12822748249567015,5500.0,True,passes conservative screen,2.0,0.28200668105309823,0.1438748431356816,10
Football,35-39,840,3600.0,544.0147596607605,0.15177687344300175,3600.0,True,passes conservative screen,1.3,0.1989751769548874,0.15527565859643272,10
Football,40-44,522,2300.0,428.2532267097264,0.18952135692433436,2300.0,True,passes conservative screen,0.8,0.14701856042619968,0.1819865282319769,10
Football,45-49,290,1300.0,293.55224892138716,0.22857822367822175,1300.0,True,passes conservative screen,0.5,0.1057479111809491,0.23031954819175296,10
Football,50-54,209,,247.30717838346692,0.2636526486279121,,False,estimate < 1200,,0.08887972804482902,0.26503772436215856,10
Football,55-59,146,,214.13951183652748,0.3532581196293805,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.07626094479806231,0.3518901309399864,10
Football,60-64,99,,177.41490973855156,0.392771020917044,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.06163788073745158,0.38168630878486015,10
Football,65-69,66,,150.88416139774438,0.4704774687567966,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.05398824473361308,0.47087316971899934,10
Football,70-74,36,,119.13056498234354,0.5997447936772586,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.042384065646097945,0.5968366163489933,10
Football,75-79,21,,60.93972166026094,0.615020533849758,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.022905366315510496,0.6466003749451634,10
Football,80+,13,,66.57044359484289,0.9436243636721766,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.024051962015815897,0.9536253004608823,10
Soccer,0-4,786,1600.0,410.653667010053,0.25865849746677433,1600.0,True,passes conservative screen,0.8,0.15219467052061195,0.1890635886286916,10
Soccer,5-9,8365,20800.0,4231.618537013033,0.20378161618366758,20800.0,True,passes conservative screen,10.5,1.0353979399252482,0.0983384129268943,10
Soccer,10-14,27072,69200.0,11577.33658878863,0.16727521067957637,69200.0,True,passes conservative screen,35.1,1.6595330057084996,0.047289663876959674,10
Soccer,15-19,19202,56400.0,7612.788198957722,0.13491039900579205,56400.0,True,passes conservative screen,28.6,1.041086062071234,0.03638695543859658,10
Soccer,20-24,4346,16800.0,2357.6238892596566,0.14029070394852858,16800.0,True,passes conservative screen,8.5,0.9486212457928125,0.11132805589600572,10
Soccer,25-29,2677,9800.0,1484.0575653121994,0.15172659639478603,9800.0,True,passes conservative screen,5.0,0.6353662513007169,0.12811279855739827,10
