Activity,Profile_Age,Source_Year,n,estimate,cv_approx,annual_pass
Basketball,0-4,2016,76,1600.0,0.241466979262959,True
Basketball,5-9,2016,841,23700.0,0.1456374602441242,True
Basketball,10-14,2016,4914,141200.0,0.10332964376077292,True
Basketball,15-19,2016,4875,162100.0,0.09542910043273309,True
Basketball,20-24,2016,1623,62100.0,0.09362070642704386,True
Basketball,25-29,2016,929,35000.0,0.11109661115469381,True
Basketball,30-34,2016,539,20800.0,0.08965417574832073,True
Basketball,35-39,2016,350,12800.0,0.0972363186675539,True
Basketball,40-44,2016,213,8100.0,0.12724704760415398,True
Basketball,45-49,2016,141,4800.0,0.1344188532263539,True
Basketball,50-54,2016,95,4300.0,0.21354672405827704,True
Basketball,55-59,2016,62,2000.0,0.193028621705792,True
Basketball,60-64,2016,28,,0.2690023019144627,False
Basketball,65-69,2016,13,,0.3325761466477927,False
Basketball,70-74,2016,6,,0.4547149371179114,False
Basketball,75-79,2016,7,,0.4487841917853511,False
Basketball,80+,2016,6,,0.4543397648253177,False
Exercise/fitness,0-4,2016,193,5400.0,0.1979704230847292,True
Exercise/fitness,5-9,2016,402,13100.0,0.2483511747825055,True
Exercise/fitness,10-14,2016,788,30100.0,0.166564063559865,True
Exercise/fitness,15-19,2016,906,37400.0,0.1150792150279373,True
Exercise/fitness,20-24,2016,1003,36200.0,0.16182753347694004,True
Exercise/fitness,25-29,2016,927,34200.0,0.15477289645593958,True
Exercise/fitness,30-34,2016,841,34500.0,0.15188343587829403,True
Exercise/fitness,35-39,2016,728,27700.0,0.14547363291144225,True
Exercise/fitness,40-44,2016,537,23300.0,0.13516905723439104,True
Exercise/fitness,45-49,2016,542,24300.0,0.11315126839641106,True
Exercise/fitness,50-54,2016,548,25000.0,0.12604328724141867,True
Exercise/fitness,55-59,2016,470,19800.0,0.15721645017294214,True
Exercise/fitness,60-64,2016,379,17000.0,0.14991693351469448,True
Exercise/fitness,65-69,2016,392,18900.0,0.20408690184388292,True
Exercise/fitness,70-74,2016,268,14400.0,0.20871993578138276,True
Exercise/fitness,75-79,2016,194,10200.0,0.21278109310084614,True
Exercise/fitness,80+,2016,252,13200.0,0.19508474195089506,True
Football,0-4,2016,60,1200.0,0.2407642196363785,True
Football,5-9,2016,1324,32700.0,0.13103898166084785,True
Football,10-14,2016,5478,158500.0,0.11005726199194298,True
Football,15-19,2016,3568,126800.0,0.10727176071132388,True
Football,20-24,2016,546,21900.0,0.10178454981345574,True
Football,25-29,2016,332,13000.0,0.11683563955885816,True
Football,30-34,2016,205,7600.0,0.11343085567189032,True
Football,35-39,2016,112,5500.0,0.14255240077437217,True
Football,40-44,2016,60,2500.0,0.1828385420183488,True
Football,45-49,2016,37,1500.0,0.19214888530319338,True
Football,50-54,2016,38,1500.0,0.14737837136288054,True
Football,55-59,2016,21,,0.3121638043908838,False
Football,60-64,2016,15,,0.35788670056484173,False
Football,65-69,2016,6,,0.45836122080445246,False
Football,70-74,2016,6,,0.45248751275747645,False
Football,75-79,2016,0,,,False
Football,80+,2016,1,,1.0000000000000007,False
Soccer,0-4,2016,82,1300.0,0.2932525400235186,True
Soccer,5-9,2016,924,25800.0,0.21714535836553905,True
Soccer,10-14,2016,3005,77700.0,0.17275156284800197,True
Soccer,15-19,2016,2133,65200.0,0.14981513303328114,True
Soccer,20-24,2016,534,20400.0,0.14579723417184431,True
Soccer,25-29,2016,300,10500.0,0.1930256458439226,True
Soccer,30-34,2016,242,8300.0,0.1775000178705341,True
Soccer,35-39,2016,156,6300.0,0.25058882162022567,True
Soccer,40-44,2016,104,4100.0,0.18782785197208862,True
Soccer,45-49,2016,79,2800.0,0.30542632758175303,True
Soccer,50-54,2016,42,,0.39415833254604815,False
Soccer,55-59,2016,22,,0.34576501562576983,False
Soccer,60-64,2016,12,,0.5223660782387094,False
Soccer,65-69,2016,3,,0.6587982043569802,False
Soccer,70-74,2016,3,,0.5498309007072074,False
Soccer,75-79,2016,2,,0.8658165298208201,False
Soccer,80+,2016,2,,0.7107833910761336,False
Swimming/diving,0-4,2016,563,19700.0,0.27451657902615917,True
Swimming/diving,5-9,2016,1185,45300.0,0.20567106198000365,True
Swimming/diving,10-14,2016,1033,42200.0,0.20721259134596187,True
Swimming/diving,15-19,2016,503,23400.0,0.17266190271820317,True
Swimming/diving,20-24,2016,214,11600.0,0.15396030545776593,True
Swimming/diving,25-29,2016,195,10600.0,0.17179649196460892,True
