Care_Outcome,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Released,0-4,15323,43000.0,9670.693211736927,0.22470890332021384,43000.0,True,passes conservative screen,92.7,1.2816583710297333,0.013821709392373368,10
Released,5-9,65373,183600.0,32656.754414986084,0.1779130573570954,183600.0,True,passes conservative screen,97.4,0.36482272405374955,0.003744892209486763,10
Released,10-14,188544,554200.0,68788.60857984374,0.12412298178052657,554200.0,True,passes conservative screen,98.0,0.24709150391067775,0.002521361611215829,10
Released,15-17,118455,387800.0,42760.75248100525,0.11026738784887204,387800.0,True,passes conservative screen,97.7,0.2733972916818826,0.0027981030363497363,10
Released,18-24,73594,306500.0,30172.373623026506,0.09843278494997851,306500.0,True,passes conservative screen,97.1,0.3379221401545603,0.003481425717804593,10
Released,25-34,55731,235300.0,20859.16992104916,0.08864292488056616,235300.0,True,passes conservative screen,96.1,0.44877113209261094,0.004668954868458826,10
Released,35-44,35055,157000.0,14272.633110035342,0.09089875569313637,157000.0,True,passes conservative screen,95.0,0.6654544358306915,0.007001459293581501,10
Released,45-54,23722,108400.0,10983.407158559432,0.10129487254247374,108400.0,True,passes conservative screen,91.5,1.2653935100616394,0.01382688591877824,10
Released,55-64,18452,87700.0,11019.950424134258,0.12570985383197528,87700.0,True,passes conservative screen,86.3,2.184679976850261,0.02531267911210547,10
Released,65-74,14385,73500.0,13334.058293622391,0.18130672291114006,73500.0,True,passes conservative screen,78.9,3.667194892254462,0.04647222091212539,10
Released,75+,9092,47400.0,9973.249775063914,0.21029679030097004,47400.0,True,passes conservative screen,70.4,3.959269678668863,0.056239770081362855,10
Escalated,0-4,1395,,1226.4310752922145,0.3633772456849096,,False,"CV bound outside [0, 0.33]",,1.281658371029735,0.17624372613867426,10
Escalated,5-9,2352,4900.0,919.031299399568,0.18896347678742895,4900.0,True,passes conservative screen,2.6,0.36482272405374805,0.14133576951435797,10
Escalated,10-14,5509,11300.0,1808.6007987938767,0.15984702040551635,11300.0,True,passes conservative screen,2.0,0.2470915039106775,0.12349838777374308,10
Escalated,15-17,3432,9100.0,1475.3799612950936,0.16219512125433908,9100.0,True,passes conservative screen,2.3,0.27339729168188265,0.11928775395719514,10
Escalated,18-24,2437,9300.0,1373.1128998000845,0.14810985366549384,9300.0,True,passes conservative screen,2.9,0.3379221401545604,0.11510774421390148,10
Escalated,25-34,2371,9500.0,1464.2050984167306,0.1540676040649234,9500.0,True,passes conservative screen,3.9,0.44877113209261116,0.11560644174818718,10
Escalated,35-44,1918,8200.0,1440.596798781246,0.17599146584641942,8200.0,True,passes conservative screen,5.0,0.6654544358306915,0.13430243758499685,10
Escalated,45-54,2200,10100.0,2028.3440442936383,0.20180773140913216,10100.0,True,passes conservative screen,8.5,1.2653935100616391,0.1491661153653797,10
Escalated,55-64,2914,13900.0,3634.636526155885,0.2613515354564348,13900.0,True,passes conservative screen,13.7,2.184679976850261,0.1595557656059862,10
Escalated,65-74,3764,,6981.9172736804685,0.35524021116510207,,False,"CV bound outside [0, 0.33]",,3.667194892254462,0.1738958789530059,10
Escalated,75+,3918,,7053.7052252882495,0.35374511168736233,,False,"CV bound outside [0, 0.33]",,3.959269678668864,0.13375829641459255,10
