Care_Outcome,Age_Band,Source_Year,n,estimate,cv_approx,annual_pass
Released,0-4,2016,1539,46500.0,0.16426848786198509,True
Released,5-9,2016,7477,227200.0,0.1475480326571077,True
Released,10-14,2016,22635,694800.0,0.1139261580664391,True
Released,15-17,2016,13968,484200.0,0.1082406463599321,True
Released,18-24,2016,9412,380400.0,0.0909965541997997,True
Released,25-34,2016,6961,284500.0,0.1045325164503187,True
Released,35-44,2016,4074,179300.0,0.10444381690320702,True
Released,45-54,2016,2849,128600.0,0.11280226499593017,True
Released,55-64,2016,1743,81100.0,0.13948296147642059,True
Released,65-74,2016,1166,62900.0,0.20600769525470777,True
Released,75+,2016,621,34300.0,0.21378747831857764,True
Escalated,0-4,2016,132,,0.36558024377486387,False
Escalated,5-9,2016,251,4800.0,0.17330806766736123,True
Escalated,10-14,2016,540,11800.0,0.18604901924250855,True
Escalated,15-17,2016,384,10700.0,0.1478922616917061,True
Escalated,18-24,2016,262,9200.0,0.14324641149298356,True
Escalated,25-34,2016,251,9800.0,0.17007218736789698,True
Escalated,35-44,2016,189,7700.0,0.1852404220950513,True
Escalated,45-54,2016,202,9300.0,0.23146640792768108,True
Escalated,55-64,2016,232,10600.0,0.2637308867959592,True
Escalated,65-74,2016,260,,0.5008255249599864,False
Escalated,75+,2016,261,,0.41473475336286736,False
Released,0-4,2017,1704,46900.0,0.19507154456073278,True
Released,5-9,2017,7795,217400.0,0.14805618978015192,True
Released,10-14,2017,23268,694900.0,0.10468458035454259,True
Released,15-17,2017,14380,471600.0,0.0928275553919017,True
Released,18-24,2017,9120,358100.0,0.08240171246307301,True
Released,25-34,2017,6933,278400.0,0.08298300970825546,True
Released,35-44,2017,3905,172000.0,0.0825734224736933,True
Released,45-54,2017,2823,127700.0,0.09296611191758926,True
Released,55-64,2017,1850,86500.0,0.10220917698691691,True
Released,65-74,2017,1307,66000.0,0.16056520405882618,True
Released,75+,2017,791,39800.0,0.1980088184551271,True
Escalated,0-4,2017,142,2900.0,0.28168906395362037,True
Escalated,5-9,2017,239,4800.0,0.1569482074738,True
Escalated,10-14,2017,554,12000.0,0.13410232808153938,True
Escalated,15-17,2017,345,10300.0,0.12796040543822315,True
Escalated,18-24,2017,243,8600.0,0.1528694643551346,True
Escalated,25-34,2017,227,8200.0,0.1279107266715486,True
Escalated,35-44,2017,202,8700.0,0.17139859291183207,True
Escalated,45-54,2017,241,10900.0,0.23044293642041527,True
Escalated,55-64,2017,287,14300.0,0.27298064061848615,True
Escalated,65-74,2017,302,,0.38223290394881887,False
Escalated,75+,2017,321,,0.3489842835304683,False
Released,0-4,2018,1612,45400.0,0.21377317596379933,True
Released,5-9,2018,7069,203400.0,0.18417260595589016,True
Released,10-14,2018,20857,619600.0,0.126157722521622,True
Released,15-17,2018,12830,431500.0,0.11452017904967239,True
Released,18-24,2018,7747,313800.0,0.08853285147961192,True
Released,25-34,2018,5912,249200.0,0.08207668366285305,True
Released,35-44,2018,3609,163600.0,0.08371707879202507,True
Released,45-54,2018,2404,109500.0,0.09961867670876362,True
Released,55-64,2018,1745,82300.0,0.12677745356153974,True
Released,65-74,2018,1238,65100.0,0.18379456995665028,True
Released,75+,2018,750,41000.0,0.2125958670576635,True
Escalated,0-4,2018,152,4000.0,0.3054204866487848,True
Escalated,5-9,2018,269,4900.0,0.17613864087135583,True
Escalated,10-14,2018,630,11700.0,0.1507078911232622,True
Escalated,15-17,2018,365,9200.0,0.1766997897539093,True
Escalated,18-24,2018,217,8000.0,0.13784128106474222,True
Escalated,25-34,2018,253,10200.0,0.15183048956197912,True
Escalated,35-44,2018,196,8100.0,0.22144915692739792,True
Escalated,45-54,2018,241,12400.0,0.2640044637069076,True
Escalated,55-64,2018,311,15400.0,0.3155746810200408,True
Escalated,65-74,2018,385,,0.40970012478824325,False
Escalated,75+,2018,378,,0.368616512309872,False
Released,0-4,2019,1575,42400.0,0.22932168807727982,True
Released,5-9,2019,6762,185400.0,0.18250084945858508,True
Released,10-14,2019,20352,593200.0,0.1386906129870942,True
Released,15-17,2019,12355,403800.0,0.12476041478055817,True
Released,18-24,2019,7400,298000.0,0.08617427402444089,True
Released,25-34,2019,5538,232400.0,0.08066435773629994,True
Released,35-44,2019,3414,154200.0,0.08323163694579659,True
Released,45-54,2019,2426,111100.0,0.09742976916718804,True
Released,55-64,2019,1888,85400.0,0.11883645935461194,True
Released,65-74,2019,1388,73200.0,0.25016048707622063,True
Released,75+,2019,808,44500.0,0.2643123914541175,True
Escalated,0-4,2019,140,,0.48831793148996494,False
Escalated,5-9,2019,221,4300.0,0.20877925471963055,True
Escalated,10-14,2019,625,11700.0,0.15147269119384105,True
Escalated,15-17,2019,336,8200.0,0.15707512688825961,True
Escalated,18-24,2019,226,8300.0,0.15034469530406205,True
Escalated,25-34,2019,239,9500.0,0.14885213095975502,True
Escalated,35-44,2019,188,7900.0,0.15589770599400912,True
Escalated,45-54,2019,225,9900.0,0.22943622537901515,True
Escalated,55-64,2019,293,14500.0,0.2752619033145098,True
Escalated,65-74,2019,368,,0.4094657248000971,False
Escalated,75+,2019,362,,0.407124299001092,False
Released,0-4,2020,1355,35500.0,0.28979963566951966,True
Released,5-9,2020,3916,96000.0,0.22750326119281422,True
Released,10-14,2020,10062,254600.0,0.16550673816079933,True
Released,15-17,2020,6582,195400.0,0.13500293510351571,True
Released,18-24,2020,4723,191700.0,0.10296220380931477,True
