Disposition_Label,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
TREATED/EXAMINED AND RELEASED,0-4,15323,43000.0,9670.693211736927,0.22470890332021384,43000.0,True,passes conservative screen,92.7,1.2816583710297333,0.013821709392373368,10
TREATED/EXAMINED AND RELEASED,5-9,65373,183600.0,32656.754414986084,0.1779130573570954,183600.0,True,passes conservative screen,97.4,0.36482272405374955,0.003744892209486763,10
TREATED/EXAMINED AND RELEASED,10-14,188544,554200.0,68788.60857984374,0.12412298178052657,554200.0,True,passes conservative screen,98.0,0.24709150391067775,0.002521361611215829,10
TREATED/EXAMINED AND RELEASED,15-17,118455,387800.0,42760.75248100525,0.11026738784887204,387800.0,True,passes conservative screen,97.7,0.2733972916818826,0.0027981030363497363,10
TREATED/EXAMINED AND RELEASED,18-24,73594,306500.0,30172.373623026506,0.09843278494997851,306500.0,True,passes conservative screen,97.1,0.3379221401545603,0.003481425717804593,10
TREATED/EXAMINED AND RELEASED,25-34,55731,235300.0,20859.16992104916,0.08864292488056616,235300.0,True,passes conservative screen,96.1,0.44877113209261094,0.004668954868458826,10
TREATED/EXAMINED AND RELEASED,35-44,35055,157000.0,14272.633110035342,0.09089875569313637,157000.0,True,passes conservative screen,95.0,0.6654544358306915,0.007001459293581501,10
TREATED/EXAMINED AND RELEASED,45-54,23722,108400.0,10983.407158559432,0.10129487254247374,108400.0,True,passes conservative screen,91.5,1.2653935100616394,0.01382688591877824,10
TREATED/EXAMINED AND RELEASED,55-64,18452,87700.0,11019.950424134258,0.12570985383197528,87700.0,True,passes conservative screen,86.3,2.184679976850261,0.02531267911210547,10
TREATED/EXAMINED AND RELEASED,65-74,14385,73500.0,13334.058293622391,0.18130672291114006,73500.0,True,passes conservative screen,78.9,3.667194892254462,0.04647222091212539,10
TREATED/EXAMINED AND RELEASED,75+,9092,47400.0,9973.249775063914,0.21029679030097004,47400.0,True,passes conservative screen,70.4,3.959269678668863,0.056239770081362855,10
TREATED AND TRANSFERRED,0-4,139,,249.7859591876846,0.31775599751750255,,False,estimate < 1200; proportion CV unassessed or > 0.33,,0.6458474777240187,0.3813137858834114,10
TREATED AND TRANSFERRED,5-9,340,1700.0,459.25417152099146,0.2647064290984932,1700.0,True,passes conservative screen,0.9,0.2777409040347893,0.3016295330242707,10
TREATED AND TRANSFERRED,10-14,718,3800.0,803.04582877178,0.2115655095649486,3800.0,True,passes conservative screen,0.7,0.14827393559360033,0.22090777487434793,10
TREATED AND TRANSFERRED,15-17,474,2600.0,579.5084778559427,0.22000433345476078,2600.0,True,passes conservative screen,0.7,0.1448057987296262,0.21818512668002527,10
TREATED AND TRANSFERRED,18-24,279,1300.0,344.732868960566,0.25755088869039977,1300.0,True,passes conservative screen,0.4,0.11217932756894264,0.2646691860856586,10
TREATED AND TRANSFERRED,25-34,217,,336.06515811539646,0.29952861564501176,,False,estimate < 1200,,0.13586378204155233,0.2964600912634665,10
TREATED AND TRANSFERRED,35-44,161,,273.41496990743406,0.30646739579805765,,False,estimate < 1200,,0.1647177313300325,0.3050132799257868,10
TREATED AND TRANSFERRED,45-54,157,,311.2258090751502,0.31028723363362126,,False,estimate < 1200,,0.26024137005608144,0.30740649375127915,10
TREATED AND TRANSFERRED,55-64,181,,333.55960707887976,0.2970687775937416,,False,estimate < 1200,,0.33961544116438747,0.30720734016761175,10
TREATED AND TRANSFERRED,65-74,195,1200.0,363.26590954314,0.2942556764684171,1200.0,True,passes conservative screen,1.3,0.3901396422728239,0.29452906956643754,10
TREATED AND TRANSFERRED,75+,152,,318.3426091715343,0.3373765936277173,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.46379092004897715,0.3311120023716048,10
TREATED AND ADMITTED/HOSPITALIZED,0-4,1140,,1156.180340219013,0.493397369431653,,False,"CV bound outside [0, 0.33]",,1.4644848382632434,0.2900567217582798,10
