Disposition_Label,Age_Band,Source_Year,n,estimate,cv_approx,annual_pass
TREATED/EXAMINED AND RELEASED,0-4,2016,1539,46500.0,0.16426848786198509,True
TREATED/EXAMINED AND RELEASED,5-9,2016,7477,227200.0,0.1475480326571077,True
TREATED/EXAMINED AND RELEASED,10-14,2016,22635,694800.0,0.1139261580664391,True
TREATED/EXAMINED AND RELEASED,15-17,2016,13968,484200.0,0.1082406463599321,True
TREATED/EXAMINED AND RELEASED,18-24,2016,9412,380400.0,0.0909965541997997,True
TREATED/EXAMINED AND RELEASED,25-34,2016,6961,284500.0,0.1045325164503187,True
TREATED/EXAMINED AND RELEASED,35-44,2016,4074,179300.0,0.10444381690320702,True
TREATED/EXAMINED AND RELEASED,45-54,2016,2849,128600.0,0.11280226499593017,True
TREATED/EXAMINED AND RELEASED,55-64,2016,1743,81100.0,0.13948296147642059,True
TREATED/EXAMINED AND RELEASED,65-74,2016,1166,62900.0,0.20600769525470777,True
TREATED/EXAMINED AND RELEASED,75+,2016,621,34300.0,0.21378747831857764,True
TREATED AND TRANSFERRED,0-4,2016,11,,0.33654690088573763,False
TREATED AND TRANSFERRED,5-9,2016,38,1800.0,0.26993857342621735,True
TREATED AND TRANSFERRED,10-14,2016,63,3500.0,0.1678769866820054,True
TREATED AND TRANSFERRED,15-17,2016,41,3000.0,0.19739042149151373,True
TREATED AND TRANSFERRED,18-24,2016,25,1200.0,0.2957690214916762,True
TREATED AND TRANSFERRED,25-34,2016,21,1300.0,0.28671829031868623,True
TREATED AND TRANSFERRED,35-44,2016,22,,0.2673877975219491,False
TREATED AND TRANSFERRED,45-54,2016,14,,0.3151372605904047,False
TREATED AND TRANSFERRED,55-64,2016,17,,0.28689970241603413,False
TREATED AND TRANSFERRED,65-74,2016,10,,0.42808933973757907,False
TREATED AND TRANSFERRED,75+,2016,3,,0.5554039621672867,False
TREATED AND ADMITTED/HOSPITALIZED,0-4,2016,110,,0.5013545548066626,False
TREATED AND ADMITTED/HOSPITALIZED,5-9,2016,202,2900.0,0.26811453881178693,True
TREATED AND ADMITTED/HOSPITALIZED,10-14,2016,456,7500.0,0.2984478529733297,True
TREATED AND ADMITTED/HOSPITALIZED,15-17,2016,324,6900.0,0.21458279823644866,True
TREATED AND ADMITTED/HOSPITALIZED,18-24,2016,206,6700.0,0.16681410404596195,True
TREATED AND ADMITTED/HOSPITALIZED,25-34,2016,206,7400.0,0.18930167041632343,True
TREATED AND ADMITTED/HOSPITALIZED,35-44,2016,141,5600.0,0.21549777023095837,True
TREATED AND ADMITTED/HOSPITALIZED,45-54,2016,171,7500.0,0.2743962841130195,True
TREATED AND ADMITTED/HOSPITALIZED,55-64,2016,188,8400.0,0.2947860999003119,True
TREATED AND ADMITTED/HOSPITALIZED,65-74,2016,235,,0.5359645018810054,False
TREATED AND ADMITTED/HOSPITALIZED,75+,2016,238,,0.4464675558895832,False
HELD FOR OBSERVATION,0-4,2016,4,,0.6195491066608029,False
HELD FOR OBSERVATION,5-9,2016,8,,0.725568908105434,False
HELD FOR OBSERVATION,10-14,2016,19,,0.4500348621075434,False
HELD FOR OBSERVATION,15-17,2016,18,,0.34154107361319674,False
HELD FOR OBSERVATION,18-24,2016,29,,0.3966603738314966,False
HELD FOR OBSERVATION,25-34,2016,24,,0.32844563631981183,False
HELD FOR OBSERVATION,35-44,2016,22,,0.36797130872848827,False
HELD FOR OBSERVATION,45-54,2016,14,,0.6303418284129815,False
HELD FOR OBSERVATION,55-64,2016,21,,0.31613951592178346,False
HELD FOR OBSERVATION,65-74,2016,12,,0.4964955439238945,False
HELD FOR OBSERVATION,75+,2016,12,,0.5771721265103305,False
"FATALITY INCL. DOA, DIED IN ER",0-4,2016,7,,0.8040247409948086,False
"FATALITY INCL. DOA, DIED IN ER",5-9,2016,3,,0.6674743063840555,False
"FATALITY INCL. DOA, DIED IN ER",10-14,2016,2,,0.8001450269449297,False
"FATALITY INCL. DOA, DIED IN ER",15-17,2016,1,,1.0000000000000004,False
"FATALITY INCL. DOA, DIED IN ER",18-24,2016,2,,0.8744587646213721,False
"FATALITY INCL. DOA, DIED IN ER",25-34,2016,0,,,False
"FATALITY INCL. DOA, DIED IN ER",35-44,2016,4,,0.6142088268950319,False
"FATALITY INCL. DOA, DIED IN ER",45-54,2016,3,,0.7073211710690499,False
"FATALITY INCL. DOA, DIED IN ER",55-64,2016,6,,0.6388627613038447,False
"FATALITY INCL. DOA, DIED IN ER",65-74,2016,3,,0.6630238385767929,False
"FATALITY INCL. DOA, DIED IN ER",75+,2016,8,,0.5581680270018535,False
TREATED/EXAMINED AND RELEASED,0-4,2017,1704,46900.0,0.19507154456073278,True
TREATED/EXAMINED AND RELEASED,5-9,2017,7795,217400.0,0.14805618978015192,True
TREATED/EXAMINED AND RELEASED,10-14,2017,23268,694900.0,0.10468458035454259,True
TREATED/EXAMINED AND RELEASED,15-17,2017,14380,471600.0,0.0928275553919017,True
TREATED/EXAMINED AND RELEASED,18-24,2017,9120,358100.0,0.08240171246307301,True
TREATED/EXAMINED AND RELEASED,25-34,2017,6933,278400.0,0.08298300970825546,True
TREATED/EXAMINED AND RELEASED,35-44,2017,3905,172000.0,0.0825734224736933,True
TREATED/EXAMINED AND RELEASED,45-54,2017,2823,127700.0,0.09296611191758926,True
TREATED/EXAMINED AND RELEASED,55-64,2017,1850,86500.0,0.10220917698691691,True
TREATED/EXAMINED AND RELEASED,65-74,2017,1307,66000.0,0.16056520405882618,True
TREATED/EXAMINED AND RELEASED,75+,2017,791,39800.0,0.1980088184551271,True
TREATED AND TRANSFERRED,0-4,2017,10,,0.3665260838046337,False
TREATED AND TRANSFERRED,5-9,2017,33,2200.0,0.2524962067374178,True
TREATED AND TRANSFERRED,10-14,2017,77,4400.0,0.1789447016137269,True
TREATED AND TRANSFERRED,15-17,2017,60,3600.0,0.16173407173413892,True
TREATED AND TRANSFERRED,18-24,2017,33,1600.0,0.28579752190230107,True
TREATED AND TRANSFERRED,25-34,2017,30,1500.0,0.25594157812568724,True
TREATED AND TRANSFERRED,35-44,2017,17,,0.41796955226936766,False
TREATED AND TRANSFERRED,45-54,2017,18,,0.33385116810286913,False
TREATED AND TRANSFERRED,55-64,2017,19,,0.27346720328049356,False
TREATED AND TRANSFERRED,65-74,2017,12,,0.2833659564578121,False
TREATED AND TRANSFERRED,75+,2017,4,,0.4975122534547822,False
TREATED AND ADMITTED/HOSPITALIZED,0-4,2017,122,,0.37262687157757995,False
TREATED AND ADMITTED/HOSPITALIZED,5-9,2017,196,2200.0,0.23269712173536994,True
TREATED AND ADMITTED/HOSPITALIZED,10-14,2017,450,6900.0,0.20734325154518332,True
TREATED AND ADMITTED/HOSPITALIZED,15-17,2017,263,5800.0,0.20597575177896063,True
TREATED AND ADMITTED/HOSPITALIZED,18-24,2017,185,6200.0,0.18806278303432478,True
TREATED AND ADMITTED/HOSPITALIZED,25-34,2017,161,5300.0,0.165731523826588,True
TREATED AND ADMITTED/HOSPITALIZED,35-44,2017,163,6800.0,0.1893263546942219,True
TREATED AND ADMITTED/HOSPITALIZED,45-54,2017,202,8900.0,0.26135726180437097,True
TREATED AND ADMITTED/HOSPITALIZED,55-64,2017,242,11900.0,0.3107728532527838,True
TREATED AND ADMITTED/HOSPITALIZED,65-74,2017,264,,0.4251601420024718,False
TREATED AND ADMITTED/HOSPITALIZED,75+,2017,296,,0.372098807636022,False
HELD FOR OBSERVATION,0-4,2017,7,,0.5540736804847525,False
HELD FOR OBSERVATION,5-9,2017,6,,0.6894235677257454,False
HELD FOR OBSERVATION,10-14,2017,26,,0.5263025732206368,False
HELD FOR OBSERVATION,15-17,2017,20,,0.36332517733003894,False
HELD FOR OBSERVATION,18-24,2017,25,,0.33842938933093136,False
HELD FOR OBSERVATION,25-34,2017,31,,0.33588399688359494,False
HELD FOR OBSERVATION,35-44,2017,20,,0.3971843325928295,False
HELD FOR OBSERVATION,45-54,2017,15,,0.33694367839469463,False
HELD FOR OBSERVATION,55-64,2017,18,,0.4064821047067548,False
HELD FOR OBSERVATION,65-74,2017,20,,0.36382246608360835,False
HELD FOR OBSERVATION,75+,2017,17,,0.3301124645672917,False
"FATALITY INCL. DOA, DIED IN ER",0-4,2017,3,,0.6747922719962666,False
"FATALITY INCL. DOA, DIED IN ER",5-9,2017,4,,0.5425615745297375,False
"FATALITY INCL. DOA, DIED IN ER",10-14,2017,1,,1.0000000000000002,False
"FATALITY INCL. DOA, DIED IN ER",15-17,2017,2,,0.7999859604479708,False
"FATALITY INCL. DOA, DIED IN ER",18-24,2017,0,,,False
"FATALITY INCL. DOA, DIED IN ER",25-34,2017,5,,0.6739420264097689,False
"FATALITY INCL. DOA, DIED IN ER",35-44,2017,2,,0.842052198786608,False
"FATALITY INCL. DOA, DIED IN ER",45-54,2017,6,,0.4961168983413148,False
"FATALITY INCL. DOA, DIED IN ER",55-64,2017,8,,0.4191899948477689,False
"FATALITY INCL. DOA, DIED IN ER",65-74,2017,6,,0.6357434546908921,False
"FATALITY INCL. DOA, DIED IN ER",75+,2017,4,,0.4606053139584523,False
TREATED/EXAMINED AND RELEASED,0-4,2018,1612,45400.0,0.21377317596379933,True
TREATED/EXAMINED AND RELEASED,5-9,2018,7069,203400.0,0.18417260595589016,True
TREATED/EXAMINED AND RELEASED,10-14,2018,20857,619600.0,0.126157722521622,True
TREATED/EXAMINED AND RELEASED,15-17,2018,12830,431500.0,0.11452017904967239,True
TREATED/EXAMINED AND RELEASED,18-24,2018,7747,313800.0,0.08853285147961192,True
TREATED/EXAMINED AND RELEASED,25-34,2018,5912,249200.0,0.08207668366285305,True
TREATED/EXAMINED AND RELEASED,35-44,2018,3609,163600.0,0.08371707879202507,True
TREATED/EXAMINED AND RELEASED,45-54,2018,2404,109500.0,0.09961867670876362,True
TREATED/EXAMINED AND RELEASED,55-64,2018,1745,82300.0,0.12677745356153974,True
TREATED/EXAMINED AND RELEASED,65-74,2018,1238,65100.0,0.18379456995665028,True
TREATED/EXAMINED AND RELEASED,75+,2018,750,41000.0,0.2125958670576635,True
TREATED AND TRANSFERRED,0-4,2018,19,,0.27262195881106777,False
TREATED AND TRANSFERRED,5-9,2018,32,1600.0,0.31134700305482227,True
TREATED AND TRANSFERRED,10-14,2018,76,3800.0,0.2538965965338381,True
TREATED AND TRANSFERRED,15-17,2018,56,3200.0,0.3201175314038412,True
TREATED AND TRANSFERRED,18-24,2018,33,1600.0,0.21197380409331465,True
TREATED AND TRANSFERRED,25-34,2018,19,,0.26771656196315335,False
TREATED AND TRANSFERRED,35-44,2018,12,,0.3329804479777296,False
TREATED AND TRANSFERRED,45-54,2018,17,,0.3160748709842005,False
TREATED AND TRANSFERRED,55-64,2018,19,,0.29671972179002026,False
TREATED AND TRANSFERRED,65-74,2018,12,,0.2995446144380644,False
TREATED AND TRANSFERRED,75+,2018,16,,0.3152753962786757,False
TREATED AND ADMITTED/HOSPITALIZED,0-4,2018,116,,0.48910459875258516,False
TREATED AND ADMITTED/HOSPITALIZED,5-9,2018,220,3100.0,0.2497546632082539,True
TREATED AND ADMITTED/HOSPITALIZED,10-14,2018,519,7400.0,0.20428926201888387,True
TREATED AND ADMITTED/HOSPITALIZED,15-17,2018,287,5700.0,0.22536570671828465,True
TREATED AND ADMITTED/HOSPITALIZED,18-24,2018,165,5700.0,0.17737029818656094,True
TREATED AND ADMITTED/HOSPITALIZED,25-34,2018,205,8100.0,0.18016171642689224,True
TREATED AND ADMITTED/HOSPITALIZED,35-44,2018,165,6800.0,0.25955471421148224,True
TREATED AND ADMITTED/HOSPITALIZED,45-54,2018,186,9800.0,0.3254303477173692,True
TREATED AND ADMITTED/HOSPITALIZED,55-64,2018,264,,0.3667863690993172,False
TREATED AND ADMITTED/HOSPITALIZED,65-74,2018,334,,0.44452827913474524,False
TREATED AND ADMITTED/HOSPITALIZED,75+,2018,335,,0.41528546593892246,False
HELD FOR OBSERVATION,0-4,2018,13,,0.6334539909140638,False
HELD FOR OBSERVATION,5-9,2018,12,,0.597130267393021,False
