Body_Region,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Head/face,0-4,6535,24200.0,5881.306635193653,0.24343233380535964,24200.0,True,passes conservative screen,52.4,2.0433720371960282,0.03903054489637243,8
Head/face,5-9,20839,74600.0,15664.552354195162,0.20984448987419307,74600.0,True,passes conservative screen,40.4,1.5392761462514828,0.038069039099728655,8
Head/face,10-14,35368,126200.0,17423.26726745732,0.1380423430166348,126200.0,True,passes conservative screen,22.8,0.7438076573209605,0.032581456018553015,8
Head/face,15-17,22152,87800.0,10722.886760657138,0.12208097494155162,87800.0,True,passes conservative screen,22.6,0.7058468595538347,0.03129784765511304,8
Head/face,18-24,12481,63400.0,6734.104007454544,0.10627557005749268,63400.0,True,passes conservative screen,20.5,0.7053092980737171,0.03436863546703307,8
Head/face,25-34,7004,36200.0,3779.4822405164236,0.1045037992880431,36200.0,True,passes conservative screen,14.9,0.6500993078585506,0.043762098903406446,8
Head/face,35-44,3823,21000.0,2345.5825422329044,0.11187028270569885,21000.0,True,passes conservative screen,13.1,0.6970586776189263,0.053363043456952655,8
Head/face,45-54,2847,15600.0,2096.045016126179,0.13420260120055932,15600.0,True,passes conservative screen,13.3,0.9283940725976735,0.0695575668710737,8
Head/face,55-64,2212,12700.0,1750.3039455283456,0.1375114163437014,12700.0,True,passes conservative screen,13.1,0.9696637076205661,0.07409023941429933,8
Head/face,65-74,2111,13100.0,2698.18945278431,0.205413438577691,13100.0,True,passes conservative screen,15.2,1.3880448174862432,0.09161441082611324,8
Head/face,75+,1886,11700.0,3031.630053424861,0.25831077345148096,11700.0,True,passes conservative screen,19.2,1.6830733874041992,0.08769112024141296,8
Neck,0-4,118,,124.06183154913421,0.4115742912986646,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.2649506253033746,0.4056278149853846,8
Neck,5-9,942,3000.0,658.2438104258802,0.22185573107747952,3000.0,True,passes conservative screen,1.6,0.21599937185440948,0.1344039865507295,8
Neck,10-14,2490,8200.0,1187.5240662551414,0.14522745122132927,8200.0,True,passes conservative screen,1.5,0.14547533856317893,0.09836096758167306,8
Neck,15-17,1640,6800.0,1010.2802998944355,0.14916700173615408,6800.0,True,passes conservative screen,1.7,0.19795320660055504,0.1138311526075933,8
Neck,18-24,975,4900.0,685.3445987797096,0.14129185167860084,4900.0,True,passes conservative screen,1.6,0.16603809466250272,0.10569268249745056,8
Neck,25-34,968,4900.0,744.6846714986608,0.15083355195920353,4900.0,True,passes conservative screen,2.0,0.23360013189492215,0.11519066789228677,8
Neck,35-44,635,3600.0,601.0207482133055,0.1665693291366209,3600.0,True,passes conservative screen,2.2,0.2965194659749872,0.13190644589137174,8
Neck,45-54,470,2800.0,535.1973377768858,0.19417974618686495,2800.0,True,passes conservative screen,2.4,0.3715026577218836,0.15772611439152465,8
Neck,55-64,289,1600.0,347.04078105416767,0.22378061079989542,1600.0,True,passes conservative screen,1.6,0.3007620453978834,0.18861644101487005,8
Neck,65-74,260,1500.0,403.21821194585846,0.26136047536021223,1500.0,True,passes conservative screen,1.8,0.31282490946280955,0.17579438172100678,8
Neck,75+,146,,330.60258265273586,0.33421982290732294,,False,"estimate < 1200; CV bound outside [0, 0.33]",,0.4142790449359859,0.2560974052187784,8
Shoulder/upper arm,0-4,254,,313.92114276697066,0.3860679594546129,,False,"estimate < 1200; CV bound outside [0, 0.33]",,0.4888604487801259,0.27744750538503743,8
Shoulder/upper arm,5-9,2024,6900.0,1473.790074053676,0.21492716379238008,6900.0,True,passes conservative screen,3.7,0.3518495787475041,0.09473021220529082,8
Shoulder/upper arm,10-14,8170,30300.0,4105.935236918051,0.13552273529791733,30300.0,True,passes conservative screen,5.5,0.28122231758587085,0.051318856009837495,8
Shoulder/upper arm,15-17,7102,30000.0,3694.6202406714438,0.1233379241388231,30000.0,True,passes conservative screen,7.7,0.376816285316268,0.048991891776271966,8
Shoulder/upper arm,18-24,5753,29600.0,3050.739532894439,0.10293759406584115,29600.0,True,passes conservative screen,9.6,0.5104542893816937,0.05318079167911718,8
Shoulder/upper arm,25-34,4190,21800.0,2032.6990537290553,0.09337981324754743,21800.0,True,passes conservative screen,8.9,0.46495278312964994,0.05200049007242928,8
Shoulder/upper arm,35-44,2594,14400.0,1568.8727726367224,0.10917536534587358,14400.0,True,passes conservative screen,9.0,0.5911883610848291,0.06603437033176804,8
Shoulder/upper arm,45-54,1771,9900.0,1189.1624949873137,0.12062781066456298,9900.0,True,passes conservative screen,8.4,0.6935137982121311,0.08232145603351816,8
Shoulder/upper arm,55-64,1293,7400.0,1144.917484313341,0.154069868560448,7400.0,True,passes conservative screen,7.6,0.7032185413269256,0.09203402395498844,8
Shoulder/upper arm,65-74,1006,6400.0,1307.8757567368318,0.2051959811580317,6400.0,True,passes conservative screen,7.4,0.8851776290354145,0.12040282651836065,8
Shoulder/upper arm,75+,568,3700.0,986.8053451392559,0.2642075219268581,3700.0,True,passes conservative screen,6.1,0.8069626329967108,0.13211537395400733,8
