Diagnosis_Plot,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Strain/sprain,0-4,362,,340.4643192649504,0.29143370569384747,,False,estimate < 1200,,0.5184722396519685,0.20480776149747726,8
Strain/sprain,5-9,6587,25100.0,5023.192710752456,0.2002550161853388,25100.0,True,passes conservative screen,13.6,0.8818928094212568,0.06490754147694934,8
Strain/sprain,10-14,35766,140100.0,19390.236733779177,0.1383999818469061,140100.0,True,passes conservative screen,25.3,1.1711564731986865,0.04621627778983125,8
Strain/sprain,15-17,27221,116300.0,14389.276863290443,0.12376876865467913,116300.0,True,passes conservative screen,29.9,1.3032580397718108,0.04365864274742684,8
Strain/sprain,18-24,17745,88800.0,8365.33095524594,0.09423614394497713,88800.0,True,passes conservative screen,28.7,1.351345703071384,0.047003467933613624,8
Strain/sprain,25-34,13942,70400.0,6695.421427600193,0.0951092590214808,70400.0,True,passes conservative screen,28.9,1.4491688726023733,0.05011670919584921,8
Strain/sprain,35-44,8192,44100.0,4560.54484587541,0.10349432446794297,44100.0,True,passes conservative screen,27.5,1.4458220018569694,0.05266497356245138,8
Strain/sprain,45-54,4809,26400.0,3238.780879981365,0.12258315696122817,26400.0,True,passes conservative screen,22.6,1.7262298402492091,0.07645388335841065,8
Strain/sprain,55-64,2931,17000.0,2986.4017434555435,0.17535952743051503,17000.0,True,passes conservative screen,17.5,1.656783740375289,0.09461533539188545,8
Strain/sprain,65-74,1919,12600.0,3413.7836145451365,0.27155852996803165,12600.0,True,passes conservative screen,14.5,1.7438830704315251,0.12026761890977349,8
Strain/sprain,75+,951,6600.0,2112.356071986952,0.31901700486111617,6600.0,True,passes conservative screen,10.8,1.4987480691899904,0.1384081269571288,8
Fracture,0-4,1300,3500.0,806.8409878981888,0.23100298305189437,3500.0,True,passes conservative screen,7.6,1.1056732591727165,0.14608619270556164,8
Fracture,5-9,10670,30900.0,5402.732660566736,0.1749271512789109,30900.0,True,passes conservative screen,16.7,0.8836691677177109,0.05282131901822092,8
Fracture,10-14,35908,111900.0,14785.680990995941,0.13213763449016042,111900.0,True,passes conservative screen,20.2,0.5906473167641916,0.029183713380690847,8
Fracture,15-17,15535,55600.0,6388.34034297063,0.11496632013779863,55600.0,True,passes conservative screen,14.3,0.5096240576362567,0.035719076573943624,8
Fracture,18-24,7654,37000.0,3878.762610515063,0.10474847777915906,37000.0,True,passes conservative screen,12.0,0.5808919761240094,0.048437191589784434,8
Fracture,25-34,6039,29500.0,3041.8482199558157,0.10327830419766468,29500.0,True,passes conservative screen,12.1,0.6975187359915249,0.057656211839192464,8
Fracture,35-44,3641,19400.0,2115.2205265676,0.10883426553127787,19400.0,True,passes conservative screen,12.1,0.8094302005714202,0.06684926558941186,8
Fracture,45-54,2520,13500.0,1678.5975745474443,0.12404011215160246,13500.0,True,passes conservative screen,11.6,1.0544491085150212,0.0911785912408386,8
Fracture,55-64,2448,14200.0,2322.7721155991044,0.16381737225727075,14200.0,True,passes conservative screen,14.6,1.2253577313326207,0.08404866511327373,8
Fracture,65-74,2079,13100.0,2936.9655821555452,0.2233874661964255,13100.0,True,passes conservative screen,15.2,1.5137747514159754,0.09982173037956481,8
Fracture,75+,1481,9600.0,2275.344058286081,0.2379104181744315,9600.0,True,passes conservative screen,15.6,1.842928801917822,0.11783144144211977,8
Contusion/abrasion,0-4,1463,5000.0,1117.4321717639932,0.22157784533086594,5000.0,True,passes conservative screen,10.9,1.3408802789409848,0.12270094176978379,8
Contusion/abrasion,5-9,6223,22600.0,4352.55576776686,0.19242927011759164,22600.0,True,passes conservative screen,12.3,0.7886082749014626,0.06436709549079216,8
Contusion/abrasion,10-14,16917,67200.0,9427.649554932435,0.1402052350592968,67200.0,True,passes conservative screen,12.2,0.644980098585397,0.053031539351958305,8
Contusion/abrasion,15-17,9571,42000.0,5465.652386370146,0.1300334204704984,42000.0,True,passes conservative screen,10.8,0.6430103445105673,0.05957974708290138,8
Contusion/abrasion,18-24,4884,26100.0,2728.419282245257,0.1043564987503559,26100.0,True,passes conservative screen,8.5,0.5261895601418413,0.06214120548819295,8
Contusion/abrasion,25-34,3561,20000.0,1993.833249016881,0.09965658569952172,20000.0,True,passes conservative screen,8.2,0.5515207398182274,0.0671116146048431,8
Contusion/abrasion,35-44,2052,11900.0,1374.394077673446,0.11520781527397084,11900.0,True,passes conservative screen,7.4,0.6207505090045624,0.0835208658534402,8
Contusion/abrasion,45-54,1471,8600.0,1100.3492237032524,0.1278546698585973,8600.0,True,passes conservative screen,7.4,0.7229256098533459,0.0982949845285395,8
Contusion/abrasion,55-64,1101,6700.0,1073.7343232021826,0.1602085517130086,6700.0,True,passes conservative screen,6.9,0.8279214851273469,0.12014137131887255,8
Contusion/abrasion,65-74,840,5400.0,1125.7076261971463,0.21002760289121294,5400.0,True,passes conservative screen,6.2,0.8415039622463627,0.13611651594595525,8
Contusion/abrasion,75+,723,4900.0,1337.1911536999864,0.2748804470434184,4900.0,True,passes conservative screen,8.0,1.1953985712322248,0.15026205883374175,8
Laceration/open wound,0-4,2641,10100.0,2321.1977787450132,0.22886069205261575,10100.0,True,passes conservative screen,22.0,1.6518974569664544,0.07516140223641206,8
Laceration/open wound,5-9,6855,24900.0,4431.0610565221,0.17788332216174324,24900.0,True,passes conservative screen,13.5,0.8173323965994908,0.060576197065707854,8
Laceration/open wound,10-14,7190,27900.0,3657.3958424118464,0.13104051114892945,27900.0,True,passes conservative screen,5.0,0.28097486071369115,0.0556580768590763,8
Laceration/open wound,15-17,5424,23400.0,2938.9512193534692,0.12537501188502934,23400.0,True,passes conservative screen,6.0,0.3300600181475336,0.054837701708015024,8
Laceration/open wound,18-24,5050,27000.0,3093.1285017175687,0.11472505809665752,27000.0,True,passes conservative screen,8.7,0.46496279139448493,0.05324852479287318,8
Laceration/open wound,25-34,3203,16900.0,1962.9858973523396,0.11616132348430648,16900.0,True,passes conservative screen,6.9,0.48570247186477944,0.0699734608815565,8
Laceration/open wound,35-44,1809,10400.0,1437.064916115129,0.13776253040880948,10400.0,True,passes conservative screen,6.5,0.6145683249637826,0.094565371921882,8
Laceration/open wound,45-54,1290,7500.0,1155.3574265062464,0.15307715434231262,7500.0,True,passes conservative screen,6.4,0.6583417037794875,0.10206975725016727,8
Laceration/open wound,55-64,1044,6500.0,1068.9975121478976,0.16439577804329916,6500.0,True,passes conservative screen,6.7,0.7673404303495285,0.1147668918804461,8
