Activity,Profile_Age,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Basketball,0-4,523,1500.0,335.5727626473415,0.22950133208251441,1500.0,True,passes conservative screen,0.4,0.08429695574185192,0.21112780923189567,8
Basketball,5-9,5118,16400.0,2483.710832340289,0.15146684743450714,16400.0,True,passes conservative screen,4.5,0.4199810349321482,0.09379534328258436,8
Basketball,10-14,31488,108500.0,12402.881285354295,0.11430894815627839,108500.0,True,passes conservative screen,29.6,1.2719308730054755,0.04292953589994253,8
Basketball,15-19,31059,124200.0,13013.980289743635,0.10477972342621579,124200.0,True,passes conservative screen,33.9,0.9279818902399647,0.027361609914436317,8
Basketball,20-24,9576,45200.0,4552.852142085218,0.10063250674939361,45200.0,True,passes conservative screen,12.4,0.9200550865880801,0.0744738178568012,8
Basketball,25-29,5365,25000.0,2466.105610440792,0.0985564020397291,25000.0,True,passes conservative screen,6.8,0.49770168521866,0.07284123885032033,8
Basketball,30-34,3426,16100.0,1629.980485882379,0.10108802786555107,16100.0,True,passes conservative screen,4.4,0.38959212445808494,0.08848354847452947,8
Basketball,35-39,2286,11000.0,1143.5617942393135,0.10428961447884724,11000.0,True,passes conservative screen,3.0,0.283450553136944,0.09466594539586047,8
Basketball,40-44,1367,6600.0,827.3599093228021,0.12466648915539537,6600.0,True,passes conservative screen,1.8,0.2019598861712964,0.11144367278478141,8
Basketball,45-49,885,4300.0,571.4100261222478,0.13169789143793803,4300.0,True,passes conservative screen,1.2,0.15260371942220713,0.12880452699477282,8
Basketball,50-54,573,2900.0,531.7514595106429,0.18184111313800885,2900.0,True,passes conservative screen,0.8,0.13921817159857347,0.174346952014249,8
Basketball,55-59,362,1700.0,321.07854053718734,0.18993904184178725,1700.0,True,passes conservative screen,0.5,0.08286850019319915,0.1795260536620962,8
Basketball,60-64,231,,279.1145694748183,0.24401840837428015,,False,estimate < 1200,,0.07360092525297139,0.2356450928074143,8
Basketball,65-69,142,,225.84705143206895,0.3078736041127174,,False,estimate < 1200,,0.06226119251639107,0.31082111096993215,8
Basketball,70-74,75,,150.10229559862998,0.3944276077723911,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.04129284884706548,0.39736522786744044,8
Basketball,75-79,44,,113.81864668423083,0.46720094198316303,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.030905013791296305,0.46457333267168627,8
Basketball,80+,40,,109.06119226635914,0.5401842382384527,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.029336475018782907,0.5321261955511103,8
Exercise/fitness,0-4,1565,4800.0,933.0570345894777,0.1945972844387755,4800.0,True,passes conservative screen,1.3,0.21936067095660317,0.16616823200371822,8
Exercise/fitness,5-9,3104,11100.0,1994.5106268661548,0.17971029819149992,11100.0,True,passes conservative screen,3.1,0.44955609845475375,0.1471231967811477,8
Exercise/fitness,10-14,5604,23100.0,3433.5786296602378,0.14876467381551048,23100.0,True,passes conservative screen,6.4,0.8179500683290307,0.12871828933680823,8
Exercise/fitness,15-19,6012,28600.0,3386.0298734529365,0.11838828672894411,28600.0,True,passes conservative screen,7.9,0.5305581845373984,0.0673769919567234,8
