Care_Outcome,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Released,0-4,11965,42300.0,10189.633704430551,0.24103999242514768,42300.0,True,passes conservative screen,92.6,1.300098945153129,0.014032387052427476,8
Released,5-9,50860,178300.0,33936.706847824025,0.1903112085569245,178300.0,True,passes conservative screen,97.6,0.34702951646659924,0.0035568935143100605,8
Released,10-14,147518,537400.0,71311.56342964337,0.1326873718516421,537400.0,True,passes conservative screen,98.1,0.23573397904048174,0.0024041758359223736,8
Released,15-17,92793,377500.0,44131.27443845896,0.11690876718397909,377500.0,True,passes conservative screen,97.7,0.27113401288067934,0.0027742697168322006,8
Released,18-24,58764,294800.0,27461.37031635874,0.09315204940790646,294800.0,True,passes conservative screen,97.2,0.3163109041965815,0.0032531412725459196,8
Released,25-34,44707,229300.0,20220.11233807041,0.08817284097006353,229300.0,True,passes conservative screen,96.2,0.4366633355354483,0.004537292407437625,8
Released,35-44,27337,149900.0,13563.433462300343,0.0905115963929772,149900.0,True,passes conservative screen,95.0,0.7005812496335061,0.007371917174814308,8
Released,45-54,18828,105200.0,10616.815094269527,0.10090485811276394,105200.0,True,passes conservative screen,91.5,1.3272476749479023,0.014500456325906602,8
Released,55-64,14143,82400.0,10585.629425888572,0.12840000763123233,82400.0,True,passes conservative screen,86.1,2.2814002928593076,0.0264991474717606,8
Released,65-74,10519,67100.0,13260.618002849285,0.1976526018293291,67100.0,True,passes conservative screen,78.3,3.914601736202309,0.050016487384690216,8
Released,75+,6413,42500.0,9676.620007143352,0.22794049009997525,42500.0,True,passes conservative screen,70.0,4.05814397055217,0.0579569367369746,8
Escalated,0-4,1098,,1264.3816679939239,0.377015332245661,,False,"CV bound outside [0, 0.33]",,1.3000989451531286,0.17688126857178593,8
Escalated,5-9,1804,4400.0,846.9533414994831,0.19033162508674814,4400.0,True,passes conservative screen,2.4,0.34702951646659863,0.14253701617496714,8
Escalated,10-14,4238,10700.0,1743.541457602263,0.16328409366745264,10700.0,True,passes conservative screen,1.9,0.23573397904048163,0.12100635949346315,8
Escalated,15-17,2650,8800.0,1459.2973226877657,0.16656107318850463,8800.0,True,passes conservative screen,2.3,0.2711340128806795,0.119530240820005,8
Escalated,18-24,1852,8400.0,1241.1943962177093,0.14791975170865282,8400.0,True,passes conservative screen,2.8,0.3163109041965818,0.11429285387777682,8
Escalated,25-34,1841,9000.0,1394.0492838220027,0.1555416839915598,9000.0,True,passes conservative screen,3.8,0.4366633355354483,0.11609517413504268,8
Escalated,35-44,1495,7800.0,1443.9915333192512,0.18439640987525072,7800.0,True,passes conservative screen,5.0,0.7005812496335063,0.14106967897759018,8
Escalated,45-54,1714,9700.0,2058.5218549878946,0.21146287579489345,9700.0,True,passes conservative screen,8.5,1.3272476749479023,0.15672652309277363,8
Escalated,55-64,2212,13300.0,3635.525772930482,0.2729999433310789,13300.0,True,passes conservative screen,13.9,2.2814002928593076,0.1640509947287794,8
Escalated,65-74,2774,,7228.569217785765,0.38799879490374867,,False,"CV bound outside [0, 0.33]",,3.9146017362023082,0.18011606484961348,8
Escalated,75+,2770,,6863.674992704513,0.3776110680351538,,False,"CV bound outside [0, 0.33]",,4.058143970552169,0.13536164919200597,8
