Age_Display,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
0,525,1200.0,325.3914923285802,0.2692971737901288,1200.0,True,passes conservative screen,0.1,0.012674297183749177,0.24030405785293588,10
1,2223,5900.0,1504.4296863979778,0.2562320722135578,5900.0,True,passes conservative screen,0.3,0.04927884200979373,0.19227981897899718,10
2,3767,10600.0,2604.1528260452374,0.2447348185731618,10600.0,True,passes conservative screen,0.5,0.08289374022242915,0.17846894067808028,10
3,4413,12800.0,3344.202095002694,0.26118655181408484,12800.0,True,passes conservative screen,0.6,0.10719918040050368,0.19180564234303252,10
4,4978,13900.0,3173.0086019324126,0.2276657935920548,13900.0,True,passes conservative screen,0.6,0.09537625507994106,0.15677558011810389,10
5,6948,19700.0,4353.687590898219,0.2211526836891527,19700.0,True,passes conservative screen,0.9,0.12873162193732474,0.14980689736486308,10
6,9442,25600.0,5324.977416115,0.208065581240973,25600.0,True,passes conservative screen,1.1,0.15144768829509564,0.13556785947068814,10
7,12408,34300.0,6554.046641264072,0.19093178490766083,34300.0,True,passes conservative screen,1.5,0.17786794022834587,0.11870745581992836,10
8,16335,45900.0,7902.535453795985,0.1720380109248296,45900.0,True,passes conservative screen,2.0,0.19768614500994733,0.09859293805195675,10
9,21353,59800.0,9608.443206290529,0.16055846958709322,59800.0,True,passes conservative screen,2.6,0.22709499050915075,0.08693594175957042,10
10,27011,76300.0,11629.986598417618,0.15241873694810826,76300.0,True,passes conservative screen,3.3,0.2608524912463847,0.07831875036797976,10
11,33164,94300.0,12633.007423532972,0.13390236769536862,94300.0,True,passes conservative screen,4.1,0.25861770805889345,0.06279880506243864,10
12,39480,113100.0,14005.80762473506,0.12387676631912392,113100.0,True,passes conservative screen,4.9,0.27019572479249443,0.05474844551540546,10
13,45687,133100.0,15883.448758689014,0.11934164876037458,133100.0,True,passes conservative screen,5.8,0.3122639291942093,0.05375027168822365,10
