Body_Region,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Head/face,0-4,7671,23000.0,5473.675728730612,0.23796486805178488,23000.0,True,passes conservative screen,51.7,2.0479952257664746,0.039586371668060935,10
Head/face,5-9,25809,74300.0,14764.291323931315,0.19883157968762924,74300.0,True,passes conservative screen,40.1,1.4480366077423767,0.036151445437530086,10
Head/face,10-14,44334,127400.0,16470.93555828962,0.12930618454554754,127400.0,True,passes conservative screen,22.7,0.731498829528145,0.032248681070085564,10
Head/face,15-17,28120,89800.0,10407.438612833988,0.1158848337881087,89800.0,True,passes conservative screen,22.7,0.7135360276195586,0.031489027882739,10
Head/face,18-24,15455,65200.0,7390.020380191747,0.1132665325602653,65200.0,True,passes conservative screen,20.6,0.7271699260317853,0.03536544873129569,10
Head/face,25-34,8760,37100.0,3863.6588165748462,0.10401033775343395,37100.0,True,passes conservative screen,15.1,0.6413170221176967,0.042493155633131004,10
Head/face,35-44,4938,22200.0,2438.748872887606,0.10995812940329644,22200.0,True,passes conservative screen,13.5,0.6746881391887056,0.05009155140023808,10
Head/face,45-54,3447,15400.0,2012.0097863533072,0.1305748276799698,15400.0,True,passes conservative screen,13.1,0.9159765992598135,0.06994517660002669,10
Head/face,55-64,2778,12900.0,1787.7617645194696,0.1385718905186465,12900.0,True,passes conservative screen,12.8,0.951330986965051,0.07405181315560282,10
Head/face,65-74,2795,14000.0,2642.447045381731,0.18834242938572462,14000.0,True,passes conservative screen,15.3,1.2457664997101905,0.08121925744479543,10
Head/face,75+,2588,12800.0,3090.2939496058907,0.241026085503841,12800.0,True,passes conservative screen,19.6,1.659513735167303,0.08480424657577171,10
Neck,0-4,141,,130.99308158366324,0.4132783750817434,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.2808220172273617,0.39392038494424997,10
Neck,5-9,1195,3100.0,650.1732220475816,0.21216961165536388,3100.0,True,passes conservative screen,1.7,0.21162094845950746,0.12802244795287918,10
Neck,10-14,3177,8400.0,1176.1525366269611,0.14029793592138845,8400.0,True,passes conservative screen,1.5,0.14680938738244634,0.09834193541550987,10
Neck,15-17,2074,6700.0,971.5489370431296,0.14603782298572335,6700.0,True,passes conservative screen,1.7,0.1944401941783882,0.11583700450033849,10
Neck,18-24,1223,5000.0,686.1192015450999,0.1378129177672544,5000.0,True,passes conservative screen,1.6,0.168079515925037,0.1071253951636262,10
Neck,25-34,1212,5100.0,750.6638843707967,0.14696996413977606,5100.0,True,passes conservative screen,2.1,0.22957489136338569,0.11063076935402359,10
Neck,35-44,826,3800.0,594.8623339969821,0.15679422896941594,3800.0,True,passes conservative screen,2.3,0.28912734385477434,0.12548849629349834,10
Neck,45-54,588,2700.0,524.3049694121016,0.1927852264908032,2700.0,True,passes conservative screen,2.3,0.35241858162986445,0.15247287685954317,10
Neck,55-64,394,1700.0,369.17171370543093,0.21329652217260178,1700.0,True,passes conservative screen,1.7,0.31093808210554513,0.18041300012364983,10
Neck,65-74,330,1600.0,401.82699280208266,0.2504009528618549,1600.0,True,passes conservative screen,1.8,0.314878094805094,0.17948154960015125,10
Neck,75+,226,,349.4745622385452,0.3005714647028119,,False,estimate < 1200,,0.40182487948274603,0.2264339247792866,10
Shoulder/upper arm,0-4,315,,301.9716714480275,0.37416016110819333,,False,"estimate < 1200; CV bound outside [0, 0.33]",,0.4921233658523998,0.27111172815690704,10
Shoulder/upper arm,5-9,2565,7000.0,1436.9217207048428,0.20614293692207886,7000.0,True,passes conservative screen,3.8,0.3436048196883666,0.09138353720807554,10
Shoulder/upper arm,10-14,10426,31500.0,3971.942547056276,0.1262659361108174,31500.0,True,passes conservative screen,5.6,0.2765663270057029,0.04937189987088602,10
Shoulder/upper arm,15-17,9062,30600.0,3584.7135688223875,0.11714165397116391,30600.0,True,passes conservative screen,7.7,0.3684810770351559,0.04772354373495845,10
Shoulder/upper arm,18-24,7198,30800.0,3293.91759598387,0.10704658326806898,30800.0,True,passes conservative screen,9.7,0.4866151237328819,0.050180267995324435,10
Shoulder/upper arm,25-34,5095,21800.0,2040.3006215697155,0.09353438481119648,21800.0,True,passes conservative screen,8.9,0.4548524009638742,0.051323480750016026,10
Shoulder/upper arm,35-44,3268,14800.0,1598.9004310668265,0.10784094484497819,14800.0,True,passes conservative screen,9.0,0.5825014697615675,0.06469346845586499,10
Shoulder/upper arm,45-54,2214,10200.0,1223.9213007485828,0.11994620528843963,10200.0,True,passes conservative screen,8.7,0.690870649850795,0.07966614132457543,10
