Diagnosis_Plot,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Strain/sprain,0-4,413,,322.2770171707954,0.2989605238685058,,False,estimate < 1200,,0.5308636319453247,0.21895277968668952,10
Strain/sprain,5-9,8029,24500.0,4643.032416105623,0.18966693462291412,24500.0,True,passes conservative screen,13.2,0.8840652389796483,0.06694953917977449,10
Strain/sprain,10-14,43646,137200.0,17864.160923712236,0.13023077694966204,137200.0,True,passes conservative screen,24.4,1.1495550126128873,0.047060665175994436,10
Strain/sprain,15-17,33460,114000.0,13341.58592352561,0.11704201754652316,114000.0,True,passes conservative screen,28.8,1.294446080500538,0.045006880227839254,10
Strain/sprain,18-24,21084,87100.0,8625.637431668232,0.09898694981549895,87100.0,True,passes conservative screen,27.5,1.338173626274811,0.048728888287790394,10
Strain/sprain,25-34,16445,68300.0,6447.468113600747,0.09435794956765156,68300.0,True,passes conservative screen,27.8,1.444652871623386,0.052038081365690304,10
Strain/sprain,35-44,9802,43000.0,4419.3528182855825,0.10271211295010299,43000.0,True,passes conservative screen,26.1,1.4686570506920211,0.05620623941466056,10
Strain/sprain,45-54,5645,25400.0,3070.7206810382045,0.12107615373334153,25400.0,True,passes conservative screen,21.6,1.6869557634835866,0.07826471646891402,10
Strain/sprain,55-64,3491,16500.0,2804.7219355376433,0.16951651548940036,16500.0,True,passes conservative screen,16.5,1.6030555768278412,0.09729921606242499,10
Strain/sprain,65-74,2359,12400.0,3116.7622466969956,0.25184539115121385,12400.0,True,passes conservative screen,13.5,1.6235741665647045,0.12000047270582445,10
Strain/sprain,75+,1161,6400.0,1918.4114190942807,0.2993211485586036,6400.0,True,passes conservative screen,9.8,1.5171627958660205,0.15509590436721843,10
Fracture,0-4,1611,3500.0,786.778608850116,0.223143472578348,3500.0,True,passes conservative screen,7.9,1.1390594038829447,0.1436352372639277,10
Fracture,5-9,13531,31900.0,5237.599235456031,0.16420337245178068,31900.0,True,passes conservative screen,17.2,0.8952251840853289,0.05203019661493148,10
Fracture,10-14,45737,116000.0,14369.399330391741,0.12385164277153415,116000.0,True,passes conservative screen,20.7,0.6114702965835027,0.029596190570075436,10
Fracture,15-17,19738,57500.0,6318.432501077096,0.10997739205449737,57500.0,True,passes conservative screen,14.5,0.5143895343765148,0.03548516209487092,10
Fracture,18-24,9573,39000.0,4488.60235856964,0.11495763507884248,39000.0,True,passes conservative screen,12.3,0.6322369571493007,0.05137997167308219,10
Fracture,25-34,7436,30200.0,3087.4939811318254,0.10227160619742595,30200.0,True,passes conservative screen,12.3,0.7088902229061871,0.057795818996061704,10
Fracture,35-44,4573,20100.0,2220.1644539146196,0.11038109142101159,20100.0,True,passes conservative screen,12.2,0.8381515511011784,0.06861723877986864,10
Fracture,45-54,3091,13900.0,1764.273347398491,0.1270309427303142,13900.0,True,passes conservative screen,11.8,1.0649505957921839,0.09022297187248673,10
Fracture,55-64,3071,14800.0,2379.05409592531,0.16078702473087123,14800.0,True,passes conservative screen,14.7,1.228401383637592,0.08337302034316775,10
