Activity,Profile_Age,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Basketball,0-4,605,1400.0,324.382381543796,0.23257200548196824,1400.0,True,passes conservative screen,0.4,0.08276064733236724,0.2156699218490709,10
Basketball,5-9,6149,16200.0,2366.2442843043373,0.14647107736830695,16200.0,True,passes conservative screen,4.4,0.42313010805689005,0.09519886030091415,10
Basketball,10-14,38201,107300.0,11812.668598183542,0.11013288562332632,107300.0,True,passes conservative screen,29.5,1.2950884388257358,0.043886803182656246,10
Basketball,15-19,37755,123100.0,12440.004837593242,0.10106364789363344,123100.0,True,passes conservative screen,33.9,0.9137250400149425,0.026980840189757816,10
Basketball,20-24,11388,44800.0,4835.494719602268,0.107838681454359,44800.0,True,passes conservative screen,12.3,0.9624065569392388,0.0780113423809512,10
Basketball,25-29,6386,24500.0,2443.526879085043,0.099859016316298,24500.0,True,passes conservative screen,6.7,0.4876733113506313,0.07243770359080177,10
Basketball,30-34,4181,16300.0,1670.360852904923,0.10229783199509412,16300.0,True,passes conservative screen,4.5,0.4016150451209529,0.08939878625550467,10
Basketball,35-39,2812,11100.0,1171.5362359085473,0.10525371952745913,11100.0,True,passes conservative screen,3.1,0.28490886092162854,0.09303646587808494,10
Basketball,40-44,1716,6800.0,859.9284246468426,0.12625548808134918,6800.0,True,passes conservative screen,1.9,0.20928512893897844,0.11168422956599684,10
Basketball,45-49,1102,4500.0,607.5742600394159,0.13528715048893478,4500.0,True,passes conservative screen,1.2,0.16149618989398468,0.13070282836061975,10
Basketball,50-54,684,2900.0,526.5553502557074,0.1838375104549281,2900.0,True,passes conservative screen,0.8,0.13841027976792575,0.17564021855046597,10
Basketball,55-59,431,1700.0,338.6610719756601,0.20057898592609363,1700.0,True,passes conservative screen,0.5,0.0882736964379437,0.19002773314859836,10
Basketball,60-64,308,1200.0,282.41661277098075,0.22733609578550493,1200.0,True,passes conservative screen,0.3,0.07495407539996224,0.21930015102557324,10
Basketball,65-69,183,,222.79431083097933,0.29437435947462365,,False,estimate < 1200,,0.061168389474884385,0.29375715326423285,10
Basketball,70-74,98,,161.3201187812119,0.37367343949171716,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.04439293226257856,0.37375159160482524,10
Basketball,75-79,62,,126.87756354378061,0.44182901342847725,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.03460004654371194,0.4379369668061994,10
Basketball,80+,54,,116.07843399838649,0.5113262584746223,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.03139934226205603,0.5027274836902345,10
Exercise/fitness,0-4,1870,4800.0,885.080167398513,0.18624151355851828,4800.0,True,passes conservative screen,1.3,0.20806606522742974,0.16127894370424287,10
Exercise/fitness,5-9,3747,10900.0,2013.6447244200092,0.18465162454483922,10900.0,True,passes conservative screen,3.0,0.45579458087227365,0.15396498876855705,10
Exercise/fitness,10-14,6659,21900.0,3350.960371901321,0.1531918254480613,21900.0,True,passes conservative screen,5.9,0.7931007516714516,0.13356024094321037,10
Exercise/fitness,15-19,7428,28500.0,3362.409299307345,0.11808297383750259,28500.0,True,passes conservative screen,7.7,0.5405387273817324,0.06992718599589207,10
Exercise/fitness,20-24,7600,31000.0,3969.731588439353,0.1279605662834328,31000.0,True,passes conservative screen,8.4,0.6512770615679496,0.0773327270844863,10
Exercise/fitness,25-29,7424,30500.0,3609.6013981345072,0.11846115257924104,30500.0,True,passes conservative screen,8.3,0.5573491153417945,0.06737930961751303,10
Exercise/fitness,30-34,6898,28900.0,3346.4590891640064,0.11587831971444562,28900.0,True,passes conservative screen,7.8,0.4990468724578039,0.0636561751861226,10
Exercise/fitness,35-39,6253,26700.0,3060.2662939765423,0.11462357687530489,26700.0,True,passes conservative screen,7.2,0.4514976002908787,0.0622949321456624,10
Exercise/fitness,40-44,5249,23000.0,2600.255388776856,0.1132648288759311,23000.0,True,passes conservative screen,6.2,0.36977301864249806,0.05933306995617535,10
Exercise/fitness,45-49,5015,21900.0,2588.7800655323417,0.11846703170320391,21900.0,True,passes conservative screen,5.9,0.3745027431517584,0.0631305957084202,10
Exercise/fitness,50-54,4991,22100.0,2622.0697742892544,0.11886364818892683,22100.0,True,passes conservative screen,6.0,0.3698132012537257,0.06175466277560487,10
Exercise/fitness,55-59,4954,22100.0,2942.5514918740255,0.13303790882779018,22100.0,True,passes conservative screen,6.0,0.3706174868594867,0.06172481234220957,10
Exercise/fitness,60-64,4600,20900.0,3121.540052595497,0.14901106497028765,20900.0,True,passes conservative screen,5.7,0.3993794467741984,0.07022922096389925,10
Exercise/fitness,65-69,4674,22200.0,3761.520195488402,0.16923318807049342,22200.0,True,passes conservative screen,6.0,0.5370431390503505,0.0890048850657873,10
Exercise/fitness,70-74,3874,19000.0,3650.489900381724,0.19258022952313478,19000.0,True,passes conservative screen,5.1,0.5632977190501359,0.1094664601541402,10
Exercise/fitness,75-79,2912,14400.0,3015.153865402414,0.20962281071201003,14400.0,True,passes conservative screen,3.9,0.5075155500389001,0.12997533542686907,10
Exercise/fitness,80+,4065,19800.0,3987.538675601548,0.20150614310124387,19800.0,True,passes conservative screen,5.4,0.6637869459859178,0.12356475788472836,10
Football,0-4,311,,215.4424858046954,0.3165473850491731,,False,estimate < 1200,,0.07110286475609094,0.290384409446644,10
Football,5-9,9540,23400.0,3584.683205087138,0.1530940801541501,23400.0,True,passes conservative screen,8.4,0.6474769868727908,0.07686183904909448,10
Football,10-14,42713,120600.0,14311.281110230924,0.11864090366812835,120600.0,True,passes conservative screen,43.4,1.2925886031960099,0.0297848264437068,10
Football,15-19,27711,96000.0,10196.56268280918,0.10617066391046903,96000.0,True,passes conservative screen,34.6,0.9021531644303039,0.026110178113014443,10
Football,20-24,3364,13900.0,2024.1617269698654,0.14608801807775795,13900.0,True,passes conservative screen,5.0,0.7129408783517295,0.14302162989269598,10
Football,25-29,2092,8300.0,1026.9438055932608,0.12307315061264225,8300.0,True,passes conservative screen,3.0,0.4073894985795497,0.13570794888941037,10
Football,30-34,1391,5400.0,700.473250131836,0.1286645064822471,5400.0,True,passes conservative screen,2.0,0.28286717224423874,0.14442040892287875,10
Football,35-39,830,3500.0,534.1899574364458,0.15137769166864423,3500.0,True,passes conservative screen,1.3,0.1980381608107385,0.15598895961782333,10
Football,40-44,514,2200.0,414.5150514587155,0.18794037328631716,2200.0,True,passes conservative screen,0.8,0.1445851949613995,0.18221428577744142,10
Football,45-49,284,1300.0,289.3123332801245,0.23080754584216417,1300.0,True,passes conservative screen,0.5,0.10496366944493282,0.2327559962616465,10
Football,50-54,204,,238.89022540211917,0.26222772168234626,,False,estimate < 1200,,0.08641214605056509,0.26365367567172127,10
Football,55-59,143,,209.1590018822222,0.35423693836041614,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.07497574557187095,0.35295301491874476,10
Football,60-64,97,,170.77955910272587,0.388867298231307,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.05982505895667986,0.37864086870639774,10
Football,65-69,63,,141.28846049809925,0.47475932473595694,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.050865573047740566,0.4750830871516507,10
Football,70-74,35,,113.7593575295439,0.6046804933337473,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.040871962848975894,0.6038695637769658,10
Football,75-79,18,,56.47265852033648,0.6381220424722318,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.02136579048376196,0.6710630039833795,10
