Care_Outcome,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Released,0-4,14357,40800.0,9382.79013464741,0.23012906018938498,40800.0,True,passes conservative screen,92.6,1.3294676320209764,0.014353173709306178,10
Released,5-9,63405,178800.0,32321.791555407013,0.18075680204071504,178800.0,True,passes conservative screen,97.5,0.3693762592220917,0.0037902418139178994,10
Released,10-14,185731,545500.0,68092.90913077588,0.12483410719682496,545500.0,True,passes conservative screen,98.0,0.24892403268897867,0.002539690439541759,10
Released,15-17,117325,383900.0,42478.79744631691,0.11064577302615929,383900.0,True,passes conservative screen,97.7,0.27323313247495745,0.0027962770213721296,10
Released,18-24,72700,302500.0,29858.836755997057,0.0987158281909606,302500.0,True,passes conservative screen,97.1,0.3422664511425502,0.0035262820537445626,10
Released,25-34,54843,231300.0,20578.192989630475,0.08897416091628417,231300.0,True,passes conservative screen,96.1,0.4509541987907219,0.004691535226058894,10
Released,35-44,34374,153600.0,13994.859268832039,0.09111099045963879,153600.0,True,passes conservative screen,95.1,0.6651307363811098,0.006996101223511858,10
Released,45-54,23164,105700.0,10753.13028835968,0.10170042329314934,105700.0,True,passes conservative screen,91.5,1.2951385698306517,0.014153089888132112,10
Released,55-64,17951,85300.0,10790.314130273275,0.12649230571724973,85300.0,True,passes conservative screen,86.3,2.2234274494572976,0.025750588085696295,10
Released,65-74,13939,71400.0,13093.874570771924,0.18351374244453816,71400.0,True,passes conservative screen,78.9,3.7332669936511924,0.047314279980358115,10
Released,75+,8740,45700.0,9789.521546145641,0.21438941224509417,45700.0,True,passes conservative screen,70.4,4.044970446081637,0.05749096300464509,10
Escalated,0-4,1333,,1201.7985032939087,0.3702193357278799,,False,"CV bound outside [0, 0.33]",,1.3294676320209764,0.18027517176576563,10
Escalated,5-9,2267,4700.0,894.9747917274233,0.19162193192199187,4700.0,True,passes conservative screen,2.5,0.3693762592220931,0.14511159171342375,10
Escalated,10-14,5407,11100.0,1780.8912924076049,0.161091812866322,11100.0,True,passes conservative screen,2.0,0.24892403268897914,0.12530992554040624,10
Escalated,15-17,3389,9000.0,1462.9463011963767,0.1628219820567014,9000.0,True,passes conservative screen,2.3,0.27323313247495745,0.1194819307899693,10
Escalated,18-24,2403,9200.0,1367.9188775861978,0.14938441704337307,9200.0,True,passes conservative screen,2.9,0.3422664511425503,0.11647912286381361,10
Escalated,25-34,2336,9300.0,1441.985884498171,0.15448803772288663,9300.0,True,passes conservative screen,3.9,0.4509541987907217,0.1162497865553997,10
Escalated,35-44,1871,8000.0,1405.9528028694647,0.17657144395792093,8000.0,True,passes conservative screen,4.9,0.6651307363811096,0.134959536768716,10
Escalated,45-54,2144,9800.0,2020.369001772425,0.2059383415113017,9800.0,True,passes conservative screen,8.5,1.295138569830652,0.15253514759784936,10
Escalated,55-64,2831,13500.0,3572.9785147410416,0.26484744597837107,13500.0,True,passes conservative screen,13.7,2.223427449457297,0.16282553562327365,10
Escalated,65-74,3645,,6878.713665151399,0.36057540414809475,,False,"CV bound outside [0, 0.33]",,3.7332669936511937,0.1769622726224831,10
Escalated,75+,3762,,6954.763102188088,0.3615246345823164,,False,"CV bound outside [0, 0.33]",,4.04497044608164,0.13646248349114878,10
