Age_Display,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
0,516,1300.0,363.19880722951694,0.2703833882499547,1300.0,True,passes conservative screen,0.1,0.013093570658499878,0.23765584135855683,9
1,2193,6400.0,1538.5088482728868,0.2412754077074142,6400.0,True,passes conservative screen,0.3,0.04692646773526795,0.17942614636755594,9
2,3633,11400.0,2652.1720998922738,0.2323090538432496,11400.0,True,passes conservative screen,0.5,0.07902002777627212,0.16875490959244488,9
3,4273,13700.0,3400.0654148658,0.24757148961540265,13700.0,True,passes conservative screen,0.6,0.10160162201427089,0.18037186804406352,9
4,4817,14900.0,3225.7241422486068,0.2169858083318963,14900.0,True,passes conservative screen,0.6,0.08990490913474403,0.14744916478453376,9
5,6732,21300.0,4615.034847335367,0.21652385846244288,21300.0,True,passes conservative screen,0.9,0.12825913928866492,0.14671479084778538,9
6,9172,27700.0,5596.502672169637,0.20208114950704278,27700.0,True,passes conservative screen,1.1,0.14892944948134776,0.13111261429919713,9
7,12074,37300.0,6920.45773189297,0.18564180697207672,37300.0,True,passes conservative screen,1.5,0.1751837845996447,0.11457494982510648,9
8,15884,49700.0,8271.434537672067,0.16650165606339873,49700.0,True,passes conservative screen,2.0,0.1926288323270586,0.09453961236103796,9
9,20597,64500.0,9979.532770188112,0.15469443075511027,64500.0,True,passes conservative screen,2.6,0.2202835629674248,0.08325328275050699,9
10,26118,82600.0,12236.678851254894,0.14809159415246193,82600.0,True,passes conservative screen,3.4,0.25395026503094115,0.07493251702911369,9
11,31942,101800.0,13292.213897647887,0.13061117793633306,101800.0,True,passes conservative screen,4.2,0.2542877756433468,0.06092047943314905,9
12,37891,121600.0,14666.963547254172,0.1205972817811147,121600.0,True,passes conservative screen,5.0,0.2635424198817048,0.052832679903196025,9
13,43887,143300.0,16829.639771663715,0.11744645727547118,143300.0,True,passes conservative screen,5.9,0.30884007612204845,0.0525476811794162,9
14,45829,155400.0,17572.76075354613,0.11307039913165418,155400.0,True,passes conservative screen,6.4,0.30314062057961083,0.04755627929215194,9
15,43887,154600.0,17767.563259023413,0.1149623895169373,154600.0,True,passes conservative screen,6.3,0.2960046574451215,0.04669616995144174,9
16,39290,141900.0,15623.171492422922,0.1100790163700773,141900.0,True,passes conservative screen,5.8,0.23349232322233984,0.040110931829024095,9
17,33184,125900.0,13063.87476910149,0.10372807282149482,125900.0,True,passes conservative screen,5.2,0.20112202780786878,0.03893487138449788,9
18,17662,77200.0,7132.0150355089445,0.0923796102030078,77200.0,True,passes conservative screen,3.2,0.16115791031764679,0.050894436171053506,9
19,11989,55800.0,6437.602826098013,0.1152702075362179,55800.0,True,passes conservative screen,2.3,0.211491118513868,0.09232936206527065,9
20,10781,50900.0,6230.224090341773,0.12251839956981662,50900.0,True,passes conservative screen,2.1,0.20900765932190613,0.1002108287172991,9
21,9404,45200.0,5409.7032997118595,0.11972509432998088,45200.0,True,passes conservative screen,1.9,0.18362293429617793,0.09908170453155962,9
22,8201,38600.0,4056.2815319133006,0.10521529721249744,38600.0,True,passes conservative screen,1.6,0.13760119188395667,0.0870217467719811,9
23,7497,34700.0,3434.418864646835,0.09909317017224005,34700.0,True,passes conservative screen,1.4,0.12374284150683608,0.08704931355377817,9
24,7120,32700.0,3104.2565659530724,0.09495459318761273,32700.0,True,passes conservative screen,1.3,0.11005395368875572,0.08207649896370461,9
25,6662,30800.0,3059.0252333402477,0.09921732901938016,30800.0,True,passes conservative screen,1.3,0.10226148827699702,0.08086701000922017,9
26,6223,28600.0,2748.4279749110483,0.09603932138559627,28600.0,True,passes conservative screen,1.2,0.09744180775435216,0.08301658411224351,9
27,6121,27900.0,2700.101428388247,0.09661608011243022,27900.0,True,passes conservative screen,1.1,0.09437798619735649,0.08233696334405269,9
28,5913,27600.0,2761.242830827593,0.10016718907046483,27600.0,True,passes conservative screen,1.1,0.09485808992094782,0.08389770198993457,9
29,5533,25700.0,2621.0242472928458,0.1020726723687168,25700.0,True,passes conservative screen,1.1,0.08677857786175686,0.08239593376843678,9
30,5334,25000.0,2612.433531654969,0.10443795287958656,25000.0,True,passes conservative screen,1.0,0.0869999825738628,0.08479828546676589,9
31,5103,24100.0,2453.744669739398,0.10194941850886652,24100.0,True,passes conservative screen,1.0,0.08620864362127001,0.08732950543027775,9
32,5072,24300.0,2502.359978852412,0.10313018422160393,24300.0,True,passes conservative screen,1.0,0.08673241240845629,0.08715097273058073,9
33,4744,22700.0,2235.599831998766,0.09843923167615616,22700.0,True,passes conservative screen,0.9,0.07908947243205862,0.0849078082262965,9
34,4494,21900.0,2205.1363398730364,0.10074637830346742,21900.0,True,passes conservative screen,0.9,0.07230660175680488,0.08054280536819629,9
