Body_Region,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Head/face,0-4,7574,25000.0,5615.1571480601215,0.22475366339237482,25000.0,True,passes conservative screen,52.3,1.9600052583735035,0.03744979113669061,9
Head/face,5-9,25123,80200.0,15404.914591907485,0.19198512731066922,80200.0,True,passes conservative screen,40.0,1.392920860505972,0.0348014580573258,9
Head/face,10-14,42889,138100.0,17389.855625688167,0.12591256686410415,138100.0,True,passes conservative screen,22.8,0.7249490713437966,0.03174248965375676,9
Head/face,15-17,27012,96400.0,10971.513411089569,0.11383041034427537,96400.0,True,passes conservative screen,22.8,0.6990512503303387,0.030637036439878907,9
Head/face,18-24,14759,69200.0,7756.895900185655,0.11215754168484471,69200.0,True,passes conservative screen,20.6,0.6992729585813713,0.03387027195062236,9
Head/face,25-34,8332,39300.0,4075.472863951323,0.10368422572691086,39300.0,True,passes conservative screen,15.2,0.6409751483765186,0.04216769326461595,9
Head/face,35-44,4702,23700.0,2577.411872541824,0.10889017958754946,23700.0,True,passes conservative screen,13.6,0.6618079992790953,0.048628313312896854,9
Head/face,45-54,3309,16500.0,2141.0198550833043,0.12984544835331233,16500.0,True,passes conservative screen,13.3,0.8997729442935266,0.06770304414591254,9
Head/face,55-64,2646,13800.0,1869.3607809834295,0.13582688194531534,13800.0,True,passes conservative screen,13.1,0.8811096713560921,0.06735147097816138,9
Head/face,65-74,2700,15000.0,2729.801794931562,0.18153554852569004,15000.0,True,passes conservative screen,15.6,1.2427136312251545,0.07976403200562059,9
Head/face,75+,2487,13700.0,3170.121139520096,0.23139972355140884,13700.0,True,passes conservative screen,19.7,1.6551128312096546,0.08392887606799329,9
Neck,0-4,135,,139.94047453736312,0.4057485491335543,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.2755029364774313,0.3813178755161382,9
Neck,5-9,1173,3400.0,677.6442787348042,0.20226751560363487,3400.0,True,passes conservative screen,1.7,0.209536088570868,0.12538509195980838,9
Neck,10-14,3060,9100.0,1241.21023840537,0.13712785419249704,9100.0,True,passes conservative screen,1.5,0.1423816674404056,0.09512502702635403,9
Neck,15-17,1978,7100.0,1034.470166965902,0.14495582936229554,7100.0,True,passes conservative screen,1.7,0.19162184331613627,0.11342497735719263,9
Neck,18-24,1147,5200.0,708.5875778441894,0.1366329323182174,5200.0,True,passes conservative screen,1.5,0.16473862347261486,0.10641153752281451,9
Neck,25-34,1161,5400.0,787.9411808105493,0.1452284061298561,5400.0,True,passes conservative screen,2.1,0.22506054769914574,0.10726575969301831,9
Neck,35-44,789,4100.0,621.5408152750088,0.15346071564694938,4100.0,True,passes conservative screen,2.3,0.282941068962995,0.12149988326777106,9
Neck,45-54,559,2900.0,548.3753317549714,0.19138110365635366,2900.0,True,passes conservative screen,2.3,0.34856927251890646,0.1509313565668844,9
Neck,55-64,374,1800.0,384.9491950694962,0.20899479423438866,1800.0,True,passes conservative screen,1.8,0.307078045749486,0.17539020421796753,9
Neck,65-74,319,1700.0,407.05791112074513,0.23506146365100797,1700.0,True,passes conservative screen,1.8,0.31202702564943685,0.17390934438010022,9
Neck,75+,218,1300.0,352.97164779005897,0.2822259121833538,1300.0,True,passes conservative screen,1.8,0.4074845055483759,0.22634191537148068,9
