Diagnosis_Plot,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Strain/sprain,0-4,404,,328.43690649805166,0.2883695359042813,,False,estimate < 1200,,0.5143719560144061,0.21558672108923507,9
Strain/sprain,5-9,7761,26400.0,4870.27417131558,0.18443797131640602,26400.0,True,passes conservative screen,13.2,0.8762813721993107,0.06652780762717594,9
Strain/sprain,10-14,41830,146900.0,18709.675027709927,0.1273537748824009,146900.0,True,passes conservative screen,24.3,1.1458496378579117,0.04716649425783084,9
Strain/sprain,15-17,31805,121100.0,13961.393931141618,0.11528699086708084,121100.0,True,passes conservative screen,28.7,1.2954690449254476,0.04518814729458045,9
Strain/sprain,18-24,19873,91500.0,8959.353630652562,0.09795725875731774,91500.0,True,passes conservative screen,27.3,1.3264447811448563,0.04858257736632448,9
Strain/sprain,25-34,15365,71300.0,6700.766727758815,0.09400789637519841,71300.0,True,passes conservative screen,27.6,1.4400696483901954,0.05224290303721458,9
Strain/sprain,35-44,9142,45000.0,4600.484829201889,0.10230425136816743,45000.0,True,passes conservative screen,25.9,1.4557052460906295,0.05630096394343355,9
Strain/sprain,45-54,5223,26200.0,3121.9114798561413,0.1190307136709983,26200.0,True,passes conservative screen,21.1,1.66220258589778,0.07863060862731465,9
Strain/sprain,55-64,3227,17100.0,2841.4127572803045,0.16645009026236587,17100.0,True,passes conservative screen,16.2,1.5892006609939884,0.09793838967300274,9
Strain/sprain,65-74,2175,12700.0,3042.218320001661,0.2396361455324725,12700.0,True,passes conservative screen,13.2,1.5538546099761008,0.11813478601206785,9
Strain/sprain,75+,1070,6600.0,1848.3012953419109,0.279338966019704,6600.0,True,passes conservative screen,9.5,1.415535445410644,0.14861968149891946,9
Fracture,0-4,1511,3700.0,776.5450554908798,0.21123105337517661,3700.0,True,passes conservative screen,7.7,1.1058853503804777,0.14359803938225896,9
Fracture,5-9,12976,34200.0,5447.113675198714,0.15921606651269232,34200.0,True,passes conservative screen,17.1,0.8632148189686338,0.05058270438809803,9
Fracture,10-14,43457,123900.0,14941.272557148124,0.12061920384806246,123900.0,True,passes conservative screen,20.5,0.5954649414729394,0.029070028272836248,9
Fracture,15-17,18592,60600.0,6549.085000813832,0.10808009172505167,60600.0,True,passes conservative screen,14.3,0.5009520752058573,0.03492265315070211,9
Fracture,18-24,9013,41000.0,4692.992650606012,0.11441071664493088,41000.0,True,passes conservative screen,12.2,0.633710803186984,0.0517534580567746,9
Fracture,25-34,6985,31700.0,3226.4836476737887,0.10190909524733416,31700.0,True,passes conservative screen,12.2,0.7126496572425803,0.05820543342926223,9
Fracture,35-44,4297,21200.0,2355.4570625453634,0.11114373319938235,21200.0,True,passes conservative screen,12.2,0.8389142398402969,0.06884615006479736,9
Fracture,45-54,2922,14700.0,1844.1012591313229,0.12505415302243866,14700.0,True,passes conservative screen,11.9,1.0443705430190868,0.08786930663726783,9
Fracture,55-64,2893,15500.0,2428.06956652209,0.15662908803967995,15500.0,True,passes conservative screen,14.7,1.2143446490526713,0.08240959317023541,9
Fracture,65-74,2588,14700.0,2919.5511061502057,0.19906419394463248,14700.0,True,passes conservative screen,15.2,1.4393828224095957,0.09472374357622805,9
Fracture,75+,1906,10800.0,2406.961915622438,0.22196732760973525,10800.0,True,passes conservative screen,15.6,1.6722051309099109,0.1071287926806853,9
Contusion/abrasion,0-4,1693,5300.0,1084.4736195882338,0.20373387549078853,5300.0,True,passes conservative screen,11.2,1.3446269298739693,0.12058501971366427,9
Contusion/abrasion,5-9,7260,24000.0,4260.143376498065,0.1776107572137422,24000.0,True,passes conservative screen,12.0,0.7976158847403001,0.06666556291910566,9
Contusion/abrasion,10-14,19573,70300.0,9156.449171865966,0.13017006336078535,70300.0,True,passes conservative screen,11.6,0.6306445851519238,0.05421620142107101,9
Contusion/abrasion,15-17,11102,44100.0,5313.308081489896,0.12047987471355959,44100.0,True,passes conservative screen,10.4,0.6216062881251425,0.059540281166891404,9
Contusion/abrasion,18-24,5479,26800.0,2773.9720217364097,0.10341945196658504,26800.0,True,passes conservative screen,8.0,0.5192031421210921,0.06484386586279935,9
Contusion/abrasion,25-34,3981,20300.0,2035.9221897814027,0.10039678028103288,20300.0,True,passes conservative screen,7.8,0.5529577229638116,0.07051061569185055,9
Contusion/abrasion,35-44,2412,12700.0,1435.2444246118266,0.11337212618892911,12700.0,True,passes conservative screen,7.3,0.604245381280483,0.08301299198368083,9
Contusion/abrasion,45-54,1665,8900.0,1115.2247866196458,0.12549084212933173,8900.0,True,passes conservative screen,7.2,0.6822913727366141,0.09525520830950034,9
Contusion/abrasion,55-64,1262,7000.0,1090.3169719103016,0.1566094921011201,7000.0,True,passes conservative screen,6.6,0.8191289440008637,0.1237776102852042,9
Contusion/abrasion,65-74,1036,5900.0,1158.2720596509898,0.1949642492931505,5900.0,True,passes conservative screen,6.2,0.7889254243806382,0.12816983460629355,9
Contusion/abrasion,75+,898,5300.0,1281.1677272176107,0.24001096485159562,5300.0,True,passes conservative screen,7.7,1.079227070779892,0.14045420542854037,9
Laceration/open wound,0-4,2915,9900.0,2055.37547336057,0.20665657939561582,9900.0,True,passes conservative screen,20.8,1.5805089639351337,0.07585816436800645,9
Laceration/open wound,5-9,7886,26000.0,4321.605866769022,0.16590980842113678,26000.0,True,passes conservative screen,13.0,0.7909733943392845,0.06087675393257191,9
Laceration/open wound,10-14,8512,29700.0,3667.056286435723,0.1234930720629436,29700.0,True,passes conservative screen,4.9,0.26690094135152664,0.0543545008104111,9
Laceration/open wound,15-17,6406,25000.0,3036.167983113617,0.12125439933847924,25000.0,True,passes conservative screen,5.9,0.32046485741187986,0.05406274496829532,9
Laceration/open wound,18-24,5784,28400.0,3556.1555770227014,0.12524568952725748,28400.0,True,passes conservative screen,8.5,0.48957523700950983,0.057760761399052465,9
Laceration/open wound,25-34,3667,17700.0,1997.5750072122496,0.11264353184811216,17700.0,True,passes conservative screen,6.9,0.46217502893165835,0.06739281694896122,9
Laceration/open wound,35-44,2103,11000.0,1413.9843891518344,0.12847570667591818,11000.0,True,passes conservative screen,6.3,0.5567002393171961,0.08797314399551488,9
Laceration/open wound,45-54,1432,7700.0,1158.0326813435122,0.15044614984504162,7700.0,True,passes conservative screen,6.2,0.6222822479128263,0.10030368871545622,9
Laceration/open wound,55-64,1169,6700.0,1089.0317984636451,0.16316601741699527,6700.0,True,passes conservative screen,6.3,0.7059511436390463,0.11127261938594757,9
Laceration/open wound,65-74,1019,6200.0,1170.2711743960883,0.18907653414585104,6200.0,True,passes conservative screen,6.4,0.9144971304197459,0.14260637561855352,9
Laceration/open wound,75+,850,4900.0,1027.0831158936087,0.2093117307589601,4900.0,True,passes conservative screen,7.1,1.0966981246458167,0.15526440517914047,9
Internal injury,0-4,1757,4900.0,1006.4767741903472,0.2059200533711158,4900.0,True,passes conservative screen,10.2,1.4054348709309812,0.13726281739505394,9
Internal injury,5-9,5919,17600.0,3237.575235898572,0.1841251949124059,17600.0,True,passes conservative screen,8.8,0.7200631030852845,0.08209687267092335,9
Internal injury,10-14,12106,39700.0,5659.233237166746,0.14246347213461938,39700.0,True,passes conservative screen,6.6,0.48582844341677467,0.07395869796729107,9
Internal injury,15-17,6958,26500.0,3912.4644062451166,0.14746276998318367,26500.0,True,passes conservative screen,6.3,0.49383804053754293,0.07862533374344076,9
Internal injury,18-24,3247,15600.0,2054.1208761866737,0.13130374187123336,15600.0,True,passes conservative screen,4.7,0.36165757622618294,0.07744263202167673,9
Internal injury,25-34,1724,8200.0,1137.4302969606763,0.13946585241981735,8200.0,True,passes conservative screen,3.2,0.30226335559827167,0.09583685697423558,9
Internal injury,35-44,1035,5200.0,759.3080580377854,0.14527637586064251,5200.0,True,passes conservative screen,3.0,0.33032435216202194,0.10991827014015132,9
Internal injury,45-54,898,4300.0,806.1657635101549,0.1862883083917446,4300.0,True,passes conservative screen,3.5,0.4935994899030337,0.14151588174993238,9
Internal injury,55-64,928,4700.0,823.8587050325245,0.17438164614009477,4700.0,True,passes conservative screen,4.5,0.5307305078967708,0.118180712485929,9
Internal injury,65-74,1163,6400.0,1471.5695646324812,0.22931106624884492,6400.0,True,passes conservative screen,6.6,0.800348223786144,0.12037288577343275,9
Internal injury,75+,1257,6800.0,1840.6911413186017,0.272045982048032,6800.0,True,passes conservative screen,9.7,1.1219586062885636,0.11519537749989904,9
All other diagnoses,0-4,7152,22800.0,6302.888014531898,0.2768752001671386,22800.0,True,passes conservative screen,47.7,3.129487511734929,0.06562434605053152,9
All other diagnoses,5-9,22657,72200.0,14277.411869974945,0.1976366324944989,72200.0,True,passes conservative screen,36.0,1.7869490113360174,0.04958985333594447,9
All other diagnoses,10-14,60189,194200.0,26143.611917948438,0.13463233464160085,194200.0,True,passes conservative screen,32.1,1.474644642396239,0.04592313771631051,9
All other diagnoses,15-17,41498,145100.0,16977.974084946844,0.11704687795868951,145100.0,True,passes conservative screen,34.3,1.5017846876710632,0.04373484712652635,9
All other diagnoses,18-24,29258,131600.0,14268.941281677626,0.1083862621843639,131600.0,True,passes conservative screen,39.3,1.5734363355382128,0.040037144444267925,9
All other diagnoses,25-34,23477,109500.0,11293.861432039863,0.10316079464194527,109500.0,True,passes conservative screen,42.3,1.6608339928893692,0.0392285647040104,9
All other diagnoses,35-44,16006,78900.0,8209.217419289309,0.10408874983907787,78900.0,True,passes conservative screen,45.3,1.8315884882597844,0.04039078040298853,9
All other diagnoses,45-54,12160,62200.0,7321.223864164673,0.11773341954591657,62200.0,True,passes conservative screen,50.1,2.060092353428198,0.0411028553366077,9
All other diagnoses,55-64,10411,54300.0,7920.031462199218,0.14594136921080092,54300.0,True,passes conservative screen,51.6,2.205855317482525,0.04276151132804209,9
All other diagnoses,65-74,8927,50600.0,11502.97562574024,0.22729501267830357,50600.0,True,passes conservative screen,52.4,2.6065218999979614,0.0497103196024567,9
All other diagnoses,75+,6076,35000.0,9443.270871808301,0.2698197039424232,35000.0,True,passes conservative screen,50.4,2.8072088842861507,0.05572149603732614,9
