Activity,Profile_Age,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Basketball,0-4,588,1500.0,333.1148985738341,0.22331673810122707,1500.0,True,passes conservative screen,0.4,0.07963946967639414,0.20541375459613184,9
Basketball,5-9,5940,17500.0,2526.831015724356,0.14472339501546755,17500.0,True,passes conservative screen,4.5,0.425478363897037,0.09375921578474053,9
Basketball,10-14,36376,114700.0,12555.006933304006,0.10947499079197448,114700.0,True,passes conservative screen,29.8,1.298404290412069,0.043559395590237304,9
Basketball,15-19,35623,129700.0,13008.396751229615,0.10025895502644551,129700.0,True,passes conservative screen,33.7,0.8845723374945972,0.02623050767162628,9
Basketball,20-24,10737,47200.0,5062.737140216482,0.10736039586810368,47200.0,True,passes conservative screen,12.3,0.9531153726573856,0.07776391949493665,9
Basketball,25-29,5999,25600.0,2557.708575929586,0.09999144994964776,25600.0,True,passes conservative screen,6.6,0.4845418227658301,0.07288145223337024,9
Basketball,30-34,3960,17200.0,1753.0000146657774,0.10177024526103826,17200.0,True,passes conservative screen,4.5,0.39540652813549887,0.08831951578210799,9
Basketball,35-39,2665,11700.0,1227.1161045739686,0.10472535304431552,11700.0,True,passes conservative screen,3.0,0.2807597832482604,0.0921881327407117,9
Basketball,40-44,1622,7100.0,901.0501387245658,0.1261934567346372,7100.0,True,passes conservative screen,1.9,0.20520559326728913,0.11057348961885424,9
Basketball,45-49,1032,4700.0,623.6357800355175,0.13324299503808607,4700.0,True,passes conservative screen,1.2,0.15644882654949932,0.12860552150502685,9
Basketball,50-54,639,3000.0,550.0231740162703,0.1839679041096231,3000.0,True,passes conservative screen,0.8,0.13592065452205673,0.174912349148176,9
Basketball,55-59,398,1700.0,338.5293345341472,0.1974069685060133,1700.0,True,passes conservative screen,0.4,0.08280570362343004,0.18578060221824472,9
Basketball,60-64,297,1300.0,293.70512489074275,0.22122208671435498,1300.0,True,passes conservative screen,0.3,0.07358797221162618,0.21325427122653248,9
Basketball,65-69,170,,236.6203599024045,0.2917220929473739,,False,estimate < 1200,,0.061218663292679706,0.2903855459611381,9
Basketball,70-74,95,,169.0852197163931,0.3620983144782264,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.04363787368032368,0.359549244527043,9
Basketball,75-79,62,,136.28490903479417,0.4249515224847866,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.035076421925821666,0.4208049589367151,9
Basketball,80+,49,,118.71800365102948,0.5103067637030309,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.030435107104496952,0.5033424014180001,9
Exercise/fitness,0-4,1858,5200.0,939.4134887219352,0.17966392211963259,5200.0,True,passes conservative screen,1.4,0.21038449318081842,0.15580093997619798,9
