Care_Outcome,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Released,0-4,13968,43900.0,9602.369553010421,0.2188583963629081,43900.0,True,passes conservative screen,92.9,1.2482919614066401,0.013440136295644962,9
Released,5-9,61457,193300.0,33858.50098261085,0.17517623605042498,193300.0,True,passes conservative screen,97.4,0.3420505281106317,0.0035104341904082493,9
Released,10-14,178482,587500.0,71749.52488956403,0.12213013555170187,587500.0,True,passes conservative screen,98.0,0.23901669173180257,0.0024381497393725824,9
Released,15-17,111873,409200.0,44580.303685653125,0.10895460755108355,409200.0,True,passes conservative screen,97.7,0.26919076849545853,0.002754559223028287,9
Released,18-24,68871,319300.0,31332.070418299052,0.0981306665434763,319300.0,True,passes conservative screen,97.1,0.3338483436232951,0.003438140733012308,9
Released,25-34,51655,243000.0,21590.245654396895,0.08886640760402983,243000.0,True,passes conservative screen,96.2,0.4466286135065345,0.004645038252714818,9
Released,35-44,32468,162200.0,14788.857795070902,0.09119044450462233,162200.0,True,passes conservative screen,95.1,0.6694215886601577,0.007040463194396392,9
Released,45-54,21808,111500.0,11334.072775930576,0.10162157801068515,111500.0,True,passes conservative screen,91.6,1.2768958008984521,0.013944854531637258,9
Released,55-64,16903,89500.0,11086.883298516172,0.12386392608018215,89500.0,True,passes conservative screen,86.5,2.1878956158922174,0.02529977458518697,9
Released,65-74,13280,75500.0,13352.276685594165,0.17677768862629367,75500.0,True,passes conservative screen,79.2,3.7259743179000644,0.0470686824029443,9
Released,75+,8363,48400.0,9848.220599355218,0.2033057576559649,48400.0,True,passes conservative screen,70.4,4.096051152459033,0.058188039064015505,9
Escalated,0-4,1253,,1194.0388575749614,0.35490259281740466,,False,"CV bound outside [0, 0.33]",,1.24829196140664,0.17527080775896675,9
Escalated,5-9,2193,5100.0,939.13954969094,0.18481130482709932,5100.0,True,passes conservative screen,2.6,0.3420505281106315,0.13352167596020847,9
Escalated,10-14,5122,11800.0,1836.8502143357498,0.15574711002827357,11800.0,True,passes conservative screen,2.0,0.23901669173180254,0.12145148194680848,9
Escalated,15-17,3188,9500.0,1520.535118052321,0.15967151948058494,9500.0,True,passes conservative screen,2.3,0.26919076849545853,0.11835334564986433,9
Escalated,18-24,2240,9500.0,1431.7695269010308,0.1502203926567008,9500.0,True,passes conservative screen,2.9,0.33384834362329513,0.11517647236621514,9
Escalated,25-34,2176,9700.0,1500.9751976055907,0.1543650236828337,9700.0,True,passes conservative screen,3.8,0.44662861350653466,0.11606055479371058,9
Escalated,35-44,1754,8400.0,1500.3596575556392,0.17886418445878308,8400.0,True,passes conservative screen,4.9,0.6694215886601574,0.13611768092906332,9
Escalated,45-54,1995,10300.0,2089.876281826218,0.20347303704727587,10300.0,True,passes conservative screen,8.4,1.2768958008984512,0.151425961830536,9
Escalated,55-64,2621,14000.0,3646.5442167496503,0.2605634072816884,14000.0,True,passes conservative screen,13.5,2.1878956158922174,0.1618129318790895,9
Escalated,65-74,3415,,7040.644186923633,0.35408076782394626,,False,"CV bound outside [0, 0.33]",,3.7259743179000626,0.17879272957739403,9
Escalated,75+,3581,,7204.417195431149,0.3536170385907673,,False,"CV bound outside [0, 0.33]",,4.096051152459031,0.1383490369828452,9
