Age_Display,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
0,1026,2400.0,518.3795587147939,0.2178502784988992,2400.0,True,passes conservative screen,0.1,0.012583447822729833,0.17983820832252104,10
1,8519,21100.0,3707.0633726286733,0.1754733589198878,21100.0,True,passes conservative screen,0.6,0.0691280177354617,0.1112774962065198,10
2,14150,37100.0,6750.854871268205,0.18203326328327973,37100.0,True,passes conservative screen,1.1,0.1263652911736881,0.11587556055426668,10
3,16411,43000.0,7972.302756867514,0.1854732900515815,43000.0,True,passes conservative screen,1.3,0.1469449677901159,0.11625840848129534,10
4,19203,49700.0,8420.669641317767,0.16939930787691368,49700.0,True,passes conservative screen,1.5,0.147006563095618,0.10057123633015816,10
5,25133,65400.0,10845.467316948056,0.16582618304973296,65400.0,True,passes conservative screen,1.9,0.18378430941617768,0.0955620214324429,10
6,28638,75900.0,11825.952746058096,0.15579825896433722,75900.0,True,passes conservative screen,2.2,0.18713591888885095,0.08384085094356031,10
7,30783,83300.0,13003.382433775401,0.1560786142697538,83300.0,True,passes conservative screen,2.4,0.20852628744369262,0.08511771158444563,10
8,33791,93300.0,13945.167436133892,0.14941736565343172,93300.0,True,passes conservative screen,2.7,0.2172463091525064,0.07915927566694514,10
9,38153,107000.0,15494.980765148674,0.14482262596522913,107000.0,True,passes conservative screen,3.1,0.23483026434558946,0.07463997859086592,10
10,42958,122000.0,17190.553611404863,0.14095225626068167,122000.0,True,passes conservative screen,3.6,0.24969941399758988,0.06962604955183845,10
11,47227,135800.0,17218.15696729839,0.1267702493477803,135800.0,True,passes conservative screen,4.0,0.2293532422463855,0.05742587594725671,10
12,51866,150200.0,18068.832503269725,0.12026336512513885,150200.0,True,passes conservative screen,4.4,0.23132267315294142,0.05235926299109462,10
13,56353,165600.0,19550.167957043326,0.11806833662478348,165600.0,True,passes conservative screen,4.9,0.2508996048549995,0.05152938889556975,10
14,56755,173000.0,19642.723506388324,0.11353537372356,173000.0,True,passes conservative screen,5.1,0.23666664383902494,0.046519882074495776,10
15,52953,167200.0,19219.058676136214,0.11492251894768835,167200.0,True,passes conservative screen,4.9,0.22710668040148446,0.046182240208938075,10
16,46918,152200.0,16590.063041116726,0.10903103993660872,152200.0,True,passes conservative screen,4.5,0.1801706981477927,0.04026784072761604,10
17,39685,135300.0,13900.32801168944,0.10272505911688896,135300.0,True,passes conservative screen,4.0,0.15579588568558458,0.03915429408227299,10
18,22687,89500.0,8264.410053070686,0.09230339959632154,89500.0,True,passes conservative screen,2.6,0.13430544439026354,0.05101190241504717,10
19,16212,67900.0,7465.189696166298,0.10987686343446461,67900.0,True,passes conservative screen,2.0,0.18007856595951216,0.09013625121885475,10
20,14660,62000.0,7250.874607628398,0.11695276733550053,62000.0,True,passes conservative screen,1.8,0.17845705870114417,0.09788719892400845,10
21,13014,56100.0,6497.909899288839,0.11589804166441192,56100.0,True,passes conservative screen,1.6,0.1624113210445079,0.09851237154596357,10
22,11500,48300.0,4882.656723120075,0.10100132231796372,48300.0,True,passes conservative screen,1.4,0.12353693533772485,0.08690399739082405,10
23,10622,44100.0,4221.287955665507,0.09580382266421544,44100.0,True,passes conservative screen,1.3,0.11396975401445379,0.08796289883182969,10
24,10247,42000.0,3881.587554890647,0.09243276464222716,42000.0,True,passes conservative screen,1.2,0.10379992908834404,0.08405928190259523,10
25,9993,41500.0,3983.443528465102,0.09595034244145248,41500.0,True,passes conservative screen,1.2,0.10227232454356815,0.0837756978338541,10
26,9366,38600.0,3614.9497099788837,0.0936260463330878,38600.0,True,passes conservative screen,1.1,0.0969861522177401,0.08542327482413133,10
27,9247,38100.0,3644.2867578102146,0.09575036962062071,38100.0,True,passes conservative screen,1.1,0.09426407009369371,0.08422599815360354,10
28,8989,37200.0,3548.418833379288,0.09541699530419377,37200.0,True,passes conservative screen,1.1,0.09277083556565754,0.08483486863946922,10
29,8621,35700.0,3422.1134537841253,0.09586652536689794,35700.0,True,passes conservative screen,1.0,0.08684167956142964,0.08273187368873265,10
30,8329,34800.0,3435.494071159871,0.09865683894139268,34800.0,True,passes conservative screen,1.0,0.0859343485326319,0.0839221969288079,10
31,8150,34500.0,3171.4512853898027,0.09190229173896658,34500.0,True,passes conservative screen,1.0,0.0854378632640512,0.08419586006568358,10
32,8091,34500.0,3328.9847840075754,0.09654237898195368,34500.0,True,passes conservative screen,1.0,0.08959656069156659,0.08836282416063444,10
33,7511,32400.0,3036.554867086842,0.09370626779765,32400.0,True,passes conservative screen,1.0,0.08159663894098565,0.0856311626774144,10
34,7203,31100.0,2975.9594138070943,0.09567383218426574,31100.0,True,passes conservative screen,0.9,0.07480226020251018,0.08178110025132852,10
35,7009,30600.0,2875.941891229496,0.0939469338276895,30600.0,True,passes conservative screen,0.9,0.07763833016668877,0.08624834145716642,10
36,6757,29400.0,2779.925189818166,0.09471066342460455,29400.0,True,passes conservative screen,0.9,0.07072405160828397,0.08194169909296745,10
37,6155,27000.0,2648.466545821891,0.0982731017888693,27000.0,True,passes conservative screen,0.8,0.06723237716104374,0.0848380547635648,10
38,6136,27000.0,2493.919079476301,0.09232328648268728,27000.0,True,passes conservative screen,0.8,0.06571214526668037,0.08272687256229404,10
39,5784,25700.0,2577.1353536332253,0.10016915639919012,25700.0,True,passes conservative screen,0.8,0.06371365053792719,0.08421730494513736,10
40,5475,24200.0,2413.265390661307,0.09966971201017623,24200.0,True,passes conservative screen,0.7,0.06072905016180354,0.08529560815047868,10
41,5300,23400.0,2350.0856912047648,0.10053809496808862,23400.0,True,passes conservative screen,0.7,0.05660721838059653,0.0823551629562186,10
42,5168,22900.0,2282.17754134447,0.09947291135513285,22900.0,True,passes conservative screen,0.7,0.05795094702953247,0.08589897903828907,10
43,4852,21600.0,2218.1150036945264,0.10286948714563629,21600.0,True,passes conservative screen,0.6,0.051855693262368635,0.08178450371215648,10
