Body_Region,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Head/face,0-4,25982,70300.0,11947.61795787003,0.17003393721444754,70300.0,True,passes conservative screen,45.8,1.2041478050279089,0.02626823378402872,10
Head/face,5-9,51759,144800.0,23209.46005021161,0.1603167056539702,144800.0,True,passes conservative screen,34.1,0.7896060611066359,0.02317694801843449,10
Head/face,10-14,57677,165900.0,20427.20467917092,0.12314597419083244,165900.0,True,passes conservative screen,22.2,0.6282464816453984,0.028277456956119437,10
Head/face,15-17,32454,104300.0,11707.048858638496,0.11225279555971698,104300.0,True,passes conservative screen,22.9,0.704544657816206,0.030717977846135017,10
Head/face,18-24,21303,88900.0,9727.484394367391,0.10938775325029694,88900.0,True,passes conservative screen,21.7,0.7073091366824822,0.03260590958703843,10
Head/face,25-34,15264,63400.0,6686.810842053458,0.10548176169337965,63400.0,True,passes conservative screen,17.7,0.7295488553136397,0.04124539684606515,10
Head/face,35-44,9578,41400.0,4328.130456125093,0.10452701139578863,41400.0,True,passes conservative screen,16.4,0.7367393113289055,0.04497670412172573,10
Head/face,45-54,7652,33100.0,3793.035850546689,0.11444312043658302,33100.0,True,passes conservative screen,17.0,0.9368021975479343,0.055015180555218854,10
Head/face,55-64,7022,31300.0,4122.244575848905,0.13182909508528826,31300.0,True,passes conservative screen,17.9,1.0831074612486695,0.060674439769734925,10
Head/face,65-74,5377,26200.0,4807.067637149518,0.18336545246576894,26200.0,True,passes conservative screen,18.7,1.3419788917610853,0.07177144777088659,10
Head/face,75+,3952,19600.0,4656.9347545959,0.23710677565417285,19600.0,True,passes conservative screen,21.8,1.4920007187678772,0.06839936022230089,10
Neck,0-4,576,1400.0,343.16301260797024,0.2478776118055351,1400.0,True,passes conservative screen,0.9,0.1807020726308051,0.20007681049761783,10
Neck,5-9,2654,6800.0,1182.8944764408964,0.17316966921655713,6800.0,True,passes conservative screen,1.6,0.14568582246106748,0.0906306602909114,10
Neck,10-14,4310,11600.0,1557.069144011092,0.13405928294139394,11600.0,True,passes conservative screen,1.6,0.13673476420072728,0.08789556178868878,10
Neck,15-17,2410,7700.0,1096.890300642621,0.14183975058827467,7700.0,True,passes conservative screen,1.7,0.18199299845781058,0.10700986224854231,10
Neck,18-24,1630,6600.0,863.7623567603696,0.13018866322401915,6600.0,True,passes conservative screen,1.6,0.15774695886618498,0.09746726554379555,10
Neck,25-34,1781,7400.0,949.4138015067481,0.12776142884177982,7400.0,True,passes conservative screen,2.1,0.1898378475009934,0.0915566281371566,10
Neck,35-44,1227,5500.0,740.5359414191847,0.1338836021760084,5500.0,True,passes conservative screen,2.2,0.2304374860697195,0.10531251114493842,10
Neck,45-54,995,4400.0,687.2731708346266,0.1556795291264997,4400.0,True,passes conservative screen,2.3,0.27337711930500214,0.12053028403283117,10
Neck,55-64,781,3400.0,554.5048697045276,0.16379983281590546,3400.0,True,passes conservative screen,1.9,0.26568848590818495,0.1374793706036035,10
Neck,65-74,552,2600.0,537.9087060849905,0.20733224098685102,2600.0,True,passes conservative screen,1.9,0.25529861282503585,0.13796707721164764,10
Neck,75+,312,1600.0,412.80752192070395,0.2643397706690029,1600.0,True,passes conservative screen,1.7,0.3528690330051656,0.2034546639060931,10
Shoulder/upper arm,0-4,2582,6600.0,1486.1957654855507,0.22537629782595883,6600.0,True,passes conservative screen,4.3,0.46706403471871427,0.10856890005521096,10
Shoulder/upper arm,5-9,8633,22500.0,4111.545767793201,0.18291113668656597,22500.0,True,passes conservative screen,5.3,0.3544517442221081,0.06700761616218644,10
Shoulder/upper arm,10-14,13650,41400.0,5157.650263997098,0.12443681980122318,41400.0,True,passes conservative screen,5.6,0.24003790268390562,0.04323902016936599,10
Shoulder/upper arm,15-17,10165,34500.0,3944.9932574720638,0.11427516856823562,34500.0,True,passes conservative screen,7.6,0.3391637989301854,0.04467344642890961,10
Shoulder/upper arm,18-24,8969,38600.0,3976.3598630608735,0.10302160078460745,38600.0,True,passes conservative screen,9.4,0.4204199208413442,0.0446523983777597,10
Shoulder/upper arm,25-34,7633,32600.0,2943.8931304124603,0.09039152013872377,32600.0,True,passes conservative screen,9.1,0.3878035002366875,0.0426756499575384,10
Shoulder/upper arm,35-44,5373,24100.0,2362.389355904987,0.0981881243047864,24100.0,True,passes conservative screen,9.5,0.4979240796923619,0.05231379288262596,10
Shoulder/upper arm,45-54,4091,18600.0,1960.1577429420752,0.10519057381136497,18600.0,True,passes conservative screen,9.6,0.5622926669567146,0.058732720784715295,10
Shoulder/upper arm,55-64,3468,15900.0,1942.2879237631273,0.12222576305459672,15900.0,True,passes conservative screen,9.1,0.5763047227477296,0.06352695478530758,10
Shoulder/upper arm,65-74,2205,11200.0,2160.848509984525,0.19284002386237534,11200.0,True,passes conservative screen,8.0,0.7153717159765722,0.08951037184789878,10
Shoulder/upper arm,75+,1099,5800.0,1370.9512717467162,0.23773967584038697,5800.0,True,passes conservative screen,6.4,0.6814975852937077,0.10641017676152352,10
Elbow/forearm,0-4,7373,17000.0,2952.060258197048,0.17327685828675932,17000.0,True,passes conservative screen,11.1,0.7074786537437139,0.06365396746711235,10
Elbow/forearm,5-9,28065,65000.0,10030.943703692104,0.15437720544919145,65000.0,True,passes conservative screen,15.3,0.5690902124670422,0.03721812831621731,10
Elbow/forearm,10-14,25586,65900.0,9135.518216811546,0.1386117929936903,65900.0,True,passes conservative screen,8.8,0.386668791651242,0.04380312764590038,10
Elbow/forearm,15-17,7233,22500.0,2662.2773730971126,0.11814365230994377,22500.0,True,passes conservative screen,5.0,0.2672608958652977,0.05392955953864995,10
Elbow/forearm,18-24,4105,17200.0,1941.6793691671642,0.11258628617893472,17200.0,True,passes conservative screen,4.2,0.26928771292695686,0.06400934859209632,10
Elbow/forearm,25-34,3899,16000.0,1818.6268624824472,0.11357000325135681,16000.0,True,passes conservative screen,4.5,0.2955204082409226,0.06614092802920447,10
Elbow/forearm,35-44,2718,12000.0,1292.8975195696717,0.10811178435851104,12000.0,True,passes conservative screen,4.7,0.3607875723977236,0.07626163206498032,10
Elbow/forearm,45-54,2063,9200.0,1131.8782681464331,0.12352884817587587,9200.0,True,passes conservative screen,4.7,0.4092754195066985,0.08693931840876887,10
Elbow/forearm,55-64,1723,8000.0,1369.588521650425,0.17200044028895334,8000.0,True,passes conservative screen,4.5,0.4709846953589167,0.10361030632419109,10
Elbow/forearm,65-74,1234,6600.0,1643.4389124451386,0.24908595771287442,6600.0,True,passes conservative screen,4.7,0.5204199615635439,0.11059063858175601,10
Elbow/forearm,75+,662,3600.0,966.9311589269291,0.2704474935355382,3600.0,True,passes conservative screen,4.0,0.6386589104093197,0.16084056015868495,10
Wrist/hand,0-4,3860,10700.0,1512.6160714496023,0.141360966104595,10700.0,True,passes conservative screen,7.0,0.6599068562173829,0.09453230008371719,10
Wrist/hand,5-9,21846,65200.0,8331.109302632516,0.1277607077025381,65200.0,True,passes conservative screen,15.3,0.8308187451187129,0.054141812874352886,10
Wrist/hand,10-14,52470,164000.0,18965.47024207816,0.11565924263579311,164000.0,True,passes conservative screen,22.0,0.6712933189930115,0.030565257601884346,10
Wrist/hand,15-17,20842,69700.0,7457.31939235042,0.10696862975187489,69700.0,True,passes conservative screen,15.3,0.5623688810123953,0.036680000358700705,10
Wrist/hand,18-24,12631,52800.0,5247.291706987671,0.09932655912903171,52800.0,True,passes conservative screen,12.9,0.479514636766241,0.0372092523008543,10
