Diagnosis_Plot,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Strain/sprain,0-4,2469,7400.0,1715.0839593952344,0.2323017590927386,7400.0,True,passes conservative screen,4.8,0.5674797354983807,0.11781870941457054,10
Strain/sprain,5-9,15635,48500.0,8254.832770698617,0.17007073925740399,48500.0,True,passes conservative screen,11.4,0.6959065496850537,0.06092622560633638,10
Strain/sprain,10-14,52834,168300.0,21878.19450859939,0.1299833912432754,168300.0,True,passes conservative screen,22.5,1.0708922364025188,0.04750301347549995,10
Strain/sprain,15-17,36555,124700.0,14659.719307804218,0.11754340956423263,124700.0,True,passes conservative screen,27.4,1.2809491211647628,0.046702364729062674,10
Strain/sprain,18-24,24452,101600.0,9648.132525472023,0.09499013317399502,101600.0,True,passes conservative screen,24.8,1.3182484480717394,0.05320487133589802,10
Strain/sprain,25-34,19872,83400.0,7461.394120353603,0.08951651949299298,83400.0,True,passes conservative screen,23.3,1.4343868469558851,0.06167544209039827,10
Strain/sprain,35-44,12110,53500.0,5126.371121784745,0.09588003312298139,53500.0,True,passes conservative screen,21.2,1.3196993874783058,0.0623934125563915,10
Strain/sprain,45-54,7298,32900.0,3625.4016547267797,0.11032039639757481,32900.0,True,passes conservative screen,16.9,1.2932558583379785,0.07659775442708258,10
Strain/sprain,55-64,4670,21900.0,3267.3485385295107,0.14931433472899103,21900.0,True,passes conservative screen,12.5,1.1177007156549779,0.08947223370183835,10
Strain/sprain,65-74,2903,15100.0,3554.5442109304627,0.2346321415629879,15100.0,True,passes conservative screen,10.8,1.2389513223983053,0.11466386283501806,10
Strain/sprain,75+,1356,7500.0,2183.7414962708594,0.29133826846083805,7500.0,True,passes conservative screen,8.3,1.2028081532954704,0.1444880290855844,10
Fracture,0-4,14483,31100.0,4856.466173913757,0.15612241349699382,31100.0,True,passes conservative screen,20.3,1.1092109079221781,0.05465826101164386,10
Fracture,5-9,47551,112700.0,16475.40775328842,0.14617111240474173,112700.0,True,passes conservative screen,26.5,0.8282286067661071,0.031225373187360572,10
Fracture,10-14,64802,167600.0,20442.659830783516,0.1219560014416063,167600.0,True,passes conservative screen,22.5,0.6005739462911783,0.02675046091869313,10
Fracture,15-17,23080,67900.0,7301.51464292968,0.10760509098537376,67900.0,True,passes conservative screen,14.9,0.5069644417216904,0.03397282950884599,10
Fracture,18-24,13716,56100.0,6198.330592054511,0.11043024054412448,56100.0,True,passes conservative screen,13.7,0.6341917755735308,0.04631831801070103,10
Fracture,25-34,13660,55400.0,5790.516734988665,0.10449213329577874,55400.0,True,passes conservative screen,15.5,0.8402459251758667,0.05434198012819007,10
Fracture,35-44,9875,42800.0,4370.219713566693,0.10212439899402012,42800.0,True,passes conservative screen,16.9,0.9425127686472073,0.055674852763069924,10
Fracture,45-54,8131,35400.0,3773.3646727274477,0.10661466932901235,35400.0,True,passes conservative screen,18.2,1.059824537792269,0.05828463135326052,10
Fracture,55-64,8266,38200.0,5120.202172766438,0.13421030149697472,38200.0,True,passes conservative screen,21.8,1.192061554514669,0.05473361534800229,10
Fracture,65-74,5895,29400.0,5706.817626941885,0.19441426978964846,29400.0,True,passes conservative screen,20.9,1.5210627108492458,0.07265240657226292,10
Fracture,75+,3387,17400.0,4029.425835476423,0.23136577718120696,17400.0,True,passes conservative screen,19.3,1.6948425058893528,0.08762428688307193,10
Contusion/abrasion,0-4,6425,18200.0,3334.0963355744484,0.18305699278851334,18200.0,True,passes conservative screen,11.9,0.7826090995553935,0.065864266980448,10
Contusion/abrasion,5-9,18348,56400.0,9508.478029314098,0.16869479398219855,56400.0,True,passes conservative screen,13.3,0.7509738482451755,0.0566170864864733,10
Contusion/abrasion,10-14,29362,95900.0,12541.620676555596,0.13074165376808577,95900.0,True,passes conservative screen,12.8,0.6183227520891947,0.048125421555290294,10
Contusion/abrasion,15-17,14469,51700.0,6114.651493186954,0.11837289010844591,51700.0,True,passes conservative screen,11.4,0.6289974826580407,0.055368634251329915,10
Contusion/abrasion,18-24,9549,41400.0,4128.392673934642,0.09979486949620514,41400.0,True,passes conservative screen,10.1,0.5581136603998784,0.05530555572322808,10
Contusion/abrasion,25-34,8481,38000.0,3617.399931183632,0.09527771625548993,38000.0,True,passes conservative screen,10.6,0.6115547709261551,0.05772885464601894,10
Contusion/abrasion,35-44,5583,25500.0,2588.6756587964855,0.10136243426011908,25500.0,True,passes conservative screen,10.1,0.6719193812360599,0.06650620286187159,10
Contusion/abrasion,45-54,4394,20200.0,2138.489198340131,0.10569114069541143,20200.0,True,passes conservative screen,10.4,0.6900886216072643,0.06638474468733299,10
Contusion/abrasion,55-64,3631,16900.0,2210.6420534766853,0.13074621661082317,16900.0,True,passes conservative screen,9.7,0.7740471262787646,0.08019269658896325,10
Contusion/abrasion,65-74,2419,12500.0,2462.0550373026736,0.19692733669073448,12500.0,True,passes conservative screen,8.9,0.8019502786812732,0.0899341084174735,10
Contusion/abrasion,75+,1529,8300.0,2034.09188593742,0.24646384475324556,8300.0,True,passes conservative screen,9.2,1.035434178806058,0.11296511376699572,10
Laceration/open wound,0-4,11565,32000.0,5394.551426154301,0.1684261473163081,32000.0,True,passes conservative screen,20.9,1.0768949396363592,0.05153761338251284,10
Laceration/open wound,5-9,20767,60000.0,8311.762954432164,0.13844957393999477,60000.0,True,passes conservative screen,14.1,0.6189666873039126,0.04381247435208001,10
