Activity,Profile_Age,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Basketball,0-4,636,1500.0,329.93561160807417,0.22665961219811653,1500.0,True,passes conservative screen,0.4,0.08297399460243608,0.20921012737190756,10
Basketball,5-9,6284,16500.0,2393.3710214269763,0.14519661760286778,16500.0,True,passes conservative screen,4.5,0.422527543115459,0.09407998790294018,10
Basketball,10-14,38596,108500.0,11925.448690639056,0.10993873365304971,108500.0,True,passes conservative screen,29.6,1.292969589690441,0.04374818801424002,10
Basketball,15-19,38023,124100.0,12523.142109450277,0.10089890375229871,124100.0,True,passes conservative screen,33.8,0.9079440600703281,0.026848992156033043,10
Basketball,20-24,11455,45100.0,4862.095471244296,0.10774892009949354,45100.0,True,passes conservative screen,12.3,0.9560052667444765,0.07775807242155303,10
Basketball,25-29,6433,24700.0,2461.9741288997916,0.09979280477098636,24700.0,True,passes conservative screen,6.7,0.4875558505555634,0.07253303896430004,10
Basketball,30-34,4209,16400.0,1685.99871737815,0.10253688758385746,16400.0,True,passes conservative screen,4.5,0.39957097523030566,0.08918926435245395,10
Basketball,35-39,2832,11200.0,1178.965053727002,0.1051886195433386,11200.0,True,passes conservative screen,3.1,0.28358973563029005,0.09286543312651462,10
Basketball,40-44,1732,6900.0,866.2820444879364,0.1256654316163413,6900.0,True,passes conservative screen,1.9,0.2086199617757445,0.11107290570209635,10
Basketball,45-49,1113,4500.0,607.9993152385205,0.13422265965972682,4500.0,True,passes conservative screen,1.2,0.1597247397986467,0.1294168118260469,10
Basketball,50-54,688,2900.0,530.9468733819978,0.18398126023383296,2900.0,True,passes conservative screen,0.8,0.13821438097873318,0.1757808305278018,10
Basketball,55-59,436,1700.0,340.43824982800436,0.19888141994119096,1700.0,True,passes conservative screen,0.5,0.08761696483763443,0.18786238207573822,10
Basketball,60-64,311,1300.0,287.76778073683283,0.22870723601818468,1300.0,True,passes conservative screen,0.3,0.07562626534833372,0.22060032575139105,10
Basketball,65-69,187,,234.6201805110626,0.29778560553449596,,False,estimate < 1200,,0.06369192072242838,0.2967006102197796,10
Basketball,70-74,101,,165.44393171548057,0.36752360093545805,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.044895336391596714,0.3660423863730617,10
Basketball,75-79,63,,128.28158813131478,0.43594428305236865,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.03465563942250384,0.43225132436527774,10
Basketball,80+,57,,119.68216832040802,0.5011250754224293,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.03222179490054471,0.49517894717588323,10
Exercise/fitness,0-4,2036,5100.0,912.0898309343198,0.17850438429921647,5100.0,True,passes conservative screen,1.4,0.21007893662725857,0.1555437549744944,10
Exercise/fitness,5-9,3929,11300.0,2063.403362037524,0.18201112194089258,11300.0,True,passes conservative screen,3.0,0.45353870281711417,0.15135157384104597,10
Exercise/fitness,10-14,6936,22700.0,3436.6343564242634,0.1512005107226536,22700.0,True,passes conservative screen,6.0,0.7919735933372989,0.1318224644908327,10
Exercise/fitness,15-19,7605,29200.0,3412.5812636951678,0.11699120813220847,29200.0,True,passes conservative screen,7.7,0.5268174008272746,0.06832649296598862,10
Exercise/fitness,20-24,7739,31600.0,4021.314345641523,0.12726515580813894,31600.0,True,passes conservative screen,8.4,0.6388306931890158,0.07648672386096873,10
Exercise/fitness,25-29,7582,31200.0,3683.7204523479377,0.11819802726473064,31200.0,True,passes conservative screen,8.2,0.5525360803205082,0.06707226928062879,10
Exercise/fitness,30-34,7033,29500.0,3401.9687322858126,0.11546248268101357,29500.0,True,passes conservative screen,7.8,0.4896561272940143,0.0628724757599415,10
Exercise/fitness,35-39,6391,27300.0,3132.3253203705735,0.11465151944934031,27300.0,True,passes conservative screen,7.2,0.4449211603191989,0.06161051082090377,10
Exercise/fitness,40-44,5387,23600.0,2655.1832846857387,0.11245442611632463,23600.0,True,passes conservative screen,6.2,0.3628820601045789,0.058144192237784546,10
Exercise/fitness,45-49,5128,22400.0,2622.9277347282946,0.11732164918417513,22400.0,True,passes conservative screen,5.9,0.37076704785738285,0.06274104641939363,10
Exercise/fitness,50-54,5110,22600.0,2671.6283404271,0.11844524355921339,22600.0,True,passes conservative screen,6.0,0.36318384640602097,0.06091537221730958,10
Exercise/fitness,55-59,5073,22600.0,2993.943465377864,0.1325170890775352,22600.0,True,passes conservative screen,6.0,0.36445249836990684,0.06102784278037194,10
Exercise/fitness,60-64,4729,21500.0,3205.789496492057,0.14886395040605052,21500.0,True,passes conservative screen,5.7,0.39809447993602726,0.0699357905595779,10
Exercise/fitness,65-69,4799,22800.0,3825.3410301898634,0.16779962256065198,22800.0,True,passes conservative screen,6.0,0.5333211836595088,0.08850513118315115,10
Exercise/fitness,70-74,4004,19500.0,3707.5504175795168,0.1899105716123322,19500.0,True,passes conservative screen,5.2,0.5553097001276477,0.10761086691090407,10
Exercise/fitness,75-79,3013,14800.0,3064.4362274902223,0.2065740756005667,14800.0,True,passes conservative screen,3.9,0.5000886671657555,0.1275354849307191,10
