Care_Outcome,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Released,0-4,54944,143700.0,25051.775731483787,0.17428608772722984,143700.0,True,passes conservative screen,94.9,0.5776145293131653,0.006085268702133649,10
Released,5-9,145809,402700.0,62113.18360125177,0.15422622795587876,402700.0,True,passes conservative screen,95.8,0.4571192690868984,0.004774079610804384,10
Released,10-14,243150,720300.0,88034.14952444538,0.12221986294660221,720300.0,True,passes conservative screen,97.3,0.3049303964329611,0.0031332204912545734,10
Released,15-17,133471,438300.0,47600.7043740527,0.10859136910747165,438300.0,True,passes conservative screen,97.3,0.32723191197899276,0.0033640735055425522,10
Released,18-24,92778,386700.0,36913.0858604306,0.09545683398798292,386700.0,True,passes conservative screen,96.3,0.42410187373904845,0.004404676189139163,10
Released,25-34,78270,330100.0,28127.127176103426,0.08521021514309009,330100.0,True,passes conservative screen,94.5,0.6320412739812835,0.00668740540982988,10
Released,35-44,51590,229200.0,19393.505293284477,0.0846071290248764,229200.0,True,passes conservative screen,92.9,0.8223400127790224,0.008854569216544771,10
Released,45-54,37411,169000.0,15611.327870664216,0.09236841973273412,169000.0,True,passes conservative screen,88.9,1.2094387339445718,0.013609334386489869,10
Released,55-64,30636,142900.0,16230.983115053983,0.11357526842670376,142900.0,True,passes conservative screen,83.2,1.8852776110359026,0.02265287073759621,10
Released,65-74,20965,106800.0,18815.221769907756,0.17616453224540976,106800.0,True,passes conservative screen,77.2,2.9713194483840617,0.03849968438718321,10
Released,75+,11853,62400.0,13333.826851229334,0.21379508720581047,62400.0,True,passes conservative screen,69.9,3.66515589291051,0.05244792903681534,10
Escalated,0-4,3519,7700.0,1791.345356370771,0.23286796240517804,7700.0,True,passes conservative screen,5.1,0.5776145293131649,0.11370667878162356,10
Escalated,5-9,8883,17900.0,2629.4212158901764,0.14709912507345668,17900.0,True,passes conservative screen,4.2,0.45711926908689776,0.10756355229545742,10
Escalated,10-14,9355,19800.0,2921.358565205869,0.14737665721986595,19800.0,True,passes conservative screen,2.7,0.30493039643296155,0.11385292045802349,10
Escalated,15-17,4550,12300.0,1924.2284854087097,0.15655516007876855,12300.0,True,passes conservative screen,2.7,0.3272319119789929,0.11997597675869898,10
Escalated,18-24,3893,14900.0,2238.6032831800667,0.15001621927737063,14900.0,True,passes conservative screen,3.7,0.42410187373904856,0.1141427661904669,10
Escalated,25-34,4875,19200.0,2965.0366373558013,0.15469789304666906,19200.0,True,passes conservative screen,5.5,0.6320412739812835,0.1151716799864666,10
Escalated,35-44,4303,17600.0,2718.489787738822,0.15451976970725942,17600.0,True,passes conservative screen,7.1,0.8223400127790224,0.11536475236856562,10
Escalated,45-54,4959,21200.0,3389.565673241055,0.16010840902225967,21200.0,True,passes conservative screen,11.1,1.2094387339445722,0.10864839257807384,10
Escalated,55-64,6498,28800.0,5815.798861838584,0.20189670111180602,28800.0,True,passes conservative screen,16.8,1.8852776110359026,0.1123839120246596,10
Escalated,65-74,6370,31600.0,9534.44681819285,0.30188293614911077,31600.0,True,passes conservative screen,22.8,2.9713194483840617,0.130194039069876,10
Escalated,75+,5315,,9150.677569100488,0.3404327350408567,,False,"CV bound outside [0, 0.33]",,3.6651558929105112,0.12169241089534129,10
