Age_Display,percent,reportable,observed_years,reason
0,,False,10,at least one annual percentage fails
1,,False,10,at least one annual percentage fails
2,,False,10,at least one annual percentage fails
3,,False,10,at least one annual percentage fails
4,,False,10,at least one annual percentage fails
5,0.9,True,10,all annual percentages pass
6,1.1,True,10,all annual percentages pass
7,1.5,True,10,all annual percentages pass
8,2.0,True,10,all annual percentages pass
9,2.6,True,10,all annual percentages pass
10,3.3,True,10,all annual percentages pass
11,4.1,True,10,all annual percentages pass
12,4.8,True,10,all annual percentages pass
13,5.7,True,10,all annual percentages pass
14,6.2,True,10,all annual percentages pass
15,6.2,True,10,all annual percentages pass
16,5.7,True,10,all annual percentages pass
17,5.1,True,10,all annual percentages pass
18,3.2,True,10,all annual percentages pass
19,2.3,True,10,all annual percentages pass
20,2.1,True,10,all annual percentages pass
21,1.9,True,10,all annual percentages pass
22,1.6,True,10,all annual percentages pass
23,1.4,True,10,all annual percentages pass
24,1.3,True,10,all annual percentages pass
25,1.3,True,10,all annual percentages pass
26,1.2,True,10,all annual percentages pass
27,1.2,True,10,all annual percentages pass
28,1.2,True,10,all annual percentages pass
29,1.1,True,10,all annual percentages pass
30,1.0,True,10,all annual percentages pass
31,1.0,True,10,all annual percentages pass
32,1.0,True,10,all annual percentages pass
33,0.9,True,10,all annual percentages pass
34,0.9,True,10,all annual percentages pass
35,0.9,True,10,all annual percentages pass
36,0.8,True,10,all annual percentages pass
37,0.8,True,10,all annual percentages pass
38,0.8,True,10,all annual percentages pass
39,0.8,True,10,all annual percentages pass
40,0.7,True,10,all annual percentages pass
41,0.7,True,10,all annual percentages pass
42,0.7,True,10,all annual percentages pass
43,0.6,True,10,all annual percentages pass
44,0.6,True,10,all annual percentages pass
45,0.6,True,10,all annual percentages pass
46,0.5,True,10,all annual percentages pass
47,0.5,True,10,all annual percentages pass
48,0.5,True,10,all annual percentages pass
49,0.5,True,10,all annual percentages pass
50,0.5,True,10,all annual percentages pass
51,0.5,True,10,all annual percentages pass
52,0.5,True,10,all annual percentages pass
53,0.5,True,10,all annual percentages pass
54,0.5,True,10,all annual percentages pass
55,0.5,True,10,all annual percentages pass
56,0.5,True,10,all annual percentages pass
57,0.5,True,10,all annual percentages pass
58,0.5,True,10,all annual percentages pass
59,0.5,True,10,all annual percentages pass
60,0.4,True,10,all annual percentages pass
61,0.4,True,10,all annual percentages pass
62,0.4,True,10,all annual percentages pass
63,0.4,True,10,all annual percentages pass
64,0.4,True,10,all annual percentages pass
65,0.5,True,10,all annual percentages pass
66,0.4,True,10,all annual percentages pass
67,0.4,True,10,all annual percentages pass
68,0.4,True,10,all annual percentages pass
69,0.4,True,10,all annual percentages pass
70,,False,10,at least one annual percentage fails
71,,False,10,at least one annual percentage fails
72,,False,10,at least one annual percentage fails
73,,False,10,at least one annual percentage fails
74,,False,10,at least one annual percentage fails
75,,False,10,at least one annual percentage fails
76,,False,10,at least one annual percentage fails
77,,False,10,at least one annual percentage fails
78,,False,10,at least one annual percentage fails
79,,False,10,at least one annual percentage fails
80,,False,10,at least one annual percentage fails
81,,False,10,at least one annual percentage fails
82,,False,10,at least one annual percentage fails
83,,False,10,at least one annual percentage fails
84,,False,10,at least one annual percentage fails
85,0.1,True,10,all annual percentages pass
86,,False,10,at least one annual percentage fails
87,,False,10,at least one annual percentage fails
88,,False,10,at least one annual percentage fails
89,,False,10,at least one annual percentage fails
90,0.2,True,10,all annual percentages pass
