Diagnosis_Plot,Age_Band,percent,reportable,observed_years,reason
All other diagnoses,0-4,,False,10,at least one annual percentage fails
All other diagnoses,10-14,32.2,True,10,all annual percentages pass
All other diagnoses,15-17,34.4,True,10,all annual percentages pass
All other diagnoses,18-24,39.3,True,10,all annual percentages pass
All other diagnoses,25-34,42.6,True,10,all annual percentages pass
All other diagnoses,35-44,45.2,True,10,all annual percentages pass
All other diagnoses,45-54,50.1,True,10,all annual percentages pass
All other diagnoses,5-9,36.0,True,10,all annual percentages pass
All other diagnoses,55-64,51.1,True,10,all annual percentages pass
All other diagnoses,65-74,51.8,True,10,all annual percentages pass
All other diagnoses,75+,49.5,True,10,all annual percentages pass
Contusion/abrasion,0-4,10.9,True,10,all annual percentages pass
Contusion/abrasion,10-14,11.4,True,10,all annual percentages pass
Contusion/abrasion,15-17,10.3,True,10,all annual percentages pass
Contusion/abrasion,18-24,7.9,True,10,all annual percentages pass
Contusion/abrasion,25-34,7.7,True,10,all annual percentages pass
Contusion/abrasion,35-44,7.2,True,10,all annual percentages pass
Contusion/abrasion,45-54,7.0,True,10,all annual percentages pass
Contusion/abrasion,5-9,11.8,True,10,all annual percentages pass
Contusion/abrasion,55-64,6.7,True,10,all annual percentages pass
Contusion/abrasion,65-74,6.1,True,10,all annual percentages pass
Contusion/abrasion,75+,,False,10,at least one annual percentage fails
Fracture,0-4,7.8,True,10,all annual percentages pass
Fracture,10-14,20.8,True,10,all annual percentages pass
Fracture,15-17,14.6,True,10,all annual percentages pass
Fracture,18-24,12.3,True,10,all annual percentages pass
Fracture,25-34,12.3,True,10,all annual percentages pass
Fracture,35-44,12.2,True,10,all annual percentages pass
Fracture,45-54,11.8,True,10,all annual percentages pass
Fracture,5-9,17.2,True,10,all annual percentages pass
Fracture,55-64,14.7,True,10,all annual percentages pass
Fracture,65-74,15.3,True,10,all annual percentages pass
Fracture,75+,15.7,True,10,all annual percentages pass
Internal injury,0-4,,False,10,at least one annual percentage fails
Internal injury,10-14,6.4,True,10,all annual percentages pass
Internal injury,15-17,6.2,True,10,all annual percentages pass
Internal injury,18-24,4.7,True,10,all annual percentages pass
Internal injury,25-34,3.2,True,10,all annual percentages pass
Internal injury,35-44,3.0,True,10,all annual percentages pass
Internal injury,45-54,3.5,True,10,all annual percentages pass
Internal injury,5-9,8.8,True,10,all annual percentages pass
Internal injury,55-64,4.5,True,10,all annual percentages pass
Internal injury,65-74,6.6,True,10,all annual percentages pass
Internal injury,75+,,False,10,at least one annual percentage fails
Laceration/open wound,0-4,21.5,True,10,all annual percentages pass
Laceration/open wound,10-14,5.1,True,10,all annual percentages pass
Laceration/open wound,15-17,6.1,True,10,all annual percentages pass
Laceration/open wound,18-24,8.6,True,10,all annual percentages pass
Laceration/open wound,25-34,6.8,True,10,all annual percentages pass
Laceration/open wound,35-44,6.5,True,10,all annual percentages pass
Laceration/open wound,45-54,6.3,True,10,all annual percentages pass
Laceration/open wound,5-9,13.4,True,10,all annual percentages pass
Laceration/open wound,55-64,6.5,True,10,all annual percentages pass
Laceration/open wound,65-74,6.5,True,10,all annual percentages pass
Laceration/open wound,75+,7.2,True,10,all annual percentages pass
Strain/sprain,0-4,,False,10,at least one annual percentage fails
Strain/sprain,10-14,24.1,True,10,all annual percentages pass
Strain/sprain,15-17,28.4,True,10,all annual percentages pass
Strain/sprain,18-24,27.2,True,10,all annual percentages pass
Strain/sprain,25-34,27.3,True,10,all annual percentages pass
Strain/sprain,35-44,25.9,True,10,all annual percentages pass
Strain/sprain,45-54,21.3,True,10,all annual percentages pass
Strain/sprain,5-9,12.8,True,10,all annual percentages pass
Strain/sprain,55-64,16.5,True,10,all annual percentages pass
Strain/sprain,65-74,,False,10,at least one annual percentage fails
Strain/sprain,75+,,False,10,at least one annual percentage fails
