Care_Outcome,Age_Band,percent,reportable,observed_years,reason
Escalated,0-4,,False,10,at least one annual percentage fails
Escalated,10-14,2.1,True,10,all annual percentages pass
Escalated,15-17,2.3,True,10,all annual percentages pass
Escalated,18-24,3.0,True,10,all annual percentages pass
Escalated,25-34,3.9,True,10,all annual percentages pass
Escalated,35-44,5.0,True,10,all annual percentages pass
Escalated,45-54,8.5,True,10,all annual percentages pass
Escalated,5-9,2.6,True,10,all annual percentages pass
Escalated,55-64,13.7,True,10,all annual percentages pass
Escalated,65-74,,False,10,at least one annual percentage fails
Escalated,75+,,False,10,at least one annual percentage fails
Released,0-4,92.7,True,10,all annual percentages pass
Released,10-14,97.9,True,10,all annual percentages pass
Released,15-17,97.7,True,10,all annual percentages pass
Released,18-24,97.0,True,10,all annual percentages pass
Released,25-34,96.1,True,10,all annual percentages pass
Released,35-44,95.0,True,10,all annual percentages pass
Released,45-54,91.5,True,10,all annual percentages pass
Released,5-9,97.4,True,10,all annual percentages pass
Released,55-64,86.3,True,10,all annual percentages pass
Released,65-74,78.8,True,10,all annual percentages pass
Released,75+,70.3,True,10,all annual percentages pass
