scenario,metric,value,units,cells_compared,cells_in_union,coverage_percent,max_absolute_change,mean_absolute_change
Extended,RQ1_age,percent,percentage points,91,91,100.0,1.3432227501856797,0.19279526287835339
Extended,RQ1_age,estimate,average annual presentations,91,91,100.0,49466.00278999999,11714.682862417583
Extended,RQ2_anatomy,percent,percentage points,126,154,81.81818181818183,6.70774486931316,0.8875582739012511
Extended,RQ3_diagnosis,percent,percentage points,65,66,98.48484848484848,17.805307179481307,3.3052706229884805
Extended,RQ4_profiles,percent,percentage points,163,255,63.921568627450974,1.7767339604553136,0.04268485384381697
Extended,RQ5_disposition,percent,percentage points,19,22,86.36363636363636,3.083067608408115,1.6099237196849645
Core_P1_only,RQ1_age,percent,percentage points,91,91,100.0,0.05301592201491534,0.007164158449323693
Core_P1_only,RQ1_age,estimate,average annual presentations,91,91,100.0,2024.6531200000027,480.92555868131916
Core_P1_only,RQ2_anatomy,percent,percentage points,126,154,81.81818181818183,0.3870969890195397,0.05286115543828634
Core_P1_only,RQ3_diagnosis,percent,percentage points,65,66,98.48484848484848,0.5766426844802623,0.13701984597295622
Core_P1_only,RQ4_profiles,percent,percentage points,162,255,63.52941176470588,0.4596151839531686,0.04930184732975436
Core_P1_only,RQ5_disposition,percent,percentage points,19,22,86.36363636363636,0.10257800946673967,0.02186964996592737
Core_without_2020,RQ1_age,percent,percentage points,91,91,100.0,0.0899785132947768,0.013510928625398223
Core_without_2020,RQ1_age,estimate,average annual presentations,91,91,100.0,8661.618170000002,1136.9073221855915
Core_without_2020,RQ2_anatomy,percent,percentage points,126,154,81.81818181818183,0.21492821313939459,0.04094542695573585
Core_without_2020,RQ3_diagnosis,percent,percentage points,65,66,98.48484848484848,0.5879445753737258,0.08825497423986392
Core_without_2020,RQ4_profiles,percent,percentage points,163,255,63.921568627450974,0.48466915988301196,0.06205214300673493
Core_without_2020,RQ5_disposition,percent,percentage points,19,22,86.36363636363636,0.24882205047858008,0.0633489740140877
Core_2016_2023,RQ1_age,percent,percentage points,91,91,100.0,0.08108924705696197,0.014934163104207816
Core_2016_2023,RQ1_age,estimate,average annual presentations,91,91,100.0,4127.777650000004,953.1364279670331
Core_2016_2023,RQ2_anatomy,percent,percentage points,122,154,79.22077922077922,0.6855889152951811,0.11710984734124177
Core_2016_2023,RQ3_diagnosis,percent,percentage points,65,66,98.48484848484848,1.758911257408883,0.5481258161672291
Core_2016_2023,RQ4_profiles,percent,percentage points,156,255,61.1764705882353,1.607408079750229,0.18721333024995127
Core_2016_2023,RQ5_disposition,percent,percentage points,19,22,86.36363636363636,0.6453214069375264,0.1372074171528666
Unweighted_sample_vs_weighted,RQ1_age,percent,percentage points,91,91,100.0,1.2333278196504818,0.21180139531592218
Unweighted_sample_vs_weighted,RQ2_anatomy,percent,percentage points,126,154,81.81818181818183,3.198712375632418,0.26008175450302545
Unweighted_sample_vs_weighted,RQ3_diagnosis,percent,percentage points,65,66,98.48484848484848,3.076509727888734,0.5967361199435015
Unweighted_sample_vs_weighted,RQ4_profiles,percent,percentage points,163,255,63.921568627450974,6.371795468790893,1.1032959316163495
Unweighted_sample_vs_weighted,RQ5_disposition,percent,percentage points,19,22,86.36363636363636,1.0722201528386535,0.41900231758992756
Equal_year_mean_vs_pooled,RQ1_age,percent,percentage points,67,91,73.62637362637363,0.07154574880968045,0.013523508502532356
Equal_year_mean_vs_pooled,RQ2_anatomy,percent,percentage points,101,154,65.5844155844156,0.2447888344564717,0.039417231115043
Equal_year_mean_vs_pooled,RQ3_diagnosis,percent,percentage points,59,66,89.39393939393939,0.38179845247258015,0.09285397136011186
Equal_year_mean_vs_pooled,RQ4_profiles,percent,percentage points,121,255,47.45098039215686,0.5817007831468324,0.07762858056676136
Equal_year_mean_vs_pooled,RQ5_disposition,percent,percentage points,19,22,86.36363636363636,0.14629616922347566,0.0505237028035687
