Age_Display,n,denominator_n,percent,reportable,reason
0,576,659637,0.1,True,sample descriptive percentage; n >=20
1,2419,659637,0.4,True,sample descriptive percentage; n >=20
2,4014,659637,0.6,True,sample descriptive percentage; n >=20
3,4678,659637,0.7,True,sample descriptive percentage; n >=20
4,5262,659637,0.8,True,sample descriptive percentage; n >=20
5,7251,659637,1.1,True,sample descriptive percentage; n >=20
6,9794,659637,1.5,True,sample descriptive percentage; n >=20
7,12821,659637,1.9,True,sample descriptive percentage; n >=20
8,16815,659637,2.5,True,sample descriptive percentage; n >=20
9,21873,659637,3.3,True,sample descriptive percentage; n >=20
10,27554,659637,4.2,True,sample descriptive percentage; n >=20
11,33791,659637,5.1,True,sample descriptive percentage; n >=20
12,40050,659637,6.1,True,sample descriptive percentage; n >=20
13,46311,659637,7.0,True,sample descriptive percentage; n >=20
14,48487,659637,7.4,True,sample descriptive percentage; n >=20
15,46485,659637,7.0,True,sample descriptive percentage; n >=20
16,41546,659637,6.3,True,sample descriptive percentage; n >=20
17,35199,659637,5.3,True,sample descriptive percentage; n >=20
18,18868,659637,2.9,True,sample descriptive percentage; n >=20
19,12825,659637,1.9,True,sample descriptive percentage; n >=20
20,11499,659637,1.7,True,sample descriptive percentage; n >=20
21,10085,659637,1.5,True,sample descriptive percentage; n >=20
22,8780,659637,1.3,True,sample descriptive percentage; n >=20
23,7976,659637,1.2,True,sample descriptive percentage; n >=20
24,7602,659637,1.2,True,sample descriptive percentage; n >=20
25,7186,659637,1.1,True,sample descriptive percentage; n >=20
26,6722,659637,1.0,True,sample descriptive percentage; n >=20
27,6653,659637,1.0,True,sample descriptive percentage; n >=20
28,6378,659637,1.0,True,sample descriptive percentage; n >=20
29,5962,659637,0.9,True,sample descriptive percentage; n >=20
30,5736,659637,0.9,True,sample descriptive percentage; n >=20
31,5547,659637,0.8,True,sample descriptive percentage; n >=20
32,5474,659637,0.8,True,sample descriptive percentage; n >=20
33,5067,659637,0.8,True,sample descriptive percentage; n >=20
34,4837,659637,0.7,True,sample descriptive percentage; n >=20
35,4701,659637,0.7,True,sample descriptive percentage; n >=20
36,4496,659637,0.7,True,sample descriptive percentage; n >=20
37,4110,659637,0.6,True,sample descriptive percentage; n >=20
38,4065,659637,0.6,True,sample descriptive percentage; n >=20
39,3870,659637,0.6,True,sample descriptive percentage; n >=20
40,3570,659637,0.5,True,sample descriptive percentage; n >=20
41,3441,659637,0.5,True,sample descriptive percentage; n >=20
42,3366,659637,0.5,True,sample descriptive percentage; n >=20
43,3114,659637,0.5,True,sample descriptive percentage; n >=20
44,3060,659637,0.5,True,sample descriptive percentage; n >=20
45,2936,659637,0.4,True,sample descriptive percentage; n >=20
46,2856,659637,0.4,True,sample descriptive percentage; n >=20
47,2824,659637,0.4,True,sample descriptive percentage; n >=20
48,2740,659637,0.4,True,sample descriptive percentage; n >=20
49,2548,659637,0.4,True,sample descriptive percentage; n >=20
50,2557,659637,0.4,True,sample descriptive percentage; n >=20
51,2537,659637,0.4,True,sample descriptive percentage; n >=20
52,2632,659637,0.4,True,sample descriptive percentage; n >=20
53,2568,659637,0.4,True,sample descriptive percentage; n >=20
54,2255,659637,0.3,True,sample descriptive percentage; n >=20
55,2313,659637,0.4,True,sample descriptive percentage; n >=20
56,2343,659637,0.4,True,sample descriptive percentage; n >=20
57,2317,659637,0.4,True,sample descriptive percentage; n >=20
58,2224,659637,0.3,True,sample descriptive percentage; n >=20
59,2181,659637,0.3,True,sample descriptive percentage; n >=20
60,2134,659637,0.3,True,sample descriptive percentage; n >=20
61,2123,659637,0.3,True,sample descriptive percentage; n >=20
62,2013,659637,0.3,True,sample descriptive percentage; n >=20
63,2072,659637,0.3,True,sample descriptive percentage; n >=20
64,2043,659637,0.3,True,sample descriptive percentage; n >=20
65,2135,659637,0.3,True,sample descriptive percentage; n >=20
66,2043,659637,0.3,True,sample descriptive percentage; n >=20
67,2019,659637,0.3,True,sample descriptive percentage; n >=20
68,2010,659637,0.3,True,sample descriptive percentage; n >=20
69,1902,659637,0.3,True,sample descriptive percentage; n >=20
70,1827,659637,0.3,True,sample descriptive percentage; n >=20
71,1762,659637,0.3,True,sample descriptive percentage; n >=20
72,1603,659637,0.2,True,sample descriptive percentage; n >=20
73,1572,659637,0.2,True,sample descriptive percentage; n >=20
74,1502,659637,0.2,True,sample descriptive percentage; n >=20
75,1426,659637,0.2,True,sample descriptive percentage; n >=20
76,1311,659637,0.2,True,sample descriptive percentage; n >=20
77,1195,659637,0.2,True,sample descriptive percentage; n >=20
78,1104,659637,0.2,True,sample descriptive percentage; n >=20
79,1007,659637,0.2,True,sample descriptive percentage; n >=20
80,906,659637,0.1,True,sample descriptive percentage; n >=20
81,928,659637,0.1,True,sample descriptive percentage; n >=20
82,785,659637,0.1,True,sample descriptive percentage; n >=20
83,660,659637,0.1,True,sample descriptive percentage; n >=20
84,616,659637,0.1,True,sample descriptive percentage; n >=20
85,571,659637,0.1,True,sample descriptive percentage; n >=20
86,457,659637,0.1,True,sample descriptive percentage; n >=20
87,416,659637,0.1,True,sample descriptive percentage; n >=20
88,372,659637,0.1,True,sample descriptive percentage; n >=20
89,311,659637,0.0,True,sample descriptive percentage; n >=20
90,1065,659637,0.2,True,sample descriptive percentage; n >=20
