Body_Region,Age_Band,n,denominator_n,percent,reportable,reason
Head/face,0-4,8292,16949,48.9,True,sample descriptive percentage; n >=20
Head/face,5-9,26756,68554,39.0,True,sample descriptive percentage; n >=20
Head/face,10-14,45307,196193,23.1,True,sample descriptive percentage; n >=20
Head/face,15-17,28503,123230,23.1,True,sample descriptive percentage; n >=20
Head/face,18-24,15712,77635,20.2,True,sample descriptive percentage; n >=20
Head/face,25-34,8940,59562,15.0,True,sample descriptive percentage; n >=20
Head/face,35-44,5053,37793,13.4,True,sample descriptive percentage; n >=20
Head/face,45-54,3577,26453,13.5,True,sample descriptive percentage; n >=20
Head/face,55-64,2888,21763,13.3,True,sample descriptive percentage; n >=20
Head/face,65-74,2941,18375,16.0,True,sample descriptive percentage; n >=20
Head/face,75+,2736,13130,20.8,True,sample descriptive percentage; n >=20
Neck,0-4,151,16949,0.9,True,sample descriptive percentage; n >=20
Neck,5-9,1234,68554,1.8,True,sample descriptive percentage; n >=20
Neck,10-14,3217,196193,1.6,True,sample descriptive percentage; n >=20
Neck,15-17,2088,123230,1.7,True,sample descriptive percentage; n >=20
Neck,18-24,1239,77635,1.6,True,sample descriptive percentage; n >=20
Neck,25-34,1229,59562,2.1,True,sample descriptive percentage; n >=20
Neck,35-44,841,37793,2.2,True,sample descriptive percentage; n >=20
Neck,45-54,603,26453,2.3,True,sample descriptive percentage; n >=20
Neck,55-64,409,21763,1.9,True,sample descriptive percentage; n >=20
Neck,65-74,341,18375,1.9,True,sample descriptive percentage; n >=20
Neck,75+,232,13130,1.8,True,sample descriptive percentage; n >=20
Shoulder/upper arm,0-4,333,16949,2.0,True,sample descriptive percentage; n >=20
Shoulder/upper arm,5-9,2625,68554,3.8,True,sample descriptive percentage; n >=20
Shoulder/upper arm,10-14,10522,196193,5.4,True,sample descriptive percentage; n >=20
Shoulder/upper arm,15-17,9109,123230,7.4,True,sample descriptive percentage; n >=20
Shoulder/upper arm,18-24,7249,77635,9.3,True,sample descriptive percentage; n >=20
Shoulder/upper arm,25-34,5138,59562,8.6,True,sample descriptive percentage; n >=20
Shoulder/upper arm,35-44,3303,37793,8.7,True,sample descriptive percentage; n >=20
Shoulder/upper arm,45-54,2249,26453,8.5,True,sample descriptive percentage; n >=20
Shoulder/upper arm,55-64,1742,21763,8.0,True,sample descriptive percentage; n >=20
Shoulder/upper arm,65-74,1335,18375,7.3,True,sample descriptive percentage; n >=20
Shoulder/upper arm,75+,776,13130,5.9,True,sample descriptive percentage; n >=20
Elbow/forearm,0-4,965,16949,5.7,True,sample descriptive percentage; n >=20
Elbow/forearm,5-9,6932,68554,10.1,True,sample descriptive percentage; n >=20
Elbow/forearm,10-14,16243,196193,8.3,True,sample descriptive percentage; n >=20
Elbow/forearm,15-17,5902,123230,4.8,True,sample descriptive percentage; n >=20
Elbow/forearm,18-24,2429,77635,3.1,True,sample descriptive percentage; n >=20
Elbow/forearm,25-34,1870,59562,3.1,True,sample descriptive percentage; n >=20
Elbow/forearm,35-44,1269,37793,3.4,True,sample descriptive percentage; n >=20
Elbow/forearm,45-54,875,26453,3.3,True,sample descriptive percentage; n >=20
Elbow/forearm,55-64,796,21763,3.7,True,sample descriptive percentage; n >=20
Elbow/forearm,65-74,702,18375,3.8,True,sample descriptive percentage; n >=20
Elbow/forearm,75+,437,13130,3.3,True,sample descriptive percentage; n >=20
Wrist/hand,0-4,1508,16949,8.9,True,sample descriptive percentage; n >=20
Wrist/hand,5-9,10850,68554,15.8,True,sample descriptive percentage; n >=20
Wrist/hand,10-14,42569,196193,21.7,True,sample descriptive percentage; n >=20
Wrist/hand,15-17,18911,123230,15.3,True,sample descriptive percentage; n >=20
Wrist/hand,18-24,10118,77635,13.0,True,sample descriptive percentage; n >=20
Wrist/hand,25-34,7238,59562,12.2,True,sample descriptive percentage; n >=20
