Diagnosis_Plot,Age_Band,n,denominator_n,percent,reportable,reason
Strain/sprain,0-4,439,16949,2.6,True,sample descriptive percentage; n >=20
Strain/sprain,5-9,8176,68554,11.9,True,sample descriptive percentage; n >=20
Strain/sprain,10-14,43992,196193,22.4,True,sample descriptive percentage; n >=20
Strain/sprain,15-17,33620,123230,27.3,True,sample descriptive percentage; n >=20
Strain/sprain,18-24,21218,77635,27.3,True,sample descriptive percentage; n >=20
Strain/sprain,25-34,16555,59562,27.8,True,sample descriptive percentage; n >=20
Strain/sprain,35-44,9890,37793,26.2,True,sample descriptive percentage; n >=20
Strain/sprain,45-54,5721,26453,21.6,True,sample descriptive percentage; n >=20
Strain/sprain,55-64,3549,21763,16.3,True,sample descriptive percentage; n >=20
Strain/sprain,65-74,2404,18375,13.1,True,sample descriptive percentage; n >=20
Strain/sprain,75+,1184,13130,9.0,True,sample descriptive percentage; n >=20
Fracture,0-4,1691,16949,10.0,True,sample descriptive percentage; n >=20
Fracture,5-9,13851,68554,20.2,True,sample descriptive percentage; n >=20
Fracture,10-14,46211,196193,23.6,True,sample descriptive percentage; n >=20
Fracture,15-17,19864,123230,16.1,True,sample descriptive percentage; n >=20
Fracture,18-24,9666,77635,12.5,True,sample descriptive percentage; n >=20
Fracture,25-34,7542,59562,12.7,True,sample descriptive percentage; n >=20
Fracture,35-44,4664,37793,12.3,True,sample descriptive percentage; n >=20
Fracture,45-54,3171,26453,12.0,True,sample descriptive percentage; n >=20
Fracture,55-64,3175,21763,14.6,True,sample descriptive percentage; n >=20
Fracture,65-74,2830,18375,15.4,True,sample descriptive percentage; n >=20
Fracture,75+,2093,13130,15.9,True,sample descriptive percentage; n >=20
Contusion/abrasion,0-4,1844,16949,10.9,True,sample descriptive percentage; n >=20
Contusion/abrasion,5-9,7672,68554,11.2,True,sample descriptive percentage; n >=20
Contusion/abrasion,10-14,20608,196193,10.5,True,sample descriptive percentage; n >=20
Contusion/abrasion,15-17,11728,123230,9.5,True,sample descriptive percentage; n >=20
Contusion/abrasion,18-24,5822,77635,7.5,True,sample descriptive percentage; n >=20
Contusion/abrasion,25-34,4273,59562,7.2,True,sample descriptive percentage; n >=20
Contusion/abrasion,35-44,2574,37793,6.8,True,sample descriptive percentage; n >=20
Contusion/abrasion,45-54,1780,26453,6.7,True,sample descriptive percentage; n >=20
Contusion/abrasion,55-64,1380,21763,6.3,True,sample descriptive percentage; n >=20
Contusion/abrasion,65-74,1115,18375,6.1,True,sample descriptive percentage; n >=20
Contusion/abrasion,75+,986,13130,7.5,True,sample descriptive percentage; n >=20
Laceration/open wound,0-4,3251,16949,19.2,True,sample descriptive percentage; n >=20
Laceration/open wound,5-9,8529,68554,12.4,True,sample descriptive percentage; n >=20
Laceration/open wound,10-14,9078,196193,4.6,True,sample descriptive percentage; n >=20
Laceration/open wound,15-17,6829,123230,5.5,True,sample descriptive percentage; n >=20
Laceration/open wound,18-24,6198,77635,8.0,True,sample descriptive percentage; n >=20
Laceration/open wound,25-34,3948,59562,6.6,True,sample descriptive percentage; n >=20
Laceration/open wound,35-44,2303,37793,6.1,True,sample descriptive percentage; n >=20
Laceration/open wound,45-54,1568,26453,5.9,True,sample descriptive percentage; n >=20
Laceration/open wound,55-64,1292,21763,5.9,True,sample descriptive percentage; n >=20
Laceration/open wound,65-74,1124,18375,6.1,True,sample descriptive percentage; n >=20
Laceration/open wound,75+,947,13130,7.2,True,sample descriptive percentage; n >=20
Internal injury,0-4,1913,16949,11.3,True,sample descriptive percentage; n >=20
Internal injury,5-9,6269,68554,9.1,True,sample descriptive percentage; n >=20
Internal injury,10-14,12726,196193,6.5,True,sample descriptive percentage; n >=20
Internal injury,15-17,7298,123230,5.9,True,sample descriptive percentage; n >=20
Internal injury,18-24,3473,77635,4.5,True,sample descriptive percentage; n >=20
Internal injury,25-34,1872,59562,3.1,True,sample descriptive percentage; n >=20
Internal injury,35-44,1112,37793,2.9,True,sample descriptive percentage; n >=20
Internal injury,45-54,976,26453,3.7,True,sample descriptive percentage; n >=20
Internal injury,55-64,1018,21763,4.7,True,sample descriptive percentage; n >=20
Internal injury,65-74,1273,18375,6.9,True,sample descriptive percentage; n >=20
Internal injury,75+,1372,13130,10.4,True,sample descriptive percentage; n >=20
All other diagnoses,0-4,7811,16949,46.1,True,sample descriptive percentage; n >=20
All other diagnoses,5-9,24057,68554,35.1,True,sample descriptive percentage; n >=20
All other diagnoses,10-14,63578,196193,32.4,True,sample descriptive percentage; n >=20
All other diagnoses,15-17,43891,123230,35.6,True,sample descriptive percentage; n >=20
All other diagnoses,18-24,31258,77635,40.3,True,sample descriptive percentage; n >=20
All other diagnoses,25-34,25372,59562,42.6,True,sample descriptive percentage; n >=20
All other diagnoses,35-44,17250,37793,45.6,True,sample descriptive percentage; n >=20
All other diagnoses,45-54,13237,26453,50.0,True,sample descriptive percentage; n >=20
All other diagnoses,55-64,11349,21763,52.1,True,sample descriptive percentage; n >=20
All other diagnoses,65-74,9629,18375,52.4,True,sample descriptive percentage; n >=20
All other diagnoses,75+,6548,13130,49.9,True,sample descriptive percentage; n >=20
