Activity,Profile_Age,n,denominator_n,percent,reportable,reason
Basketball,0-4,645,113358,0.6,True,sample descriptive percentage; n >=20
Basketball,5-9,6339,113358,5.6,True,sample descriptive percentage; n >=20
Basketball,10-14,38679,113358,34.1,True,sample descriptive percentage; n >=20
Basketball,15-19,38058,113358,33.6,True,sample descriptive percentage; n >=20
Basketball,20-24,11466,113358,10.1,True,sample descriptive percentage; n >=20
Basketball,25-29,6436,113358,5.7,True,sample descriptive percentage; n >=20
Basketball,30-34,4211,113358,3.7,True,sample descriptive percentage; n >=20
Basketball,35-39,2832,113358,2.5,True,sample descriptive percentage; n >=20
Basketball,40-44,1733,113358,1.5,True,sample descriptive percentage; n >=20
Basketball,45-49,1114,113358,1.0,True,sample descriptive percentage; n >=20
Basketball,50-54,688,113358,0.6,True,sample descriptive percentage; n >=20
Basketball,55-59,437,113358,0.4,True,sample descriptive percentage; n >=20
Basketball,60-64,312,113358,0.3,True,sample descriptive percentage; n >=20
Basketball,65-69,187,113358,0.2,True,sample descriptive percentage; n >=20
Basketball,70-74,101,113358,0.1,True,sample descriptive percentage; n >=20
Basketball,75-79,63,113358,0.1,True,sample descriptive percentage; n >=20
Basketball,80+,57,113358,0.1,True,sample descriptive percentage; n >=20
Exercise/fitness,0-4,2045,91036,2.2,True,sample descriptive percentage; n >=20
Exercise/fitness,5-9,3954,91036,4.3,True,sample descriptive percentage; n >=20
Exercise/fitness,10-14,6980,91036,7.7,True,sample descriptive percentage; n >=20
Exercise/fitness,15-19,7630,91036,8.4,True,sample descriptive percentage; n >=20
Exercise/fitness,20-24,7761,91036,8.5,True,sample descriptive percentage; n >=20
Exercise/fitness,25-29,7591,91036,8.3,True,sample descriptive percentage; n >=20
Exercise/fitness,30-34,7057,91036,7.8,True,sample descriptive percentage; n >=20
Exercise/fitness,35-39,6412,91036,7.0,True,sample descriptive percentage; n >=20
Exercise/fitness,40-44,5398,91036,5.9,True,sample descriptive percentage; n >=20
Exercise/fitness,45-49,5144,91036,5.7,True,sample descriptive percentage; n >=20
Exercise/fitness,50-54,5127,91036,5.6,True,sample descriptive percentage; n >=20
Exercise/fitness,55-59,5089,91036,5.6,True,sample descriptive percentage; n >=20
Exercise/fitness,60-64,4739,91036,5.2,True,sample descriptive percentage; n >=20
Exercise/fitness,65-69,4813,91036,5.3,True,sample descriptive percentage; n >=20
Exercise/fitness,70-74,4015,91036,4.4,True,sample descriptive percentage; n >=20
Exercise/fitness,75-79,3022,91036,3.3,True,sample descriptive percentage; n >=20
Exercise/fitness,80+,4259,91036,4.7,True,sample descriptive percentage; n >=20
Football,0-4,334,89908,0.4,True,sample descriptive percentage; n >=20
Football,5-9,9674,89908,10.8,True,sample descriptive percentage; n >=20
Football,10-14,42958,89908,47.8,True,sample descriptive percentage; n >=20
Football,15-19,27811,89908,30.9,True,sample descriptive percentage; n >=20
Football,20-24,3389,89908,3.8,True,sample descriptive percentage; n >=20
Football,25-29,2102,89908,2.3,True,sample descriptive percentage; n >=20
Football,30-34,1398,89908,1.6,True,sample descriptive percentage; n >=20
Football,35-39,840,89908,0.9,True,sample descriptive percentage; n >=20
Football,40-44,522,89908,0.6,True,sample descriptive percentage; n >=20
Football,45-49,290,89908,0.3,True,sample descriptive percentage; n >=20
Football,50-54,209,89908,0.2,True,sample descriptive percentage; n >=20
Football,55-59,146,89908,0.2,True,sample descriptive percentage; n >=20
Football,60-64,99,89908,0.1,True,sample descriptive percentage; n >=20
Football,65-69,66,89908,0.1,True,sample descriptive percentage; n >=20
Football,70-74,36,89908,0.0,True,sample descriptive percentage; n >=20
Football,75-79,21,89908,0.0,True,sample descriptive percentage; n >=20
Football,80+,13,89908,,False,sample n <20 or no denominator
Soccer,0-4,786,68252,1.2,True,sample descriptive percentage; n >=20
Soccer,5-9,8365,68252,12.3,True,sample descriptive percentage; n >=20
Soccer,10-14,27072,68252,39.7,True,sample descriptive percentage; n >=20
Soccer,15-19,19202,68252,28.1,True,sample descriptive percentage; n >=20
Soccer,20-24,4346,68252,6.4,True,sample descriptive percentage; n >=20
Soccer,25-29,2677,68252,3.9,True,sample descriptive percentage; n >=20
Soccer,30-34,1995,68252,2.9,True,sample descriptive percentage; n >=20
Soccer,35-39,1353,68252,2.0,True,sample descriptive percentage; n >=20
Soccer,40-44,1000,68252,1.5,True,sample descriptive percentage; n >=20
Soccer,45-49,612,68252,0.9,True,sample descriptive percentage; n >=20
Soccer,50-54,373,68252,0.5,True,sample descriptive percentage; n >=20
Soccer,55-59,174,68252,0.3,True,sample descriptive percentage; n >=20
Soccer,60-64,125,68252,0.2,True,sample descriptive percentage; n >=20
Soccer,65-69,74,68252,0.1,True,sample descriptive percentage; n >=20
Soccer,70-74,42,68252,0.1,True,sample descriptive percentage; n >=20
Soccer,75-79,36,68252,0.1,True,sample descriptive percentage; n >=20
Soccer,80+,20,68252,0.0,True,sample descriptive percentage; n >=20
Swimming/diving,0-4,6432,46621,13.8,True,sample descriptive percentage; n >=20
Swimming/diving,5-9,12055,46621,25.9,True,sample descriptive percentage; n >=20
Swimming/diving,10-14,10110,46621,21.7,True,sample descriptive percentage; n >=20
Swimming/diving,15-19,4449,46621,9.5,True,sample descriptive percentage; n >=20
Swimming/diving,20-24,2078,46621,4.5,True,sample descriptive percentage; n >=20
Swimming/diving,25-29,1605,46621,3.4,True,sample descriptive percentage; n >=20
Swimming/diving,30-34,1488,46621,3.2,True,sample descriptive percentage; n >=20
Swimming/diving,35-39,1342,46621,2.9,True,sample descriptive percentage; n >=20
Swimming/diving,40-44,1138,46621,2.4,True,sample descriptive percentage; n >=20
Swimming/diving,45-49,973,46621,2.1,True,sample descriptive percentage; n >=20
Swimming/diving,50-54,940,46621,2.0,True,sample descriptive percentage; n >=20
