Care_Outcome,Age_Band,n,denominator_n,percent,reportable,reason
Released,0-4,15323,16718,91.7,True,sample descriptive percentage; n >=20
Released,5-9,65373,67725,96.5,True,sample descriptive percentage; n >=20
Released,10-14,188544,194053,97.2,True,sample descriptive percentage; n >=20
Released,15-17,118455,121887,97.2,True,sample descriptive percentage; n >=20
Released,18-24,73594,76031,96.8,True,sample descriptive percentage; n >=20
Released,25-34,55731,58102,95.9,True,sample descriptive percentage; n >=20
Released,35-44,35055,36973,94.8,True,sample descriptive percentage; n >=20
Released,45-54,23722,25922,91.5,True,sample descriptive percentage; n >=20
Released,55-64,18452,21366,86.4,True,sample descriptive percentage; n >=20
Released,65-74,14385,18149,79.3,True,sample descriptive percentage; n >=20
Released,75+,9092,13010,69.9,True,sample descriptive percentage; n >=20
Escalated,0-4,1395,16718,8.3,True,sample descriptive percentage; n >=20
Escalated,5-9,2352,67725,3.5,True,sample descriptive percentage; n >=20
Escalated,10-14,5509,194053,2.8,True,sample descriptive percentage; n >=20
Escalated,15-17,3432,121887,2.8,True,sample descriptive percentage; n >=20
Escalated,18-24,2437,76031,3.2,True,sample descriptive percentage; n >=20
Escalated,25-34,2371,58102,4.1,True,sample descriptive percentage; n >=20
Escalated,35-44,1918,36973,5.2,True,sample descriptive percentage; n >=20
Escalated,45-54,2200,25922,8.5,True,sample descriptive percentage; n >=20
Escalated,55-64,2914,21366,13.6,True,sample descriptive percentage; n >=20
Escalated,65-74,3764,18149,20.7,True,sample descriptive percentage; n >=20
Escalated,75+,3918,13010,30.1,True,sample descriptive percentage; n >=20
