cohort,variable,measurement_level,units,observed_range_or_categories,blank_percent,coded_unknown_percent,handling
Core,Age_Years,Ratio,Years,0.08333 to 108,0.0,,Unknown age excluded before cohort construction
Core,Sex,Nominal,CPSC code,3 observed categories,0.0,0.01531145160141108,0 means unknown; retained except in sex-specific curves
Core,Body_Part,Nominal,CPSC code,26 observed categories,0.0,0.5195281647330274,87 means not stated/unknown; retained as coded
Core,Diagnosis,Nominal,CPSC code,30 observed categories,0.0,,Other diagnoses remain in composition denominators
Core,Disposition,Nominal,CPSC code,7 observed categories,0.0,,"Only codes 1, 2, 4, 5, 8 enter care-outcome analysis"
Core,Product_1,Nominal,CPSC code,476 observed categories,0.0,,Eligibility may instead come from Product_2
Core,Product_2,Nominal,CPSC code,495 observed categories,0.0,,"0 indicates no second product, not a missing observation"
Core,Source_Year,Interval,Calendar year,2016 to 2025,0.0,,2016 to 2025; checked against treatment date
Core,Weight,Ratio,Estimated presentations per sampled record,4.506 to 113.1,0.0,,Positive finite survey weights required
Core,PSU,Nominal,Hospital identifier,103 observed categories,0.0,,Used with Stratum and Source_Year for survey estimation
Core,Stratum,Nominal,Hospital stratum,5 observed categories,0.0,,"Survey design category, not a numerical scale"
Extended,Age_Years,Ratio,Years,0.08333 to 108,0.0,,Unknown age excluded before cohort construction
Extended,Sex,Nominal,CPSC code,3 observed categories,0.0,0.018695465174843464,0 means unknown; retained except in sex-specific curves
Extended,Body_Part,Nominal,CPSC code,26 observed categories,0.0,0.5538148454252809,87 means not stated/unknown; retained as coded
Extended,Diagnosis,Nominal,CPSC code,30 observed categories,0.0,,Other diagnoses remain in composition denominators
Extended,Disposition,Nominal,CPSC code,7 observed categories,0.0,,"Only codes 1, 2, 4, 5, 8 enter care-outcome analysis"
Extended,Product_1,Nominal,CPSC code,517 observed categories,0.0,,Eligibility may instead come from Product_2
Extended,Product_2,Nominal,CPSC code,553 observed categories,0.0,,"0 indicates no second product, not a missing observation"
Extended,Source_Year,Interval,Calendar year,2016 to 2025,0.0,,2016 to 2025; checked against treatment date
Extended,Weight,Ratio,Estimated presentations per sampled record,4.506 to 113.1,0.0,,Positive finite survey weights required
Extended,PSU,Nominal,Hospital identifier,103 observed categories,0.0,,Used with Stratum and Source_Year for survey estimation
Extended,Stratum,Nominal,Hospital stratum,5 observed categories,0.0,,"Survey design category, not a numerical scale"
